Aragón	Clase vivienda (agregado)	Clase vivienda (detalle)	Tipo vivienda	Total viviendas
Aragón	Colectiva	Colectiva	Hoteles, pensiones, albergues,¿	77
Aragón	Colectiva	Colectiva	Colegios mayores, residencias de estudiantes	17
Aragón	Colectiva	Colectiva	Residencias de trabajadores	12
Aragón	Colectiva	Colectiva	Internados, academias y escuelas militares, seminarios,¿	27
Aragón	Colectiva	Colectiva	Hospitales generales y especiales de corta estancia	1
Aragón	Colectiva	Colectiva	Hospitales psiquiátricos	12
Aragón	Colectiva	Colectiva	Hospitales de larga estancia	14
Aragón	Colectiva	Colectiva	Asilos o residencias de ancianos	182
Aragón	Colectiva	Colectiva	Instituciones para personas con discapacidades	19
Aragón	Colectiva	Colectiva	Albergues para marginados sociales	9
Aragón	Colectiva	Colectiva	Otras instituciones de asistencias social a la infancia, juventud,¿	27
Aragón	Colectiva	Colectiva	Instituciones religiosas	129
Aragón	Colectiva	Colectiva	Establecimientos militares	19
Aragón	Colectiva	Colectiva	Instituciones penitenciarias	1
Aragón	Colectiva	Colectiva	Otro tipo de colectivo	26
Aragón	Familiar	Familiar no principal	Secundarias	117980
Aragón	Familiar	Familiar no principal	Vacías	85716
Aragón	Familiar	Familiar no principal	Otro tipo	7544
Aragón	Familiar	Familiar principal	Convencionales	443205
Aragón	Familiar	Familiar principal	Alojamientos	38
