Comarca código	Comarca nombre	Clase vivienda (agregado)	Clase vivienda (detalle)	Total viviendas
01	La Jacetania	Colectiva	Colectiva	9
01	La Jacetania	Familiar	Familiar no principal	13688
01	La Jacetania	Familiar	Familiar principal	6230
02	Alto Gállego	Colectiva	Colectiva	14
02	Alto Gállego	Familiar	Familiar no principal	6849
02	Alto Gállego	Familiar	Familiar principal	4400
03	Sobrarbe	Colectiva	Colectiva	3
03	Sobrarbe	Familiar	Familiar no principal	2139
03	Sobrarbe	Familiar	Familiar principal	2455
04	La Ribagorza	Colectiva	Colectiva	11
04	La Ribagorza	Familiar	Familiar no principal	5560
04	La Ribagorza	Familiar	Familiar principal	4458
05	Cinco Villas	Colectiva	Colectiva	19
05	Cinco Villas	Familiar	Familiar no principal	6159
05	Cinco Villas	Familiar	Familiar principal	11588
06	Hoya de Huesca / Plana de Uesca	Colectiva	Colectiva	46
06	Hoya de Huesca / Plana de Uesca	Familiar	Familiar no principal	10577
06	Hoya de Huesca / Plana de Uesca	Familiar	Familiar principal	21701
07	Somontano de Barbastro	Colectiva	Colectiva	15
07	Somontano de Barbastro	Familiar	Familiar no principal	4254
07	Somontano de Barbastro	Familiar	Familiar principal	8222
08	Cinca Medio	Colectiva	Colectiva	10
08	Cinca Medio	Familiar	Familiar no principal	2923
08	Cinca Medio	Familiar	Familiar principal	7761
09	La Litera / La Llitera	Colectiva	Colectiva	5
09	La Litera / La Llitera	Familiar	Familiar no principal	2810
09	La Litera / La Llitera	Familiar	Familiar principal	6601
10	Los Monegros	Colectiva	Colectiva	7
10	Los Monegros	Familiar	Familiar no principal	3207
10	Los Monegros	Familiar	Familiar principal	7435
11	Bajo Cinca / Baix Cinca	Colectiva	Colectiva	2
11	Bajo Cinca / Baix Cinca	Familiar	Familiar no principal	2964
11	Bajo Cinca / Baix Cinca	Familiar	Familiar principal	7427
12	Tarazona y el Moncayo	Colectiva	Colectiva	8
12	Tarazona y el Moncayo	Familiar	Familiar no principal	2988
12	Tarazona y el Moncayo	Familiar	Familiar principal	5267
13	Campo de Borja	Colectiva	Colectiva	10
13	Campo de Borja	Familiar	Familiar no principal	3730
13	Campo de Borja	Familiar	Familiar principal	5365
14	Aranda	Colectiva	Colectiva	2
14	Aranda	Familiar	Familiar no principal	1860
14	Aranda	Familiar	Familiar principal	2896
15	Ribera Alta del Ebro	Colectiva	Colectiva	18
15	Ribera Alta del Ebro	Familiar	Familiar no principal	3261
15	Ribera Alta del Ebro	Familiar	Familiar principal	8065
16	Valdejalón	Colectiva	Colectiva	14
16	Valdejalón	Familiar	Familiar no principal	4595
16	Valdejalón	Familiar	Familiar principal	8370
17	D.C. Zaragoza	Colectiva	Colectiva	295
17	D.C. Zaragoza	Familiar	Familiar no principal	63292
17	D.C. Zaragoza	Familiar	Familiar principal	241335
18	Ribera Baja del Ebro	Colectiva	Colectiva	3
18	Ribera Baja del Ebro	Familiar	Familiar no principal	2229
18	Ribera Baja del Ebro	Familiar	Familiar principal	3717
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Colectiva	Colectiva	3
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Familiar	Familiar no principal	2707
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Familiar	Familiar principal	4833
20	Comunidad de Calatayud	Colectiva	Colectiva	20
20	Comunidad de Calatayud	Familiar	Familiar no principal	12208
20	Comunidad de Calatayud	Familiar	Familiar principal	15260
21	Campo de Cariñena	Colectiva	Colectiva	3
21	Campo de Cariñena	Familiar	Familiar no principal	2142
21	Campo de Cariñena	Familiar	Familiar principal	3776
22	Campo de Belchite	Colectiva	Colectiva	1
22	Campo de Belchite	Familiar	Familiar no principal	2181
22	Campo de Belchite	Familiar	Familiar principal	2348
23	Bajo Martín	Colectiva	Colectiva	3
23	Bajo Martín	Familiar	Familiar no principal	2459
23	Bajo Martín	Familiar	Familiar principal	2904
24	Campo de Daroca	Colectiva	Colectiva	2
24	Campo de Daroca	Familiar	Familiar no principal	3582
24	Campo de Daroca	Familiar	Familiar principal	2663
25	Jiloca	Colectiva	Colectiva	4
25	Jiloca	Familiar	Familiar no principal	5765
25	Jiloca	Familiar	Familiar principal	5555
26	Cuencas Mineras	Colectiva	Colectiva	5
26	Cuencas Mineras	Familiar	Familiar no principal	4314
26	Cuencas Mineras	Familiar	Familiar principal	3585
27	Andorra-Sierra de Arcos	Colectiva	Colectiva	2
27	Andorra-Sierra de Arcos	Familiar	Familiar no principal	2702
27	Andorra-Sierra de Arcos	Familiar	Familiar principal	3953
28	Bajo Aragón	Colectiva	Colectiva	10
28	Bajo Aragón	Familiar	Familiar no principal	5492
28	Bajo Aragón	Familiar	Familiar principal	9513
29	Comunidad de Teruel	Colectiva	Colectiva	20
29	Comunidad de Teruel	Familiar	Familiar no principal	9444
29	Comunidad de Teruel	Familiar	Familiar principal	15497
30	Maestrazgo	Familiar	Familiar no principal	2171
30	Maestrazgo	Familiar	Familiar principal	1503
31	Sierra de Albarracín	Colectiva	Colectiva	3
31	Sierra de Albarracín	Familiar	Familiar no principal	3052
31	Sierra de Albarracín	Familiar	Familiar principal	2018
32	Gúdar-Javalambre	Colectiva	Colectiva	5
32	Gúdar-Javalambre	Familiar	Familiar no principal	6898
32	Gúdar-Javalambre	Familiar	Familiar principal	3207
33	Matarraña / Matarranya	Familiar	Familiar no principal	3038
33	Matarraña / Matarranya	Familiar	Familiar principal	3335
