Municipio código	Municipio nombre	Superficie útil agrupada (m2)	Número de viviendas
22001	Abiego	045 o menos	1
22001	Abiego	046 - 060	5
22001	Abiego	061 - 075	7
22001	Abiego	076 - 090	35
22001	Abiego	091 - 105	17
22001	Abiego	106 - 120	14
22001	Abiego	121 - 150	10
22001	Abiego	151 o más	15
22002	Abizanda	045 o menos	1
22002	Abizanda	061 - 075	1
22002	Abizanda	076 - 090	5
22002	Abizanda	091 - 105	5
22002	Abizanda	106 - 120	1
22002	Abizanda	121 - 150	7
22002	Abizanda	151 o más	26
22003	Adahuesca	046 - 060	2
22003	Adahuesca	061 - 075	6
22003	Adahuesca	076 - 090	21
22003	Adahuesca	091 - 105	7
22003	Adahuesca	106 - 120	10
22003	Adahuesca	121 - 150	10
22003	Adahuesca	151 o más	11
22004	Agüero	046 - 060	7
22004	Agüero	061 - 075	9
22004	Agüero	076 - 090	25
22004	Agüero	091 - 105	14
22004	Agüero	106 - 120	7
22004	Agüero	121 - 150	4
22004	Agüero	151 o más	6
22006	Aísa	045 o menos	15
22006	Aísa	046 - 060	18
22006	Aísa	061 - 075	15
22006	Aísa	076 - 090	22
22006	Aísa	091 - 105	13
22006	Aísa	106 - 120	32
22006	Aísa	121 - 150	7
22006	Aísa	151 o más	27
22007	Albalate de Cinca	045 o menos	3
22007	Albalate de Cinca	046 - 060	22
22007	Albalate de Cinca	061 - 075	38
22007	Albalate de Cinca	076 - 090	141
22007	Albalate de Cinca	091 - 105	93
22007	Albalate de Cinca	106 - 120	51
22007	Albalate de Cinca	121 - 150	33
22007	Albalate de Cinca	151 o más	17
22008	Albalatillo	046 - 060	2
22008	Albalatillo	061 - 075	5
22008	Albalatillo	076 - 090	12
22008	Albalatillo	091 - 105	6
22008	Albalatillo	106 - 120	19
22008	Albalatillo	121 - 150	24
22008	Albalatillo	151 o más	33
22009	Albelda	045 o menos	4
22009	Albelda	046 - 060	20
22009	Albelda	061 - 075	33
22009	Albelda	076 - 090	84
22009	Albelda	091 - 105	77
22009	Albelda	106 - 120	53
22009	Albelda	121 - 150	32
22009	Albelda	151 o más	24
22011	Albero Alto	045 o menos	1
22011	Albero Alto	046 - 060	1
22011	Albero Alto	076 - 090	10
22011	Albero Alto	091 - 105	9
22011	Albero Alto	106 - 120	3
22011	Albero Alto	121 - 150	4
22011	Albero Alto	151 o más	9
22012	Albero Bajo	046 - 060	2
22012	Albero Bajo	061 - 075	1
22012	Albero Bajo	076 - 090	19
22012	Albero Bajo	091 - 105	4
22012	Albero Bajo	106 - 120	5
22012	Albero Bajo	121 - 150	6
22012	Albero Bajo	151 o más	3
22013	Alberuela de Tubo	045 o menos	1
22013	Alberuela de Tubo	046 - 060	2
22013	Alberuela de Tubo	061 - 075	3
22013	Alberuela de Tubo	076 - 090	21
22013	Alberuela de Tubo	091 - 105	22
22013	Alberuela de Tubo	106 - 120	12
22013	Alberuela de Tubo	121 - 150	39
22013	Alberuela de Tubo	151 o más	13
22014	Alcalá de Gurrea	045 o menos	4
22014	Alcalá de Gurrea	046 - 060	7
22014	Alcalá de Gurrea	061 - 075	5
22014	Alcalá de Gurrea	076 - 090	30
22014	Alcalá de Gurrea	091 - 105	31
22014	Alcalá de Gurrea	106 - 120	24
22014	Alcalá de Gurrea	121 - 150	16
22014	Alcalá de Gurrea	151 o más	15
22015	Alcalá del Obispo	045 o menos	2
22015	Alcalá del Obispo	046 - 060	9
22015	Alcalá del Obispo	061 - 075	7
22015	Alcalá del Obispo	076 - 090	14
22015	Alcalá del Obispo	091 - 105	33
22015	Alcalá del Obispo	106 - 120	25
22015	Alcalá del Obispo	121 - 150	27
22015	Alcalá del Obispo	151 o más	28
22016	Alcampell	045 o menos	4
22016	Alcampell	046 - 060	15
22016	Alcampell	061 - 075	25
22016	Alcampell	076 - 090	89
22016	Alcampell	091 - 105	96
22016	Alcampell	106 - 120	49
22016	Alcampell	121 - 150	37
22016	Alcampell	151 o más	15
22017	Alcolea de Cinca	045 o menos	5
22017	Alcolea de Cinca	046 - 060	18
22017	Alcolea de Cinca	061 - 075	56
22017	Alcolea de Cinca	076 - 090	152
22017	Alcolea de Cinca	091 - 105	72
22017	Alcolea de Cinca	106 - 120	70
22017	Alcolea de Cinca	121 - 150	30
22017	Alcolea de Cinca	151 o más	10
22018	Alcubierre	046 - 060	2
22018	Alcubierre	061 - 075	7
22018	Alcubierre	076 - 090	23
22018	Alcubierre	091 - 105	36
22018	Alcubierre	106 - 120	48
22018	Alcubierre	121 - 150	23
22018	Alcubierre	151 o más	35
22019	Alerre	045 o menos	1
22019	Alerre	061 - 075	2
