Provincia código	Provincia nombre	Superficie útil agrupada (m2)	Número de viviendas
22	Huesca	045 o menos	1256
22	Huesca	046 - 060	5313
22	Huesca	061 - 075	10086
22	Huesca	076 - 090	22900
22	Huesca	091 - 105	13409
22	Huesca	106 - 120	9210
22	Huesca	121 - 150	6107
22	Huesca	151 o más	5505
44	Teruel	045 o menos	984
44	Teruel	046 - 060	3343
44	Teruel	061 - 075	6253
44	Teruel	076 - 090	16419
44	Teruel	091 - 105	8917
44	Teruel	106 - 120	6526
44	Teruel	121 - 150	4663
44	Teruel	151 o más	3965
50	Zaragoza	045 o menos	8570
50	Zaragoza	046 - 060	46832
50	Zaragoza	061 - 075	80150
50	Zaragoza	076 - 090	91895
50	Zaragoza	091 - 105	40118
50	Zaragoza	106 - 120	21347
50	Zaragoza	121 - 150	16437
50	Zaragoza	151 o más	13038
