Comarca código	Comarca nombre	Año de construcción	Número hogares
01	La Jacetania	  No aplicable	45
01	La Jacetania	 Antes de 1900	1639
01	La Jacetania	1900 - 1920	209
01	La Jacetania	1921 - 1940	205
01	La Jacetania	1941 - 1950	222
01	La Jacetania	1951 - 1960	389
01	La Jacetania	1961 - 1970	583
01	La Jacetania	1971 - 1980	1126
01	La Jacetania	1981 - 1990	895
01	La Jacetania	1991	94
01	La Jacetania	1992	70
01	La Jacetania	1993	66
01	La Jacetania	1994	107
01	La Jacetania	1995	89
01	La Jacetania	1996	123
01	La Jacetania	1997	33
01	La Jacetania	1998	107
01	La Jacetania	1999	82
01	La Jacetania	2000	86
01	La Jacetania	2001	60
02	Alto Gállego	  No aplicable	41
02	Alto Gállego	 Antes de 1900	732
02	Alto Gállego	1900 - 1920	160
02	Alto Gállego	1921 - 1940	103
02	Alto Gállego	1941 - 1950	154
02	Alto Gállego	1951 - 1960	391
02	Alto Gállego	1961 - 1970	698
02	Alto Gállego	1971 - 1980	990
02	Alto Gállego	1981 - 1990	392
02	Alto Gállego	1991	77
02	Alto Gállego	1992	106
02	Alto Gállego	1993	83
02	Alto Gállego	1994	40
02	Alto Gállego	1995	14
02	Alto Gállego	1996	47
02	Alto Gállego	1997	83
02	Alto Gállego	1998	70
02	Alto Gállego	1999	90
02	Alto Gállego	2000	75
02	Alto Gállego	2001	54
03	Sobrarbe	  No aplicable	20
03	Sobrarbe	 Antes de 1900	1174
03	Sobrarbe	1900 - 1920	34
03	Sobrarbe	1921 - 1940	60
03	Sobrarbe	1941 - 1950	137
03	Sobrarbe	1951 - 1960	125
03	Sobrarbe	1961 - 1970	109
03	Sobrarbe	1971 - 1980	255
03	Sobrarbe	1981 - 1990	270
03	Sobrarbe	1991	46
03	Sobrarbe	1992	21
03	Sobrarbe	1993	22
03	Sobrarbe	1994	22
03	Sobrarbe	1995	21
03	Sobrarbe	1996	31
03	Sobrarbe	1997	23
03	Sobrarbe	1998	18
03	Sobrarbe	1999	21
03	Sobrarbe	2000	28
03	Sobrarbe	2001	18
04	La Ribagorza	  No aplicable	23
04	La Ribagorza	 Antes de 1900	1803
04	La Ribagorza	1900 - 1920	283
04	La Ribagorza	1921 - 1940	226
04	La Ribagorza	1941 - 1950	66
04	La Ribagorza	1951 - 1960	223
04	La Ribagorza	1961 - 1970	322
04	La Ribagorza	1971 - 1980	481
04	La Ribagorza	1981 - 1990	393
04	La Ribagorza	1991	89
04	La Ribagorza	1992	37
04	La Ribagorza	1993	54
04	La Ribagorza	1994	60
04	La Ribagorza	1995	38
04	La Ribagorza	1996	67
04	La Ribagorza	1997	31
04	La Ribagorza	1998	66
04	La Ribagorza	1999	68
04	La Ribagorza	2000	95
04	La Ribagorza	2001	33
05	Cinco Villas	  No aplicable	74
05	Cinco Villas	 Antes de 1900	1313
05	Cinco Villas	1900 - 1920	535
05	Cinco Villas	1921 - 1940	635
05	Cinco Villas	1941 - 1950	587
05	Cinco Villas	1951 - 1960	1648
05	Cinco Villas	1961 - 1970	1866
05	Cinco Villas	1971 - 1980	1564
05	Cinco Villas	1981 - 1990	1711
05	Cinco Villas	1991	101
05	Cinco Villas	1992	116
05	Cinco Villas	1993	109
05	Cinco Villas	1994	186
05	Cinco Villas	1995	197
05	Cinco Villas	1996	165
05	Cinco Villas	1997	127
05	Cinco Villas	1998	158
05	Cinco Villas	1999	202
05	Cinco Villas	2000	157
05	Cinco Villas	2001	137
06	Hoya de Huesca / Plana de Uesca	  No aplicable	70
06	Hoya de Huesca / Plana de Uesca	 Antes de 1900	2092
06	Hoya de Huesca / Plana de Uesca	1900 - 1920	502
06	Hoya de Huesca / Plana de Uesca	1921 - 1940	730
06	Hoya de Huesca / Plana de Uesca	1941 - 1950	909
06	Hoya de Huesca / Plana de Uesca	1951 - 1960	1446
06	Hoya de Huesca / Plana de Uesca	1961 - 1970	3216
06	Hoya de Huesca / Plana de Uesca	1971 - 1980	5046
06	Hoya de Huesca / Plana de Uesca	1981 - 1990	4089
06	Hoya de Huesca / Plana de Uesca	1991	396
06	Hoya de Huesca / Plana de Uesca	1992	447
06	Hoya de Huesca / Plana de Uesca	1993	459
06	Hoya de Huesca / Plana de Uesca	1994	335
06	Hoya de Huesca / Plana de Uesca	1995	279
06	Hoya de Huesca / Plana de Uesca	1996	328
06	Hoya de Huesca / Plana de Uesca	1997	409
06	Hoya de Huesca / Plana de Uesca	1998	221
06	Hoya de Huesca / Plana de Uesca	1999	312
06	Hoya de Huesca / Plana de Uesca	2000	163
06	Hoya de Huesca / Plana de Uesca	2001	252
07	Somontano de Barbastro	  No aplicable	24
07	Somontano de Barbastro	 Antes de 1900	942
07	Somontano de Barbastro	1900 - 1920	340
07	Somontano de Barbastro	1921 - 1940	427
07	Somontano de Barbastro	1941 - 1950	317
07	Somontano de Barbastro	1951 - 1960	636
07	Somontano de Barbastro	1961 - 1970	977
07	Somontano de Barbastro	1971 - 1980	1751
07	Somontano de Barbastro	1981 - 1990	1552
07	Somontano de Barbastro	1991	105
07	Somontano de Barbastro	1992	135
07	Somontano de Barbastro	1993	153
07	Somontano de Barbastro	1994	147
07	Somontano de Barbastro	1995	132
07	Somontano de Barbastro	1996	111
07	Somontano de Barbastro	1997	100
07	Somontano de Barbastro	1998	104
07	Somontano de Barbastro	1999	132
07	Somontano de Barbastro	2000	70
07	Somontano de Barbastro	2001	67
08	Cinca Medio	  No aplicable	43
08	Cinca Medio	 Antes de 1900	712
08	Cinca Medio	1900 - 1920	241
08	Cinca Medio	1921 - 1940	271
08	Cinca Medio	1941 - 1950	382
08	Cinca Medio	1951 - 1960	910
08	Cinca Medio	1961 - 1970	1522
08	Cinca Medio	1971 - 1980	1307
08	Cinca Medio	1981 - 1990	1030
08	Cinca Medio	1991	149
08	Cinca Medio	1992	50
08	Cinca Medio	1993	137
08	Cinca Medio	1994	83
08	Cinca Medio	1995	113
08	Cinca Medio	1996	196
08	Cinca Medio	1997	126
08	Cinca Medio	1998	81
08	Cinca Medio	1999	143
08	Cinca Medio	2000	189
08	Cinca Medio	2001	76
09	La Litera / La Llitera	  No aplicable	40
09	La Litera / La Llitera	 Antes de 1900	636
09	La Litera / La Llitera	1900 - 1920	262
09	La Litera / La Llitera	1921 - 1940	413
09	La Litera / La Llitera	1941 - 1950	531
09	La Litera / La Llitera	1951 - 1960	728
09	La Litera / La Llitera	1961 - 1970	1157
09	La Litera / La Llitera	1971 - 1980	1165
09	La Litera / La Llitera	1981 - 1990	866
09	La Litera / La Llitera	1991	107
09	La Litera / La Llitera	1992	113
09	La Litera / La Llitera	1993	73
09	La Litera / La Llitera	1994	61
09	La Litera / La Llitera	1995	53
09	La Litera / La Llitera	1996	74
09	La Litera / La Llitera	1997	62
09	La Litera / La Llitera	1998	83
09	La Litera / La Llitera	1999	75
09	La Litera / La Llitera	2000	65
09	La Litera / La Llitera	2001	37
10	Los Monegros	  No aplicable	25
10	Los Monegros	 Antes de 1900	789
10	Los Monegros	1900 - 1920	286
10	Los Monegros	1921 - 1940	392
10	Los Monegros	1941 - 1950	526
10	Los Monegros	1951 - 1960	1168
10	Los Monegros	1961 - 1970	1403
10	Los Monegros	1971 - 1980	1172
10	Los Monegros	1981 - 1990	959
10	Los Monegros	1991	51
10	Los Monegros	1992	66
10	Los Monegros	1993	59
10	Los Monegros	1994	62
10	Los Monegros	1995	46
10	Los Monegros	1996	54
10	Los Monegros	1997	74
10	Los Monegros	1998	93
10	Los Monegros	1999	72
10	Los Monegros	2000	95
10	Los Monegros	2001	43
11	Bajo Cinca / Baix Cinca	  No aplicable	37
11	Bajo Cinca / Baix Cinca	 Antes de 1900	640
11	Bajo Cinca / Baix Cinca	1900 - 1920	211
11	Bajo Cinca / Baix Cinca	1921 - 1940	442
11	Bajo Cinca / Baix Cinca	1941 - 1950	569
11	Bajo Cinca / Baix Cinca	1951 - 1960	702
11	Bajo Cinca / Baix Cinca	1961 - 1970	1143
11	Bajo Cinca / Baix Cinca	1971 - 1980	1504
11	Bajo Cinca / Baix Cinca	1981 - 1990	1222
11	Bajo Cinca / Baix Cinca	1991	71
11	Bajo Cinca / Baix Cinca	1992	170
11	Bajo Cinca / Baix Cinca	1993	85
11	Bajo Cinca / Baix Cinca	1994	46
11	Bajo Cinca / Baix Cinca	1995	93
11	Bajo Cinca / Baix Cinca	1996	70
11	Bajo Cinca / Baix Cinca	1997	101
11	Bajo Cinca / Baix Cinca	1998	84
11	Bajo Cinca / Baix Cinca	1999	93
11	Bajo Cinca / Baix Cinca	2000	92
11	Bajo Cinca / Baix Cinca	2001	52
12	Tarazona y el Moncayo	  No aplicable	26
12	Tarazona y el Moncayo	 Antes de 1900	1302
