Aragón	Calefacción (agregado)	Calefacción (detalle)	Combustible usado	Número hogares
Aragón	Con calefacción	Con calefacción colectiva	Gas	21849
Aragón	Con calefacción	Con calefacción colectiva	Electricidad	2676
Aragón	Con calefacción	Con calefacción colectiva	Derivados del petróleo	73540
Aragón	Con calefacción	Con calefacción colectiva	Madera	549
Aragón	Con calefacción	Con calefacción colectiva	Derivados del carbón	9934
Aragón	Con calefacción	Con calefacción colectiva	Otros	850
Aragón	Con calefacción	Con calefacción individual	Gas	114997
Aragón	Con calefacción	Con calefacción individual	Electricidad	27982
Aragón	Con calefacción	Con calefacción individual	Derivados del petróleo	75677
Aragón	Con calefacción	Con calefacción individual	Madera	6836
Aragón	Con calefacción	Con calefacción individual	Derivados del carbón	1544
Aragón	Con calefacción	Con calefacción individual	Otros	918
Aragón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	17649
Aragón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	40852
Aragón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	5985
Aragón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	22989
Aragón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	788
Aragón	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	683
Aragón	Sin calefacción	Sin ningún medio	 No aplicable	16945
