Comarca código	Comarca nombre	Calefacción (agregado)	Calefacción (detalle)	Combustible usado	Número hogares
01	La Jacetania	Con calefacción	Con calefacción colectiva	Gas	107
01	La Jacetania	Con calefacción	Con calefacción colectiva	Electricidad	18
01	La Jacetania	Con calefacción	Con calefacción colectiva	Derivados del petróleo	1070
01	La Jacetania	Con calefacción	Con calefacción colectiva	Madera	6
01	La Jacetania	Con calefacción	Con calefacción colectiva	Derivados del carbón	2
01	La Jacetania	Con calefacción	Con calefacción colectiva	Otros	10
01	La Jacetania	Con calefacción	Con calefacción individual	Gas	1219
01	La Jacetania	Con calefacción	Con calefacción individual	Electricidad	518
01	La Jacetania	Con calefacción	Con calefacción individual	Derivados del petróleo	1785
01	La Jacetania	Con calefacción	Con calefacción individual	Madera	183
01	La Jacetania	Con calefacción	Con calefacción individual	Derivados del carbón	10
01	La Jacetania	Con calefacción	Con calefacción individual	Otros	13
01	La Jacetania	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	208
01	La Jacetania	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	398
01	La Jacetania	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	58
01	La Jacetania	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	304
01	La Jacetania	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	2
01	La Jacetania	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	2
01	La Jacetania	Sin calefacción	Sin ningún medio	 No aplicable	317
02	Alto Gállego	Con calefacción	Con calefacción colectiva	Gas	70
02	Alto Gállego	Con calefacción	Con calefacción colectiva	Electricidad	20
02	Alto Gállego	Con calefacción	Con calefacción colectiva	Derivados del petróleo	860
02	Alto Gállego	Con calefacción	Con calefacción colectiva	Madera	4
02	Alto Gállego	Con calefacción	Con calefacción colectiva	Derivados del carbón	1
02	Alto Gállego	Con calefacción	Con calefacción individual	Gas	984
02	Alto Gállego	Con calefacción	Con calefacción individual	Electricidad	422
02	Alto Gállego	Con calefacción	Con calefacción individual	Derivados del petróleo	1219
02	Alto Gállego	Con calefacción	Con calefacción individual	Madera	60
02	Alto Gállego	Con calefacción	Con calefacción individual	Derivados del carbón	1
02	Alto Gállego	Con calefacción	Con calefacción individual	Otros	3
02	Alto Gállego	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	72
02	Alto Gállego	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	384
