Comarca código	Comarca nombre	Refrigeración	Número hogares
01	La Jacetania	Con refrigeración	121
01	La Jacetania	Sin refrigeración	6109
02	Alto Gállego	Con refrigeración	76
02	Alto Gállego	Sin refrigeración	4324
03	Sobrarbe	Con refrigeración	58
03	Sobrarbe	Sin refrigeración	2397
04	La Ribagorza	Con refrigeración	116
04	La Ribagorza	Sin refrigeración	4342
05	Cinco Villas	Con refrigeración	1059
05	Cinco Villas	Sin refrigeración	10529
06	Hoya de Huesca / Plana de Uesca	Con refrigeración	2099
06	Hoya de Huesca / Plana de Uesca	Sin refrigeración	19602
07	Somontano de Barbastro	Con refrigeración	751
07	Somontano de Barbastro	Sin refrigeración	7471
08	Cinca Medio	Con refrigeración	879
08	Cinca Medio	Sin refrigeración	6882
09	La Litera / La Llitera	Con refrigeración	767
09	La Litera / La Llitera	Sin refrigeración	5834
10	Los Monegros	Con refrigeración	510
10	Los Monegros	Sin refrigeración	6925
11	Bajo Cinca / Baix Cinca	Con refrigeración	1724
11	Bajo Cinca / Baix Cinca	Sin refrigeración	5703
12	Tarazona y el Moncayo	Con refrigeración	197
12	Tarazona y el Moncayo	Sin refrigeración	5070
13	Campo de Borja	Con refrigeración	257
13	Campo de Borja	Sin refrigeración	5108
14	Aranda	Con refrigeración	283
14	Aranda	Sin refrigeración	2613
15	Ribera Alta del Ebro	Con refrigeración	1060
15	Ribera Alta del Ebro	Sin refrigeración	7005
16	Valdejalón	Con refrigeración	653
16	Valdejalón	Sin refrigeración	7717
17	D.C. Zaragoza	Con refrigeración	56384
17	D.C. Zaragoza	Sin refrigeración	184951
18	Ribera Baja del Ebro	Con refrigeración	921
18	Ribera Baja del Ebro	Sin refrigeración	2796
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Con refrigeración	1073
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Sin refrigeración	3760
20	Comunidad de Calatayud	Con refrigeración	767
20	Comunidad de Calatayud	Sin refrigeración	14493
21	Campo de Cariñena	Con refrigeración	165
21	Campo de Cariñena	Sin refrigeración	3611
22	Campo de Belchite	Con refrigeración	80
22	Campo de Belchite	Sin refrigeración	2268
23	Bajo Martín	Con refrigeración	271
23	Bajo Martín	Sin refrigeración	2633
24	Campo de Daroca	Con refrigeración	28
24	Campo de Daroca	Sin refrigeración	2635
25	Jiloca	Con refrigeración	31
25	Jiloca	Sin refrigeración	5524
26	Cuencas Mineras	Con refrigeración	79
26	Cuencas Mineras	Sin refrigeración	3506
27	Andorra-Sierra de Arcos	Con refrigeración	261
27	Andorra-Sierra de Arcos	Sin refrigeración	3692
28	Bajo Aragón	Con refrigeración	1293
28	Bajo Aragón	Sin refrigeración	8220
29	Comunidad de Teruel	Con refrigeración	659
29	Comunidad de Teruel	Sin refrigeración	14838
30	Maestrazgo	Con refrigeración	41
30	Maestrazgo	Sin refrigeración	1462
31	Sierra de Albarracín	Con refrigeración	9
31	Sierra de Albarracín	Sin refrigeración	2009
32	Gúdar-Javalambre	Con refrigeración	44
32	Gúdar-Javalambre	Sin refrigeración	3163
33	Matarraña / Matarranya	Con refrigeración	142
33	Matarraña / Matarranya	Sin refrigeración	3193
