Aragón	Tipo edificio (agregado)	Tipo edificio (detalle)	Número de edificios
Aragón	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1096
Aragón	Otro tipo	Locales	18265
Aragón	Principalmente vivienda	Edificio sólo con una vivienda familiar	216721
Aragón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	31233
Aragón	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	23930
Aragón	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	68
Aragón	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	331
Aragón	Principalmente vivienda	Edificios principalmente con vivienda colectiva: instituciones de enseñanza,¿	27
Aragón	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	106
Aragón	Principalmente vivienda	Alojamientos	38
