Comarca código	Comarca nombre	Tipo edificio (agregado)	Tipo edificio (detalle)	Número de edificios
01	La Jacetania	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	48
01	La Jacetania	Otro tipo	Locales	418
01	La Jacetania	Principalmente vivienda	Edificio sólo con una vivienda familiar	3858
01	La Jacetania	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1093
01	La Jacetania	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	482
01	La Jacetania	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	2
01	La Jacetania	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	6
01	La Jacetania	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	1
02	Alto Gállego	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	31
02	Alto Gállego	Otro tipo	Locales	746
02	Alto Gállego	Principalmente vivienda	Edificio sólo con una vivienda familiar	2241
02	Alto Gállego	Principalmente vivienda	Edificio sólo con varias viviendas familiares	801
02	Alto Gállego	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	456
02	Alto Gállego	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	4
02	Alto Gállego	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	6
02	Alto Gállego	Principalmente vivienda	Alojamientos	1
03	Sobrarbe	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	23
03	Sobrarbe	Otro tipo	Locales	300
03	Sobrarbe	Principalmente vivienda	Edificio sólo con una vivienda familiar	2619
03	Sobrarbe	Principalmente vivienda	Edificio sólo con varias viviendas familiares	367
03	Sobrarbe	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	204
03	Sobrarbe	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	2
03	Sobrarbe	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	1
04	La Ribagorza	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	25
04	La Ribagorza	Otro tipo	Locales	405
04	La Ribagorza	Principalmente vivienda	Edificio sólo con una vivienda familiar	5206
04	La Ribagorza	Principalmente vivienda	Edificio sólo con varias viviendas familiares	569
04	La Ribagorza	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	343
04	La Ribagorza	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	7
04	La Ribagorza	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	4
05	Cinco Villas	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	56
05	Cinco Villas	Otro tipo	Locales	830
05	Cinco Villas	Principalmente vivienda	Edificio sólo con una vivienda familiar	9544
05	Cinco Villas	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1377
05	Cinco Villas	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	676
05	Cinco Villas	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	3
05	Cinco Villas	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	9
05	Cinco Villas	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	4
06	Hoya de Huesca / Plana de Uesca	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	54
06	Hoya de Huesca / Plana de Uesca	Otro tipo	Locales	1335
06	Hoya de Huesca / Plana de Uesca	Principalmente vivienda	Edificio sólo con una vivienda familiar	8350
06	Hoya de Huesca / Plana de Uesca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1149
06	Hoya de Huesca / Plana de Uesca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1274
06	Hoya de Huesca / Plana de Uesca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	7
06	Hoya de Huesca / Plana de Uesca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	28
06	Hoya de Huesca / Plana de Uesca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: instituciones de enseñanza,¿	3
06	Hoya de Huesca / Plana de Uesca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	7
06	Hoya de Huesca / Plana de Uesca	Principalmente vivienda	Alojamientos	9
07	Somontano de Barbastro	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	30
07	Somontano de Barbastro	Otro tipo	Locales	417
07	Somontano de Barbastro	Principalmente vivienda	Edificio sólo con una vivienda familiar	5273
07	Somontano de Barbastro	Principalmente vivienda	Edificio sólo con varias viviendas familiares	704
07	Somontano de Barbastro	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	596
07	Somontano de Barbastro	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	2
07	Somontano de Barbastro	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	9
07	Somontano de Barbastro	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	4
08	Cinca Medio	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	46
08	Cinca Medio	Otro tipo	Locales	420
08	Cinca Medio	Principalmente vivienda	Edificio sólo con una vivienda familiar	4843
08	Cinca Medio	Principalmente vivienda	Edificio sólo con varias viviendas familiares	640
08	Cinca Medio	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	548
08	Cinca Medio	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	2
08	Cinca Medio	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	5
08	Cinca Medio	Principalmente vivienda	Edificios principalmente con vivienda colectiva: instituciones de enseñanza,¿	1
08	Cinca Medio	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	2
09	La Litera / La Llitera	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	42
09	La Litera / La Llitera	Otro tipo	Locales	466
09	La Litera / La Llitera	Principalmente vivienda	Edificio sólo con una vivienda familiar	5561
09	La Litera / La Llitera	Principalmente vivienda	Edificio sólo con varias viviendas familiares	645
