Municipio código	Municipio nombre	Tipo edificio (agregado)	Tipo edificio (detalle)	Número de edificios
22001	Abiego	Otro tipo	Locales	6
22001	Abiego	Principalmente vivienda	Edificio sólo con una vivienda familiar	176
22001	Abiego	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
22001	Abiego	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
22002	Abizanda	Otro tipo	Locales	14
22002	Abizanda	Principalmente vivienda	Edificio sólo con una vivienda familiar	79
22002	Abizanda	Principalmente vivienda	Edificio sólo con varias viviendas familiares	7
22002	Abizanda	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
22003	Adahuesca	Otro tipo	Locales	7
22003	Adahuesca	Principalmente vivienda	Edificio sólo con una vivienda familiar	107
22003	Adahuesca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
22003	Adahuesca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22004	Agüero	Principalmente vivienda	Edificio sólo con una vivienda familiar	203
22004	Agüero	Principalmente vivienda	Edificio sólo con varias viviendas familiares	5
22004	Agüero	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
22004	Agüero	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
22004	Agüero	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
22006	Aísa	Otro tipo	Locales	16
22006	Aísa	Principalmente vivienda	Edificio sólo con una vivienda familiar	138
22006	Aísa	Principalmente vivienda	Edificio sólo con varias viviendas familiares	54
22006	Aísa	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	15
22006	Aísa	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
22007	Albalate de Cinca	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	3
22007	Albalate de Cinca	Otro tipo	Locales	26
22007	Albalate de Cinca	Principalmente vivienda	Edificio sólo con una vivienda familiar	349
22007	Albalate de Cinca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	40
22007	Albalate de Cinca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	21
22008	Albalatillo	Otro tipo	Locales	3
22008	Albalatillo	Principalmente vivienda	Edificio sólo con una vivienda familiar	115
