Provincia código	Provincia nombre	Tipo edificio (agregado)	Tipo edificio (detalle)	Número de edificios
22	Huesca	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	358
22	Huesca	Otro tipo	Locales	5275
22	Huesca	Principalmente vivienda	Edificio sólo con una vivienda familiar	48166
22	Huesca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	7115
22	Huesca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	5154
22	Huesca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	20
22	Huesca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	70
22	Huesca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: instituciones de enseñanza,¿	5
22	Huesca	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	21
22	Huesca	Principalmente vivienda	Alojamientos	10
44	Teruel	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	148
44	Teruel	Otro tipo	Locales	3095
44	Teruel	Principalmente vivienda	Edificio sólo con una vivienda familiar	60140
44	Teruel	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6266
44	Teruel	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3083
44	Teruel	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	8
44	Teruel	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	34
44	Teruel	Principalmente vivienda	Edificios principalmente con vivienda colectiva: instituciones de enseñanza,¿	1
44	Teruel	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	6
44	Teruel	Principalmente vivienda	Alojamientos	1
50	Zaragoza	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	590
50	Zaragoza	Otro tipo	Locales	9895
50	Zaragoza	Principalmente vivienda	Edificio sólo con una vivienda familiar	108415
50	Zaragoza	Principalmente vivienda	Edificio sólo con varias viviendas familiares	17852
50	Zaragoza	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	15693
50	Zaragoza	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	40
50	Zaragoza	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	227
50	Zaragoza	Principalmente vivienda	Edificios principalmente con vivienda colectiva: instituciones de enseñanza,¿	21
50	Zaragoza	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	79
50	Zaragoza	Principalmente vivienda	Alojamientos	27
