Municipio código	Municipio nombre	Viviendas en el edificio	Número de edificios
22001	Abiego	00	6
22001	Abiego	01	178
22001	Abiego	02	8
22002	Abizanda	00	14
22002	Abizanda	01	82
22002	Abizanda	02	6
22002	Abizanda	03	1
22003	Adahuesca	00	7
22003	Adahuesca	01	108
22003	Adahuesca	02	7
22003	Adahuesca	04	1
22004	Agüero	00	2
22004	Agüero	01	206
22004	Agüero	02	5
22006	Aísa	00	17
22006	Aísa	01	140
22006	Aísa	02	10
22006	Aísa	05 a 09	22
22006	Aísa	10 a 19	19
22006	Aísa	20 a 39	7
22006	Aísa	40 o más	9
22007	Albalate de Cinca	00	26
22007	Albalate de Cinca	01	365
22007	Albalate de Cinca	02	34
22007	Albalate de Cinca	03	7
22007	Albalate de Cinca	04	2
22007	Albalate de Cinca	05 a 09	5
22008	Albalatillo	00	3
22008	Albalatillo	01	115
22008	Albalatillo	02	11
22009	Albelda	00	70
22009	Albelda	01	387
22009	Albelda	02	44
22009	Albelda	03	2
22009	Albelda	04	2
22011	Albero Alto	00	5
22011	Albero Alto	01	48
22011	Albero Alto	02	2
22012	Albero Bajo	00	1
22012	Albero Bajo	01	44
22013	Alberuela de Tubo	00	10
22013	Alberuela de Tubo	01	137
22014	Alcalá de Gurrea	00	19
22014	Alcalá de Gurrea	01	201
22014	Alcalá de Gurrea	02	13
22014	Alcalá de Gurrea	04	1
22014	Alcalá de Gurrea	05 a 09	1
22015	Alcalá del Obispo	00	12
22015	Alcalá del Obispo	01	257
22015	Alcalá del Obispo	02	9
22016	Alcampell	00	15
22016	Alcampell	01	491
22016	Alcampell	02	9
22016	Alcampell	03	1
22016	Alcampell	20 a 39	1
22017	Alcolea de Cinca	00	17
22017	Alcolea de Cinca	01	350
22017	Alcolea de Cinca	02	27
22017	Alcolea de Cinca	03	7
22017	Alcolea de Cinca	04	1
22017	Alcolea de Cinca	05 a 09	25
22017	Alcolea de Cinca	10 a 19	2
22018	Alcubierre	00	7
22018	Alcubierre	01	251
22018	Alcubierre	02	10
22018	Alcubierre	03	1
22018	Alcubierre	04	2
22018	Alcubierre	05 a 09	1
22019	Alerre	01	60
22019	Alerre	02	4
22020	Alfántega	00	4
22020	Alfántega	01	69
22020	Alfántega	02	3
22021	Almudévar	00	81
22021	Almudévar	01	934
22021	Almudévar	02	40
22021	Almudévar	03	15
22021	Almudévar	04	16
22021	Almudévar	05 a 09	3
22021	Almudévar	10 a 19	1
22022	Almunia de San Juan	00	16
22022	Almunia de San Juan	01	340
22022	Almunia de San Juan	02	7
22022	Almunia de San Juan	03	1
22022	Almunia de San Juan	04	3
22023	Almuniente	00	12
22023	Almuniente	01	252
22023	Almuniente	02	5
22024	Alquézar	00	22
22024	Alquézar	01	190
22024	Alquézar	02	10
22024	Alquézar	03	1
22024	Alquézar	05 a 09	1
22025	Altorricón	00	37
22025	Altorricón	01	519
22025	Altorricón	02	24
22025	Altorricón	03	2
22025	Altorricón	04	2
22025	Altorricón	05 a 09	10
22025	Altorricón	10 a 19	3
22027	Angüés	00	36
22027	Angüés	01	310
22027	Angüés	02	8
22027	Angüés	05 a 09	1
22028	Ansó	00	31
22028	Ansó	01	292
22028	Ansó	02	25
22028	Ansó	03	6
22028	Ansó	04	7
22028	Ansó	05 a 09	8
22028	Ansó	10 a 19	2
22029	Antillón	00	3
22029	Antillón	01	67
22029	Antillón	02	1
22032	Aragüés del Puerto	00	13
22032	Aragüés del Puerto	01	124
22032	Aragüés del Puerto	02	7
22032	Aragüés del Puerto	03	1
22032	Aragüés del Puerto	05 a 09	1
22035	Arén	00	13
22035	Arén	01	201
22035	Arén	02	25
22035	Arén	03	2
22035	Arén	04	2
22035	Arén	05 a 09	2
22035	Arén	10 a 19	1
22036	Argavieso	00	3
22036	Argavieso	01	65
22036	Argavieso	02	1
22037	Arguis	01	56
22037	Arguis	02	3
22037	Arguis	04	1
22039	Ayerbe	00	76
22039	Ayerbe	01	416
22039	Ayerbe	02	56
22039	Ayerbe	03	24
22039	Ayerbe	04	9
22039	Ayerbe	05 a 09	29
22040	Azanuy-Alins	00	4
22040	Azanuy-Alins	01	198
22040	Azanuy-Alins	02	2
22041	Azara	00	6
22041	Azara	01	90
22041	Azara	02	6
22042	Azlor	00	3
22042	Azlor	01	99
22042	Azlor	02	4
22043	Baells	00	8
22043	Baells	01	95
22043	Baells	02	2
22044	Bailo	00	4
22044	Bailo	01	152
22044	Bailo	02	3
22044	Bailo	03	2
22044	Bailo	04	2
22044	Bailo	05 a 09	1
22045	Baldellou	00	4
22045	Baldellou	01	143
22046	Ballobar	00	15
22046	Ballobar	01	448
22046	Ballobar	02	21
22046	Ballobar	03	4
22046	Ballobar	05 a 09	2
22047	Banastás	01	67
22047	Banastás	02	1
22048	Barbastro	00	189
22048	Barbastro	01	1155
22048	Barbastro	02	229
22048	Barbastro	03	162
22048	Barbastro	04	101
22048	Barbastro	05 a 09	160
22048	Barbastro	10 a 19	191
22048	Barbastro	20 a 39	47
22048	Barbastro	40 o más	2
22049	Barbués	00	2
22049	Barbués	01	58
22049	Barbués	02	1
22050	Barbuñales	00	4
22050	Barbuñales	01	76
22050	Barbuñales	02	9
22050	Barbuñales	03	3
22051	Bárcabo	00	8
22051	Bárcabo	01	65
22051	Bárcabo	02	1
22051	Bárcabo	05 a 09	1
22052	Belver de Cinca	00	47
22052	Belver de Cinca	01	485
22052	Belver de Cinca	02	44
22052	Belver de Cinca	03	8
22052	Belver de Cinca	04	1
22052	Belver de Cinca	05 a 09	3
22053	Benabarre	00	23
22053	Benabarre	01	500
22053	Benabarre	02	43
22053	Benabarre	03	6
22053	Benabarre	04	11
22053	Benabarre	05 a 09	5
22054	Benasque	00	23
22054	Benasque	01	296
22054	Benasque	02	41
22054	Benasque	03	14
22054	Benasque	04	20
22054	Benasque	05 a 09	39
22054	Benasque	10 a 19	32
22054	Benasque	20 a 39	21
22054	Benasque	40 o más	12
22055	Berbegal	00	14
22055	Berbegal	01	265
22055	Berbegal	02	6
22055	Berbegal	04	2
22057	Bielsa	00	41
22057	Bielsa	01	228
22057	Bielsa	02	16
22057	Bielsa	03	15
22057	Bielsa	04	4
22057	Bielsa	05 a 09	4
22057	Bielsa	10 a 19	1
22058	Bierge	00	11
22058	Bierge	01	181
22058	Bierge	02	10
22058	Bierge	03	1
22058	Bierge	04	1
22058	Bierge	05 a 09	1
22059	Biescas	00	98
22059	Biescas	01	591
22059	Biescas	02	82
22059	Biescas	03	25
22059	Biescas	04	25
22059	Biescas	05 a 09	66
22059	Biescas	10 a 19	43
22059	Biescas	20 a 39	19
22059	Biescas	40 o más	4
22060	Binaced	00	37
22060	Binaced	01	572
22060	Binaced	02	29
22060	Binaced	03	4
22060	Binaced	04	5
22060	Binaced	05 a 09	2
22061	Binéfar	00	129
22061	Binéfar	01	1328
22061	Binéfar	02	299
22061	Binéfar	03	65
22061	Binéfar	04	37
22061	Binéfar	05 a 09	82
22061	Binéfar	10 a 19	45
22061	Binéfar	20 a 39	4
22062	Bisaurri	00	12
22062	Bisaurri	01	126
22063	Biscarrués	00	4
22063	Biscarrués	01	135
22063	Biscarrués	02	4
22064	Blecua y Torres	00	7
22064	Blecua y Torres	01	135
22064	Blecua y Torres	02	1
22066	Boltaña	00	19
22066	Boltaña	01	244
22066	Boltaña	02	38
22066	Boltaña	03	14
22066	Boltaña	04	6
22066	Boltaña	05 a 09	25
22066	Boltaña	10 a 19	5
22066	Boltaña	20 a 39	1
22066	Boltaña	40 o más	1
22067	Bonansa	00	7
22067	Bonansa	01	51
22067	Bonansa	02	1
