Comarca código	Comarca nombre	Estado	Número de edificios
01	La Jacetania	Ruinoso	41
01	La Jacetania	Malo	97
01	La Jacetania	Deficiente	455
01	La Jacetania	Bueno	4849
02	Alto Gállego	Ruinoso	50
02	Alto Gállego	Malo	66
02	Alto Gállego	Deficiente	351
02	Alto Gállego	Bueno	3041
03	Sobrarbe	Ruinoso	68
03	Sobrarbe	Malo	65
03	Sobrarbe	Deficiente	246
03	Sobrarbe	Bueno	2814
04	La Ribagorza	Ruinoso	126
04	La Ribagorza	Malo	112
04	La Ribagorza	Deficiente	477
04	La Ribagorza	Bueno	5414
05	Cinco Villas	Ruinoso	134
05	Cinco Villas	Malo	203
05	Cinco Villas	Deficiente	745
05	Cinco Villas	Bueno	10531
06	Hoya de Huesca / Plana de Uesca	Ruinoso	166
06	Hoya de Huesca / Plana de Uesca	Malo	203
06	Hoya de Huesca / Plana de Uesca	Deficiente	857
06	Hoya de Huesca / Plana de Uesca	Bueno	9592
07	Somontano de Barbastro	Ruinoso	87
07	Somontano de Barbastro	Malo	207
07	Somontano de Barbastro	Deficiente	974
07	Somontano de Barbastro	Bueno	5320
08	Cinca Medio	Ruinoso	56
08	Cinca Medio	Malo	210
08	Cinca Medio	Deficiente	695
08	Cinca Medio	Bueno	5080
09	La Litera / La Llitera	Ruinoso	69
09	La Litera / La Llitera	Malo	226
09	La Litera / La Llitera	Deficiente	652
09	La Litera / La Llitera	Bueno	5751
10	Los Monegros	Ruinoso	119
10	Los Monegros	Malo	265
10	Los Monegros	Deficiente	843
10	Los Monegros	Bueno	7905
11	Bajo Cinca / Baix Cinca	Ruinoso	123
11	Bajo Cinca / Baix Cinca	Malo	218
11	Bajo Cinca / Baix Cinca	Deficiente	674
11	Bajo Cinca / Baix Cinca	Bueno	5444
12	Tarazona y el Moncayo	Ruinoso	133
12	Tarazona y el Moncayo	Malo	170
12	Tarazona y el Moncayo	Deficiente	499
12	Tarazona y el Moncayo	Bueno	3871
13	Campo de Borja	Ruinoso	75
13	Campo de Borja	Malo	88
13	Campo de Borja	Deficiente	387
13	Campo de Borja	Bueno	6464
14	Aranda	Ruinoso	16
14	Aranda	Malo	33
14	Aranda	Deficiente	231
14	Aranda	Bueno	2913
15	Ribera Alta del Ebro	Ruinoso	95
15	Ribera Alta del Ebro	Malo	164
15	Ribera Alta del Ebro	Deficiente	514
15	Ribera Alta del Ebro	Bueno	8183
16	Valdejalón	Ruinoso	105
16	Valdejalón	Malo	181
16	Valdejalón	Deficiente	735
16	Valdejalón	Bueno	9499
17	D.C. Zaragoza	Ruinoso	451
17	D.C. Zaragoza	Malo	691
17	D.C. Zaragoza	Deficiente	2506
17	D.C. Zaragoza	Bueno	46152
18	Ribera Baja del Ebro	Ruinoso	108
18	Ribera Baja del Ebro	Malo	133
18	Ribera Baja del Ebro	Deficiente	358
18	Ribera Baja del Ebro	Bueno	4530
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Ruinoso	97
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Malo	148
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Deficiente	396
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Bueno	4936
20	Comunidad de Calatayud	Ruinoso	394
20	Comunidad de Calatayud	Malo	856
20	Comunidad de Calatayud	Deficiente	2447
20	Comunidad de Calatayud	Bueno	14562
21	Campo de Cariñena	Ruinoso	57
21	Campo de Cariñena	Malo	104
21	Campo de Cariñena	Deficiente	328
21	Campo de Cariñena	Bueno	4236
22	Campo de Belchite	Ruinoso	96
22	Campo de Belchite	Malo	111
22	Campo de Belchite	Deficiente	433
22	Campo de Belchite	Bueno	3517
23	Bajo Martín	Ruinoso	53
23	Bajo Martín	Malo	134
23	Bajo Martín	Deficiente	459
23	Bajo Martín	Bueno	3866
24	Campo de Daroca	Ruinoso	57
24	Campo de Daroca	Malo	68
24	Campo de Daroca	Deficiente	450
24	Campo de Daroca	Bueno	4679
25	Jiloca	Ruinoso	48
25	Jiloca	Malo	180
25	Jiloca	Deficiente	731
25	Jiloca	Bueno	9003
26	Cuencas Mineras	Ruinoso	93
26	Cuencas Mineras	Malo	294
26	Cuencas Mineras	Deficiente	1020
26	Cuencas Mineras	Bueno	4636
27	Andorra-Sierra de Arcos	Ruinoso	40
27	Andorra-Sierra de Arcos	Malo	153
27	Andorra-Sierra de Arcos	Deficiente	596
27	Andorra-Sierra de Arcos	Bueno	4089
28	Bajo Aragón	Ruinoso	73
28	Bajo Aragón	Malo	208
28	Bajo Aragón	Deficiente	870
28	Bajo Aragón	Bueno	8076
29	Comunidad de Teruel	Ruinoso	171
29	Comunidad de Teruel	Malo	269
29	Comunidad de Teruel	Deficiente	1074
29	Comunidad de Teruel	Bueno	11721
30	Maestrazgo	Ruinoso	18
30	Maestrazgo	Malo	35
30	Maestrazgo	Deficiente	309
30	Maestrazgo	Bueno	2897
31	Sierra de Albarracín	Ruinoso	38
31	Sierra de Albarracín	Malo	69
31	Sierra de Albarracín	Deficiente	331
31	Sierra de Albarracín	Bueno	3898
32	Gúdar-Javalambre	Ruinoso	98
32	Gúdar-Javalambre	Malo	215
32	Gúdar-Javalambre	Deficiente	677
32	Gúdar-Javalambre	Bueno	7367
33	Matarraña / Matarranya	Ruinoso	52
33	Matarraña / Matarranya	Malo	104
33	Matarraña / Matarranya	Deficiente	669
33	Matarraña / Matarranya	Bueno	4904
