Municipio código	Municipio nombre	Estado	Número de edificios
22001	Abiego	Deficiente	26
22001	Abiego	Bueno	160
22002	Abizanda	Ruinoso	36
22002	Abizanda	Malo	1
22002	Abizanda	Deficiente	4
22002	Abizanda	Bueno	48
22003	Adahuesca	Bueno	116
22004	Agüero	Ruinoso	2
22004	Agüero	Malo	6
22004	Agüero	Deficiente	46
22004	Agüero	Bueno	159
22006	Aísa	Malo	2
22006	Aísa	Deficiente	7
22006	Aísa	Bueno	199
22007	Albalate de Cinca	Ruinoso	1
22007	Albalate de Cinca	Malo	2
22007	Albalate de Cinca	Deficiente	17
22007	Albalate de Cinca	Bueno	390
22008	Albalatillo	Ruinoso	1
22008	Albalatillo	Deficiente	10
22008	Albalatillo	Bueno	115
22009	Albelda	Ruinoso	10
22009	Albelda	Malo	26
22009	Albelda	Deficiente	85
22009	Albelda	Bueno	314
22011	Albero Alto	Malo	2
22011	Albero Alto	Deficiente	3
22011	Albero Alto	Bueno	45
22012	Albero Bajo	Deficiente	5
22012	Albero Bajo	Bueno	39
22013	Alberuela de Tubo	Ruinoso	1
22013	Alberuela de Tubo	Deficiente	1
22013	Alberuela de Tubo	Bueno	134
22014	Alcalá de Gurrea	Malo	4
22014	Alcalá de Gurrea	Deficiente	36
22014	Alcalá de Gurrea	Bueno	176
22015	Alcalá del Obispo	Ruinoso	1
22015	Alcalá del Obispo	Malo	2
22015	Alcalá del Obispo	Deficiente	15
22015	Alcalá del Obispo	Bueno	248
22016	Alcampell	Ruinoso	2
22016	Alcampell	Malo	26
22016	Alcampell	Deficiente	54
22016	Alcampell	Bueno	420
22017	Alcolea de Cinca	Ruinoso	2
22017	Alcolea de Cinca	Malo	2
22017	Alcolea de Cinca	Deficiente	24
22017	Alcolea de Cinca	Bueno	380
22018	Alcubierre	Ruinoso	7
22018	Alcubierre	Malo	9
22018	Alcubierre	Deficiente	17
22018	Alcubierre	Bueno	232
22019	Alerre	Deficiente	1
22019	Alerre	Bueno	63
22020	Alfántega	Ruinoso	3
22020	Alfántega	Malo	7
22020	Alfántega	Deficiente	20
22020	Alfántega	Bueno	42
22021	Almudévar	Ruinoso	9
22021	Almudévar	Malo	18
22021	Almudévar	Deficiente	99
22021	Almudévar	Bueno	881
22022	Almunia de San Juan	Ruinoso	1
22022	Almunia de San Juan	Malo	21
22022	Almunia de San Juan	Deficiente	117
22022	Almunia de San Juan	Bueno	210
22023	Almuniente	Ruinoso	2
22023	Almuniente	Malo	4
22023	Almuniente	Deficiente	11
22023	Almuniente	Bueno	240
22024	Alquézar	Deficiente	11
22024	Alquézar	Bueno	191
22025	Altorricón	Ruinoso	2
22025	Altorricón	Malo	15
22025	Altorricón	Deficiente	62
22025	Altorricón	Bueno	476
22027	Angüés	Ruinoso	21
22027	Angüés	Malo	10
22027	Angüés	Deficiente	13
22027	Angüés	Bueno	275
22028	Ansó	Ruinoso	6
22028	Ansó	Malo	11
22028	Ansó	Deficiente	23
22028	Ansó	Bueno	298
22029	Antillón	Ruinoso	5
22029	Antillón	Deficiente	3
22029	Antillón	Bueno	60
22032	Aragüés del Puerto	Malo	4
22032	Aragüés del Puerto	Deficiente	14
22032	Aragüés del Puerto	Bueno	115
22035	Arén	Malo	2
22035	Arén	Deficiente	32
22035	Arén	Bueno	195
22036	Argavieso	Bueno	66
22037	Arguis	Ruinoso	1
22037	Arguis	Deficiente	2
22037	Arguis	Bueno	57
22039	Ayerbe	Ruinoso	2
22039	Ayerbe	Malo	4
22039	Ayerbe	Deficiente	15
22039	Ayerbe	Bueno	512
22040	Azanuy-Alins	Deficiente	3
22040	Azanuy-Alins	Bueno	197
22041	Azara	Malo	3
22041	Azara	Deficiente	3
22041	Azara	Bueno	89
22042	Azlor	Ruinoso	4
22042	Azlor	Deficiente	8
22042	Azlor	Bueno	91
22043	Baells	Malo	1
22043	Baells	Deficiente	5
22043	Baells	Bueno	91
22044	Bailo	Deficiente	1
22044	Bailo	Bueno	158
22045	Baldellou	Malo	3
22045	Baldellou	Deficiente	4
22045	Baldellou	Bueno	136
22046	Ballobar	Ruinoso	5
22046	Ballobar	Malo	14
22046	Ballobar	Deficiente	38
22046	Ballobar	Bueno	412
22047	Banastás	Bueno	68
22048	Barbastro	Ruinoso	19
22048	Barbastro	Malo	78
22048	Barbastro	Deficiente	347
22048	Barbastro	Bueno	1596
22049	Barbués	Ruinoso	2
22049	Barbués	Malo	3
22049	Barbués	Deficiente	4
22049	Barbués	Bueno	50
22050	Barbuñales	Deficiente	2
22050	Barbuñales	Bueno	85
22051	Bárcabo	Ruinoso	2
22051	Bárcabo	Malo	1
22051	Bárcabo	Deficiente	8
22051	Bárcabo	Bueno	55
22052	Belver de Cinca	Ruinoso	1
22052	Belver de Cinca	Malo	1
22052	Belver de Cinca	Deficiente	38
22052	Belver de Cinca	Bueno	498
22053	Benabarre	Ruinoso	1
22053	Benabarre	Malo	5
22053	Benabarre	Deficiente	32
22053	Benabarre	Bueno	527
22054	Benasque	Malo	3
22054	Benasque	Deficiente	28
22054	Benasque	Bueno	442
22055	Berbegal	Ruinoso	1
22055	Berbegal	Malo	2
22055	Berbegal	Deficiente	15
22055	Berbegal	Bueno	254
22057	Bielsa	Ruinoso	2
22057	Bielsa	Malo	1
22057	Bielsa	Deficiente	14
22057	Bielsa	Bueno	251
22058	Bierge	Ruinoso	2
22058	Bierge	Malo	14
22058	Bierge	Deficiente	62
22058	Bierge	Bueno	115
22059	Biescas	Ruinoso	11
22059	Biescas	Malo	10
22059	Biescas	Deficiente	60
22059	Biescas	Bueno	764
22060	Binaced	Ruinoso	5
22060	Binaced	Malo	23
22060	Binaced	Deficiente	88
22060	Binaced	Bueno	491
22061	Binéfar	Ruinoso	24
22061	Binéfar	Malo	28
22061	Binéfar	Deficiente	147
22061	Binéfar	Bueno	1636
22062	Bisaurri	Ruinoso	3
22062	Bisaurri	Malo	1
22062	Bisaurri	Deficiente	13
22062	Bisaurri	Bueno	109
22063	Biscarrués	Malo	1
22063	Biscarrués	Deficiente	19
22063	Biscarrués	Bueno	120
22064	Blecua y Torres	Ruinoso	1
22064	Blecua y Torres	Malo	2
22064	Blecua y Torres	Deficiente	2
22064	Blecua y Torres	Bueno	130
22066	Boltaña	Ruinoso	10
22066	Boltaña	Malo	30
22066	Boltaña	Deficiente	93
22066	Boltaña	Bueno	200
22067	Bonansa	Ruinoso	2
22067	Bonansa	Deficiente	7
22067	Bonansa	Bueno	44
22068	Borau	Ruinoso	3
22068	Borau	Malo	2
22068	Borau	Deficiente	2
22068	Borau	Bueno	76
22069	Broto	Ruinoso	2
22069	Broto	Bueno	307
22072	Caldearenas	Ruinoso	1
22072	Caldearenas	Malo	3
22072	Caldearenas	Deficiente	8
22072	Caldearenas	Bueno	176
22074	Campo	Ruinoso	1
22074	Campo	Deficiente	2
22074	Campo	Bueno	214
22075	Camporrells	Ruinoso	4
22075	Camporrells	Malo	4
22075	Camporrells	Deficiente	11
22075	Camporrells	Bueno	182
22076	Canal de Berdún	Deficiente	3
22076	Canal de Berdún	Bueno	277
22077	Candasnos	Ruinoso	25
22077	Candasnos	Malo	16
22077	Candasnos	Deficiente	26
22077	Candasnos	Bueno	204
22078	Canfranc	Deficiente	6
22078	Canfranc	Bueno	167
22079	Capdesaso	Ruinoso	1
22079	Capdesaso	Malo	2
22079	Capdesaso	Deficiente	14
22079	Capdesaso	Bueno	84
22080	Capella	Malo	1
22080	Capella	Deficiente	5
22080	Capella	Bueno	216
22081	Casbas de Huesca	Ruinoso	28
22081	Casbas de Huesca	Malo	14
22081	Casbas de Huesca	Deficiente	24
22081	Casbas de Huesca	Bueno	288
22082	Castejón del Puente	Ruinoso	5
22082	Castejón del Puente	Malo	3
22082	Castejón del Puente	Deficiente	8
22082	Castejón del Puente	Bueno	207
22083	Castejón de Monegros	Ruinoso	1
22083	Castejón de Monegros	Deficiente	17
22083	Castejón de Monegros	Bueno	325
22084	Castejón de Sos	Ruinoso	1
22084	Castejón de Sos	Malo	3
22084	Castejón de Sos	Deficiente	4
22084	Castejón de Sos	Bueno	229
22085	Castelflorite	Ruinoso	3
22085	Castelflorite	Deficiente	10
22085	Castelflorite	Bueno	48
22086	Castiello de Jaca	Deficiente	6
22086	Castiello de Jaca	Bueno	126
22087	Castigaleu	Deficiente	6
22087	Castigaleu	Bueno	41
22088	Castillazuelo	Malo	8
22088	Castillazuelo	Deficiente	37
22088	Castillazuelo	Bueno	89
22089	Castillonroy	Ruinoso	2
22089	Castillonroy	Malo	10
22089	Castillonroy	Deficiente	16
22089	Castillonroy	Bueno	228
22090	Colungo	Ruinoso	2
22090	Colungo	Malo	5
22090	Colungo	Deficiente	39
22090	Colungo	Bueno	49
22094	Chalamera	Malo	1
22094	Chalamera	Deficiente	5
22094	Chalamera	Bueno	86
22095	Chía	Malo	1
22095	Chía	Deficiente	11
22095	Chía	Bueno	44
22096	Chimillas	Deficiente	1
22096	Chimillas	Bueno	76
22099	Esplús	Ruinoso	1
22099	Esplús	Deficiente	24
22099	Esplús	Bueno	239
22102	Estada	Deficiente	1
22102	Estada	Bueno	99
22103	Estadilla	Ruinoso	4
22103	Estadilla	Malo	1
22103	Estadilla	Deficiente	24
22103	Estadilla	Bueno	344
22105	Estopiñán del Castillo	Ruinoso	2
22105	Estopiñán del Castillo	Malo	9
22105	Estopiñán del Castillo	Deficiente	23
22105	Estopiñán del Castillo	Bueno	144
22106	Fago	Ruinoso	6
22106	Fago	Deficiente	11
22106	Fago	Bueno	60
22107	Fanlo	Ruinoso	7
22107	Fanlo	Malo	3
22107	Fanlo	Deficiente	2
22107	Fanlo	Bueno	113
22109	Fiscal	Deficiente	2
22109	Fiscal	Bueno	211
22110	Fonz	Ruinoso	1
22110	Fonz	Malo	39
22110	Fonz	Deficiente	111
22110	Fonz	Bueno	443
22111	Foradada del Toscar	Malo	2
22111	Foradada del Toscar	Deficiente	6
22111	Foradada del Toscar	Bueno	131
22112	Fraga	Ruinoso	52
22112	Fraga	Malo	120
22112	Fraga	Deficiente	336
22112	Fraga	Bueno	1713
22113	Fueva (La)	Ruinoso	1
22113	Fueva (La)	Malo	13
22113	Fueva (La)	Deficiente	25
22113	Fueva (La)	Bueno	240
22114	Gistaín	Deficiente	3
22114	Gistaín	Bueno	59
22115	Grado (El)	Ruinoso	10
22115	Grado (El)	Malo	51
22115	Grado (El)	Deficiente	135
22115	Grado (El)	Bueno	211
22116	Grañén	Ruinoso	1
22116	Grañén	Malo	17
22116	Grañén	Deficiente	79
22116	Grañén	Bueno	606
22117	Graus	Ruinoso	76
22117	Graus	Malo	42
22117	Graus	Deficiente	100
22117	Graus	Bueno	1127
22119	Gurrea de Gállego	Ruinoso	1
22119	Gurrea de Gállego	Deficiente	1
22119	Gurrea de Gállego	Bueno	796
22122	Hoz de Jaca	Ruinoso	4
22122	Hoz de Jaca	Malo	7
22122	Hoz de Jaca	Deficiente	20
22122	Hoz de Jaca	Bueno	40
22124	Huerto	Ruinoso	13
22124	Huerto	Malo	3
22124	Huerto	Deficiente	19
22124	Huerto	Bueno	164
22125	Huesca	Ruinoso	64
22125	Huesca	Malo	82
22125	Huesca	Deficiente	276
22125	Huesca	Bueno	2416
22126	Ibieca	Malo	3
22126	Ibieca	Deficiente	3
22126	Ibieca	Bueno	73
22127	Igriés	Ruinoso	1
22127	Igriés	Malo	1
22127	Igriés	Deficiente	5
22127	Igriés	Bueno	104
22128	Ilche	Ruinoso	1
22128	Ilche	Malo	2
22128	Ilche	Deficiente	10
22128	Ilche	Bueno	128
22129	Isábena	Ruinoso	3
22129	Isábena	Malo	4
22129	Isábena	Deficiente	21
22129	Isábena	Bueno	117
22130	Jaca	Ruinoso	15
22130	Jaca	Malo	52
22130	Jaca	Deficiente	266
22130	Jaca	Bueno	1719
22131	Jasa	Malo	13
22131	Jasa	Deficiente	16
22131	Jasa	Bueno	103
22133	Labuerda	Deficiente	4
22133	Labuerda	Bueno	87
22135	Laluenga	Ruinoso	1
22135	Laluenga	Malo	1
