Provincia código	Provincia nombre	Viviendas en el edificio	Número de edificios
22	Huesca	01	49890
22	Huesca	02	4028
22	Huesca	03	1223
22	Huesca	04	777
22	Huesca	05 a 09	2255
22	Huesca	10 a 19	1465
22	Huesca	20 a 39	630
22	Huesca	40 o más	191
22	Huesca	Sin determinar	92
44	Teruel	01	61568
44	Teruel	02	4125
44	Teruel	03	1142
44	Teruel	04	591
44	Teruel	05 a 09	1430
44	Teruel	10 a 19	532
44	Teruel	20 a 39	92
44	Teruel	40 o más	25
44	Teruel	Sin determinar	33
50	Zaragoza	01	111375
50	Zaragoza	02	9160
50	Zaragoza	03	2069
50	Zaragoza	04	1706
50	Zaragoza	05 a 09	6821
50	Zaragoza	10 a 19	6509
50	Zaragoza	20 a 39	3435
50	Zaragoza	40 o más	982
50	Zaragoza	Sin determinar	270
