Año	CCAA código	CCAA nombre	Urbano, superficie	% Urbana	Rústico, superficie	% Rústica
2019	02	Aragón	35104,18	0,737526745817324	4724612,02	99,2624732541827
2018	02	Aragón	34972,12	0,734129351124203	4728782,38	99,2658706488758
2017	02	Aragón	34812,17	0,730606427068776	4730019,99	99,2693935729312
2016	02	Aragón	37399,09	0,784657555707778	4728895,42	99,2153424442922
2015	02	Aragón	37399,09	0,784380888452854	4730576,59	99,2156191115472
2014	02	Aragón	37376,61	0,785330827703269	4721969,22	99,2146691722967
2013	02	Aragón	36965,36	0,77519428451769	4731563,09	99,2248057154823
2012	02	Aragón	36553,4	0,766691863627898	4731124,69	99,2333081363721
2011	02	Aragón	39056,04	0,818565960716776	4732219,81	99,1814340392832
2010	02	Aragón	38410,69	0,805054016949002	4732783,44	99,194945983051
2009	02	Aragón	37691,17	0,790987702504116	4727385,44	99,2090122974959
2008	02	Aragón	35751,02	0,750490151076033	4727938,41	99,249509848924
2007	02	Aragón	34020,11	0,71285783597998	4738335,37	99,28714216402
2006	02	Aragón	34446,43	0,718894667436948	4757135,92	99,2811053325631
2005	02	Aragón	40384,91	0,844936422195124	4739254	99,1550635778049
2004	02	Aragón	39605,45	0,830058885516983	4731797	99,169941114483
2003	02	Aragón	38807,76	0,816831486857865	4712204	99,1831685131421
2002	02	Aragón	37413,45	0,789021245079445	4704341	99,2109787549206
2001	02	Aragón	36366,12	0,770079342855599	4686020	99,2299206571444
