Año	Comarca código	Comarca nombre	Urbano, parcelas	Urbano, superficie	Urbano, bienes inmuebles	Urbano, valor catastral total	Urbano, valor catastral construcción	Urbano, valor catastral suelo
2017	01	La Jacetania	10010	768,69	46234	1690208,72	762963,07	924663,47
2017	02	Alto Gállego	7661	928,95	33974	1168647,7	686524,66	459553,46
2017	03	Sobrarbe	7592	427,78	12473	475802	331080,96	141969,79
2017	04	La Ribagorza	12931	676,54	23816	864452,64	512426,29	348831,14
2017	05	Cinco Villas	19240	1405,11	33153	1231088,98	702603,16	492376,12
2017	06	Hoya de Huesca / Plana de Uesca	23615	1749,78	76137	2604230,04	1708732,25	872313,22
2017	07	Somontano de Barbastro	12958	909,75	25262	878072,3	683511,1	194372,51
2017	08	Cinca Medio	10450	894,34	21628	674398,76	512227,5	162144,56
2017	09	La Litera / La Llitera	10543	498,01	17380	620292,03	425973,54	184932,39
2017	10	Los Monegros	16791	1089,33	19201	586516,14	350558,67	143044,19
2017	11	Bajo Cinca / Baix Cinca	10419	554,82	19162	768540,29	520854,08	230678,6
2017	12	Tarazona y el Moncayo	10076	409,22	18088	423201,87	225378,4	69078,25
2017	13	Campo de Borja	11303	579,18	15668	396932,44	215437,2	64777,06
2017	14	Aranda	6837	150,35	10218	171170,94	87236,39	49970,99
2017	15	Ribera Alta del Ebro	14192	1758,55	22658	1291988,03	780783,18	437187,22
2017	16	Valdejalón	18214	1800,22	28306	1287542,58	674595	512142,86
2017	17	D.C. Zaragoza	62120	10925,51	575440	46985239,92	21023421,42	25885409,33
2017	18	Ribera Baja del Ebro	7608	907,62	8545	267828,19	158182,06	92742,96
2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	10156	467,41	14172	408982,39	189834,54	79746,18
2017	20	Comunidad de Calatayud	34791	1230,74	55019	1504507,73	1005231,56	410348,55
2017	21	Campo de Cariñena	9460	685,55	12287	365028,55	194172,63	107587,58
2017	22	Campo de Belchite	7026	232,03	7255	128880,11	65155,89	35994,91
2017	23	Bajo Martín	7249	298,14	8587	222073,62	135768,69	43710,66
2017	24	Campo de Daroca	10948	265,42	12197	239306,28	142321,96	66893,02
2017	25	Jiloca	19050	686,89	22298	475610,12	304483,19	93927,15
2017	26	Cuencas Mineras	11144	300,71	14317	240802,88	164888,24	67337,64
2017	27	Andorra-Sierra de Arcos	8009	369,29	11879	358440,08	207463,64	125216,79
2017	28	Bajo Aragón	17304	1027,83	31896	970809,19	654273,86	254018,53
2017	29	Comunidad de Teruel	23841	1652,02	54374	2135200,58	1502886,77	562178,28
2017	30	Maestrazgo	6334	103,52	7326	128952,79	101145,52	26975,65
2017	31	Sierra de Albarracín	9602	292,11	10938	217950,88	146125,13	51952,95
2017	32	Gúdar-Javalambre	16111	529,86	22272	454440,94	315014,42	96744,45
2017	33	Matarraña / Matarranya	9970	236,9	11491	281011,4	197166,69	66305,71
2016	01	La Jacetania	9843	841,2	46122	2059819,05	879222,07	1180596,99
2016	02	Alto Gállego	7772	1300,21	33866	1224076,05	678648,14	545427,9
2016	03	Sobrarbe	7402	429,66	12238	453496,7	374966,03	78530,63
2016	04	La Ribagorza	13043	772,18	23811	857904,04	481905,48	375998,56
2016	05	Cinco Villas	19330	1906,03	32973	1303277,13	697379,83	605897,25
2016	06	Hoya de Huesca / Plana de Uesca	23921	1771,95	75730	2286380,8	1447451,59	838929,22
2016	07	Somontano de Barbastro	12876	947,4	25080	845182,69	633659,7	211522,99
2016	08	Cinca Medio	10238	889	21445	571682,43	415298,35	156384,08
2016	09	La Litera / La Llitera	10484	565,5	17220	605429,4	414658,96	190770,44
2016	10	Los Monegros	16956	1094,18	19452	540720,09	354473,42	186246,7
2016	11	Bajo Cinca / Baix Cinca	10372	648,62	18889	719186,73	505017,45	214169,31
2016	12	Tarazona y el Moncayo	10048	406,37	18009	350692,37	219739,49	130952,87
2016	13	Campo de Borja	10964	530,51	15398	329962,79	216100,93	113861,84
2016	14	Aranda	7178	234,34	10567	206406,61	110528,82	95877,78
2016	15	Ribera Alta del Ebro	14557	2183,61	22952	1481191,93	844502,43	636689,5
2016	16	Valdejalón	18375	2065,46	28429	1252990,42	594294,98	658695,44
2016	17	D.C. Zaragoza	61897	11367,45	568982	46597632,19	25240724,95	21356907,27
