Año	Provincia código	Provincia nombre	Urbano, parcelas	Urbano, superficie	Urbano, bienes inmuebles	Urbano, valor catastral total	Urbano, valor catastral construcción	Urbano, valor catastral suelo
2016	22	Huesca	116184	8869,98	286152	9964613,93	6062169,35	3902444,6
2016	44	Teruel	127915	5584,23	194169	4880956,28	3273524,1	1607432,18
2016	50	Zaragoza	229265	22944,88	814428	54439636,93	29728509,78	24711127,02
2015	22	Huesca	116184	8869,98	286152	9964613,93	6062169,35	3902444,6
2015	44	Teruel	127915	5584,23	194169	4880956,28	3273524,1	1607432,18
2015	50	Zaragoza	229265	22944,88	814428	54439636,93	29728509,78	24711127,02
2014	22	Huesca	116168	8864,32	284654	10085451,29	5985854,18	4099596,98
2014	44	Teruel	127865	5552,18	192706	4399153,23	2947235,31	1451918,06
2014	50	Zaragoza	229426	22960,11	806872	53719648,56	29256079,49	24463569,14
2013	22	Huesca	115796	8889,47	282134	9856382	5815181,15	4041200,87
2013	44	Teruel	127033	5413,26	190725	4093841,44	2735236,14	1358605,24
2013	50	Zaragoza	227308	22662,63	797927	53369611,23	28970322,51	24399288,63
2012	22	Huesca	115909	8877,12	281734	9195134,66	5352834,79	3842299,88
2012	44	Teruel	126618	5402,42	188739	4012639,84	2681461,24	1331178,57
2012	50	Zaragoza	225869	22273,86	795701	36085945,72	19583222,94	16502722,65
2011	22	Huesca	116384	8369,12	278738	9026164,51	5244455,23	3781709,43
2011	44	Teruel	125991	5347,01	184850	3880772,7	2594884,54	1285888,22
2011	50	Zaragoza	229901	25339,91	785092	35284230,94	19134633,7	16149597,15
2010	22	Huesca	115938	8295,74	275559	8742300,88	5022166,74	3720134,22
2010	44	Teruel	125027	5180,51	180543	3699746,25	2472949,57	1226796,59
2010	50	Zaragoza	229333	24934,44	769534	34378074,98	18632148,01	15745927,05
2009	22	Huesca	115440	8187,81	267425	7658640,6	4548184,88	3110455,65
2009	44	Teruel	124448	4874,28	176030	3365120,8	2282296,63	1082824,09
2009	50	Zaragoza	228074	24629,08	748610	32658162,96	17522270,17	15135892,85
2008	22	Huesca	116101	7582	255816	6134677,68	4027878,24	2106799,5
2008	44	Teruel	121711	4698,57	171177	3015010,58	2041387,25	973623,27
2008	50	Zaragoza	226346	23470,45	725436	30430058,7	16230846,83	14199211,92
2007	22	Huesca	115650	7442,25	248982	5858244,85	3810161,39	2048083,35
2007	44	Teruel	121610	4619,97	166509	2806805,88	1931330,23	875475,51
2007	50	Zaragoza	225421	21957,89	706583	28516584,64	15225858,83	13290725,91
2006	22	Huesca	115573	7359,93	245664	5545019,41	3593634,56	1951384,94
2006	44	Teruel	122706	4699,01	165537	2653085,67	1830527,53	822558,26
2006	50	Zaragoza	222692	22387,49	694220	26327875,8	14159961,96	12167913,93
2005	22	Huesca	116567	10936,37	241992			
2005	44	Teruel	120192	4883,48	164311			
2005	50	Zaragoza	221234	24565,06	677787			
2004	22	Huesca	117609	10718,26	237906			
2004	44	Teruel	118993	5964,74	162664			
2004	50	Zaragoza	219011	22922,45	664486			
2003	22	Huesca	116753	10809,59	231785			
2003	44	Teruel	118314	5963,66	160442			
2003	50	Zaragoza	217696	22034,51	653604			
2002	22	Huesca	116144	10367,28	228829			
2002	44	Teruel	117784	5591,51	159025			
2002	50	Zaragoza	216025	21454,66	642629			
2001	22	Huesca	115510	9397,58	226326			
2001	44	Teruel	117285	5569,49	157196			
2001	50	Zaragoza	215229	21399,05	633023			
