Fuente y fecha	Año	Comarca código	Comarca nombre	Total edificios	Antes de 1950	1950-1959	1960-1969	1970-1979	1980-1989	1990-1999	2000-2009	2010 y posterior	Sin definir
Catastro (diciembre de 2017                          )	2017	01	La Jacetania	44394	6010	503	1254	6012	9578	9868	10150	964	55
Catastro (diciembre de 2017                          )	2017	02	Alto Gállego	31875	2067	854	1826	3989	3931	5218	13275	660	55
Catastro (diciembre de 2017                          )	2017	03	Sobrarbe	11125	3987	238	248	701	1203	1044	3139	531	34
Catastro (diciembre de 2017                          )	2017	04	La Ribagorza	21248	6682	483	483	2261	1886	2565	5939	890	59
Catastro (diciembre de 2017                          )	2017	05	Cinco Villas	30494	7610	1394	4139	3649	3151	2737	5575	898	1341
Catastro (diciembre de 2017                          )	2017	06	Hoya de Huesca / Plana de Uesca	71761	10945	2263	5148	11861	11860	11778	14916	2928	62
Catastro (diciembre de 2017                          )	2017	07	Somontano de Barbastro	23268	6349	543	1725	3631	3353	2674	4316	642	35
Catastro (diciembre de 2017                          )	2017	08	Cinca Medio	19931	3800	837	2764	2935	1782	2746	4171	875	21
Catastro (diciembre de 2017                          )	2017	09	La Litera / La Llitera	15723	4530	956	1743	2254	1638	1257	2676	639	30
Catastro (diciembre de 2017                          )	2017	10	Los Monegros	16741	5246	1408	2921	2547	1834	959	1452	323	51
Catastro (diciembre de 2017                          )	2017	11	Bajo Cinca / Baix Cinca	17751	3608	604	1505	3263	2469	2103	3758	408	33
Catastro (diciembre de 2017                          )	2017	12	Tarazona y el Moncayo	16790	6028	469	586	2111	2226	2248	2511	597	14
Catastro (diciembre de 2017                          )	2017	13	Campo de Borja	14209	5431	736	863	1532	1592	1310	2513	182	50
Catastro (diciembre de 2017                          )	2017	14	Aranda	9309	3237	323	609	1284	2079	853	777	78	69
Catastro (diciembre de 2017                          )	2017	15	Ribera Alta del Ebro	20494	3499	1219	1316	1760	2928	1945	6029	670	1128
Catastro (diciembre de 2017                          )	2017	16	Valdejalón	25704	6874	664	1311	2554	3102	2146	7909	999	145
Catastro (diciembre de 2017                          )	2017	17	D.C. Zaragoza	565985	27373	26602	83733	122508	91159	67295	120790	26162	363
Catastro (diciembre de 2017                          )	2017	18	Ribera Baja del Ebro	7755	3188	772	565	775	1008	590	669	178	10
Catastro (diciembre de 2017                          )	2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	12736	3049	342	1427	2178	2232	1473	1696	258	81
Catastro (diciembre de 2017                          )	2017	20	Comunidad de Calatayud	51174	20016	2055	2840	6260	4646	5686	8150	1314	207
Catastro (diciembre de 2017                          )	2017	21	Campo de Cariñena	11188	4577	245	343	1771	1472	697	1742	276	65
Catastro (diciembre de 2017                          )	2017	22	Campo de Belchite	6642	3523	548	638	492	667	341	337	81	15
Catastro (diciembre de 2017                          )	2017	23	Bajo Martín	7660	4278	235	296	579	898	637	570	147	20
Catastro (diciembre de 2017                          )	2017	24	Campo de Daroca	10851	6838	425	460	889	887	501	650	174	27
Catastro (diciembre de 2017                          )	2017	25	Jiloca	19782	8663	622	1013	2372	2616	1479	2305	443	269
Catastro (diciembre de 2017                          )	2017	26	Cuencas Mineras	12798	5019	687	842	1936	2773	503	838	188	12
Catastro (diciembre de 2017                          )	2017	27	Andorra-Sierra de Arcos	11077	3497	655	592	1850	1991	1044	1046	391	11
Catastro (diciembre de 2017                          )	2017	28	Bajo Aragón	29916	6631	984	1730	4077	3923	4777	5578	1109	1107
Catastro (diciembre de 2017                          )	2017	29	Comunidad de Teruel	50636	9444	1652	3393	7306	7932	6697	10264	3877	71
Catastro (diciembre de 2017                          )	2017	30	Maestrazgo	6677	3629	219	234	661	817	300	482	322	13
Catastro (diciembre de 2017                          )	2017	31	Sierra de Albarracín	9010	4795	196	399	597	1054	538	1023	335	73
Catastro (diciembre de 2017                          )	2017	32	Gúdar-Javalambre	18395	7724	284	552	1956	1929	1146	3966	769	69
Catastro (diciembre de 2017                          )	2017	33	Matarraña / Matarranya	10187	5266	207	334	911	1300	761	1096	297	15
