Fuente y fecha	Año	Municipio código	Municipio nombre	Total edificios	Antes de 1950	1950-1959	1960-1969	1970-1979	1980-1989	1990-1999	2000-2009	2010 y posterior	Sin definir
Catastro (diciembre de 2019                          )	2019	22001	Abiego	354	231	2	12	23	27	14	39	6	0
Catastro (diciembre de 2019                          )	2019	22002	Abizanda	136	87	3	2	12	5	9	15	3	0
Catastro (diciembre de 2019                          )	2019	22003	Adahuesca	198	127	3	4	5	11	7	38	3	0
Catastro (diciembre de 2019                          )	2019	22004	Agüero	397	323	2	1	6	11	12	40	2	0
Catastro (diciembre de 2019                          )	2019	22006	Aísa	3253	215	4	116	841	1196	465	347	68	1
Catastro (diciembre de 2019                          )	2019	22007	Albalate de Cinca	715	275	15	81	153	42	46	84	16	3
Catastro (diciembre de 2019                          )	2019	22008	Albalatillo	233	68	38	33	45	26	11	8	3	1
Catastro (diciembre de 2019                          )	2019	22009	Albelda	586	220	44	75	73	62	33	58	19	2
Catastro (diciembre de 2019                          )	2019	22011	Albero Alto	99	31	17	20	12	1	3	14	1	0
Catastro (diciembre de 2019                          )	2019	22012	Albero Bajo	120	42	16	20	7	5	4	12	12	2
Catastro (diciembre de 2019                          )	2019	22013	Alberuela de Tubo	237	29	24	117	23	10	3	16	10	5
Catastro (diciembre de 2019                          )	2019	22014	Alcalá de Gurrea	274	98	34	36	56	16	6	25	2	1
Catastro (diciembre de 2019                          )	2019	22015	Alcalá del Obispo	439	137	67	80	51	27	24	42	10	1
Catastro (diciembre de 2019                          )	2019	22016	Alcampell	863	365	116	101	136	61	27	40	15	2
Catastro (diciembre de 2019                          )	2019	22017	Alcolea de Cinca	1104	445	20	61	138	143	131	139	27	0
Catastro (diciembre de 2019                          )	2019	22018	Alcubierre	408	245	37	31	39	16	14	19	7	0
Catastro (diciembre de 2019                          )	2019	22019	Alerre	137	36	2	3	17	18	28	27	6	0
Catastro (diciembre de 2019                          )	2019	22020	Alfántega	148	75	12	11	10	6	2	30	0	2
Catastro (diciembre de 2019                          )	2019	22021	Almudévar	2244	815	249	134	186	227	109	438	83	3
Catastro (diciembre de 2019                          )	2019	22022	Almunia de San Juan	608	306	28	42	45	45	34	89	18	1
Catastro (diciembre de 2019                          )	2019	22023	Almuniente	400	117	133	22	37	35	15	34	7	0
Catastro (diciembre de 2019                          )	2019	22024	Alquézar	435	243	2	2	6	18	49	89	26	0
Catastro (diciembre de 2019                          )	2019	22025	Altorricón	984	147	88	186	168	101	49	221	24	0
Catastro (diciembre de 2019                          )	2019	22027	Angüés	478	363	18	19	25	12	11	24	6	0
Catastro (diciembre de 2019                          )	2019	22028	Ansó	682	340	6	16	30	114	45	123	8	0
