Año	CCAA código	CCAA nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total Bienes inmuebles
2003	02	Aragón	654681											391150			1045831
2004	02	Aragón	670685											394371			1065056
2005	02	Aragón	682488											401602			1084090
2006	02	Aragón	696957	175630	30033	2221	116391	1480	1500	5989	907	2509	202	408464	70848	754	1105421
2007	02	Aragón	706601	180725	30395	2289	114706	1475	1558	6320	920	2488	199	415473	73629	769	1122074
2008	02	Aragón	721263	192280	31025	2304	114171	1491	1589	6681	922	2475	192	431166	77250	786	1152429
2009	02	Aragón	743187	208736	31602	2333	111956	1505	1609	7276	932	2447	188	448878	79474	820	1192065
2010	02	Aragón	771033	233074	32582	2306	106733	1571	1712	7865	980	2440	193	470808	80493	859	1241841
2011	02	Aragón	773578	235560	32664	2301	106664	1571	1710	7879	967	2436	187	475102	82307	856	1248680
2012	02	Aragón	781070	243696	32919	2372	106544	1587	1748	8085	987	2441	187	485104	83685	853	1266174
2013	02	Aragón	781945	253268	40564	2203	92826	1596	1747	8242	987	2426	177	488829	83928	865	1270774
2014	02	Aragón	788594	259104	40784	2250	92246	1620	1803	8241	1002	2439	180	495638	85089	880	1284232
2015	02	Aragón	794890	264063	40915	2387	92428	1661	2281	8378	1015	2504	182	499842	83106	922	1294732
2016	02	Aragón	795662	267975	41109	2425	91526	1705	2444	8391	1023	2546	183	502053	81777	949	1297715
2017	02	Aragón	798532	271852	41362	2528	91701	1736	2615	8468	1022	2585	184	505104	80065	986	1303636
