Año	Comarca código	Comarca nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2003	01	La Jacetania	18619											17860			36479
2003	02	Alto Gállego	10951											9941			20892
2003	03	Sobrarbe	4133											4355			8488
2003	04	La Ribagorza	9017											10394			19411
2003	05	Cinco Villas	17007											10411			27418
2003	06	Hoya de Huesca / Plana de Uesca	31887											28602			60489
2003	07	Somontano de Barbastro	11900											8782			20682
2003	08	Cinca Medio	10443											6810			17253
2003	09	La Litera / La Llitera	10030											7957			17987
2003	10	Los Monegros	11304											8339			19643
2003	11	Bajo Cinca / Baix Cinca	10909											6124			17033
2003	12	Tarazona y el Moncayo	9819											5686			15505
2003	13	Campo de Borja	8728											4354			13082
2003	14	Aranda	5643											4140			9783
2003	15	Ribera Alta del Ebro	11289											5594			16883
2003	16	Valdejalón	12760											7083			19843
2003	17	Central	298475											151111			449586
2003	18	Ribera Baja del Ebro	5690											2208			7898
2003	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7494											4138			11632
2003	20	Comunidad de Calatayud	28316											18506			46822
2003	21	Campo de Cariñena	6536											3572			10108
2003	22	Campo de Belchite	5599											1524			7123
2003	23	Bajo Martín	5716											2313			8029
2003	24	Campo de Daroca	7412											3937			11349
2003	25	Jiloca	12799											6894			19693
2003	26	Cuencas Mineras	7837											5466			13303
2003	27	Andorra-Sierra de Arcos	7125											3606			10731
2003	28	Bajo Aragón	15775											9608			25383
2003	29	Comunidad de Teruel	23780											17499			41279
2003	30	Maestrazgo	3532											2861			6393
2003	31	Sierra de Albarracín	6458											2628			9086
2003	32	Gúdar-Javalambre	10502											6116			16618
2003	33	Matarraña / Matarranya	7196											2731			9927
2004	01	La Jacetania	19359											18195			37554
2004	02	Alto Gállego	11926											10300			22226
2004	03	Sobrarbe	4351											4406			8757
2004	04	La Ribagorza	9510											10553			20063
2004	05	Cinco Villas	17587											10083			27670
2004	06	Hoya de Huesca / Plana de Uesca	32722											28930			61652
2004	07	Somontano de Barbastro	12177											9038			21215
2004	08	Cinca Medio	10805											6888			17693
