Año	Provincia código	Provincia nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2003	22	Huesca	124642											107143			231785
2003	44	Teruel	100720											59722			160442
2003	50	Zaragoza	429319											224285			653604
2004	22	Huesca	128877											109029			237906
2004	44	Teruel	101900											60764			162664
2004	50	Zaragoza	439908											224578			664486
2005	22	Huesca	132250											109742			241992
2005	44	Teruel	102693											61618			164311
2005	50	Zaragoza	447545											230242			677787
2006	22	Huesca	136777	43578	6232	1180	36098	324	600	877	281	992	43	108887	18511	171	245664
2006	44	Teruel	102656	15934	1598	244	21013	285	196	374	274	604	37	62881	22225	97	165537
2006	50	Zaragoza	457524	116118	22203	797	59280	871	704	4738	352	913	122	236696	30112	486	694220
2007	22	Huesca	139825	44653	6330	1236	34840	326	604	896	289	974	42	109157	18788	179	248982
2007	44	Teruel	103017	16237	1625	248	21188	288	202	374	275	605	37	63492	22307	106	166509
2007	50	Zaragoza	463759	119835	22440	805	58678	861	752	5050	356	909	120	242824	32534	484	706583
2008	22	Huesca	144111	47552	6403	1220	34206	328	602	908	289	969	42	111705	19008	178	255816
2008	44	Teruel	104848	18020	1759	265	21593	293	217	385	279	605	34	66329	22767	112	171177
2008	50	Zaragoza	472304	126708	22863	819	58372	870	770	5388	354	901	116	253132	35475	496	725436
2009	22	Huesca	150733	52411	6543	1229	33347	332	603	940	297	957	41	116692	19810	182	267425
2009	44	Teruel	107585	19635	1877	282	21435	294	227	438	281	604	34	68445	23223	115	176030
2009	50	Zaragoza	484869	136690	23182	822	57174	879	779	5898	354	886	113	263741	36441	523	748610
2010	22	Huesca	157330	58743	6663	1113	29594	360	606	973	322	934	41	119955	20420	186	277285
2010	44	Teruel	112252	22462	2111	333	21715	315	281	466	290	634	38	71910	23144	121	184162
2010	50	Zaragoza	501451	151869	23808	860	55424	896	825	6426	368	872	114	278943	36929	552	780394
2011	22	Huesca	157886	59220	6687	1111	29543	362	607	975	323	933	40	120852	20867	184	278738
2011	44	Teruel	112493	22626	2113	332	21741	311	280	468	287	634	38	72357	23408	119	184850
2011	50	Zaragoza	503199	153714	23864	858	55380	898	823	6436	357	869	109	281893	38032	553	785092
2012	22	Huesca	159383	60460	6705	1120	29349	367	607	989	330	932	41	122351	21265	186	281734
2012	44	Teruel	114220	24231	2200	339	22109	315	287	468	289	642	37	74519	23484	118	188739
2012	50	Zaragoza	507467	159005	24014	913	55086	905	854	6628	368	867	109	288234	38936	549	795701
2013	22	Huesca	159319	61612	6669	1000	28089	381	644	987	338	926	42	122811	21930	193	282130
2013	44	Teruel	115408	24805	2242	345	22242	317	294	476	288	643	37	75310	23503	118	190718
2013	50	Zaragoza	507218	166851	31653	858	42495	898	809	6779	361	857	98	290708	38495	554	797926
2014	22	Huesca	160562	63192	6715	1015	27128	391	663	997	349	933	43	124092	22470	196	284654
2014	44	Teruel	116541	25512	2295	359	22398	316	302	496	289	645	37	76165	23393	123	192706
2014	50	Zaragoza	511491	170400	31774	876	42720	913	838	6748	364	861	100	295381	39226	561	806872
2015	22	Huesca	162225	64107	6718	1060	25890	409	916	1011	357	977	45	123920	22223	207	286145
2015	44	Teruel	117336	26046	2333	387	23008	326	340	507	288	653	36	76826	22774	128	194162
2015	50	Zaragoza	515329	173910	31864	940	43530	926	1025	6860	370	874	101	299096	38109	587	814425
2016	22	Huesca	160905	66423	6714	1051	24742	425	978	1021	365	1012	48	124819	21827	213	285724
2016	44	Teruel	117688	26317	2401	391	23117	329	362	512	282	654	36	77103	22569	133	194791
2016	50	Zaragoza	517069	175235	31994	983	43667	951	1104	6858	376	880	99	300131	37381	603	817200
2017	22	Huesca	161880	67258	6728	1088	24777	440	1076	1035	374	1053	48	125594	21491	226	287474
2017	44	Teruel	118075	26428	2423	409	23230	328	365	518	281	652	36	77296	22489	137	195371
2017	50	Zaragoza	518577	178166	32211	1031	43694	968	1174	6915	367	880	100	302214	36085	623	820791
2018	22	Huesca	162460	67579	6821	1128	24667	454	1125	1062	376	1061	48	126018	21467	230	288478
2018	44	Teruel	119397	26753	2552	463	23702	345	468	536	378	659	38	77625	21574	157	197022
2018	50	Zaragoza	520477	180179	32379	1122	43335	1025	1366	7274	376	898	101	304223	35505	663	824700
2019	22	Huesca	162921	67965	6953	1149	24839	460	1136	1083	379	1073	49	126797	21470	241	289718
2019	44	Teruel	120215	27031	2577	491	24246	345	504	538	377	658	37	77862	20899	159	198077
2019	50	Zaragoza	521262	183509	32493	1150	43766	1030	1412	7256	378	901	102	308311	35652	662	829573
