Año	CCAA código	CCAA nombre	Total	VC Residencial	VC Almacén, estacionamiento	VC Comercial	VC Ocio, hostelería	VC Industrial	VC Cultural	VC Deportivo	VC Oficinas	VC Edificios singulares	VC Religioso	VC Espectáculos	VC Sin definir	VC Suelo vacante	VC Sanidad, benefic
2003	02	Aragón	30000873	17795030											12205843		
2004	02	Aragón	31412695	18734077											12678618		
2005	02	Aragón	33014072	19716634											13297438		
2006	02	Aragón	34150624,2	20943549,39	1535551,27	2116150,24	389879,66	3803203,73	974232,64	472323,67	772752,78	407863,25	218161,8	32986,43	13207074,81	2058727,56	425245,68
2007	02	Aragón	36769772,39	22201095,38	1615226,59	2242262,9	414616,93	4224622,29	1003575,27	491011,94	838516,84	404345,25	221360,42	33092,79	14568677,01	2643453,27	436592,52
2008	02	Aragón	39157322,19	23671479,58	1724684,31	2349424,31	462729,89	4445863,09	1052427,36	520830,71	903780,13	434304,14	231714,87	74237,4	15485842,61	2835638,14	450208,26
2009	02	Aragón	43232005,98	26118841,23	1915679,9	2577933,09	648736,43	4699018,51	1160150,18	547555,15	999887,28	522714,18	242795,4	76114,58	17113164,75	3185206,47	537373,58
2010	02	Aragón	46311055,07	27977131,74	2083464,59	2719498,19	761688,11	5166757,86	1209036,61	583598,69	1067677,92	529075,77	246929,59	76364,45	18333923,33	3327438,39	562393,16
2011	02	Aragón	47654660,43	28775250,53	2167429,09	2813172,36	779611,44	5179890,58	1254117,26	585120,35	1217572,62	596527,31	252090,92	76874,36	18879409,9	3380786,57	576217,04
2012	02	Aragón	48751332,3	29211144,6	2247951,76	2834794,49	848489,75	5357741,49	1305570,71	686723,95	1329852,61	631553,98	251373,89	73171,23	19540187,7	3350553,13	622410,71
2013	02	Aragón	66737169,78	41759939,77	3083042,25	4668940,42	870698,53	5222460,68	1844779,44	1092736,86	1919629,47	497598,09	322245,38	100338,64	24977230,01	4309130,55	1045629,7
2014	02	Aragón	67707393,75	42333890,04	3110515,34	4814986,57	893954,01	5312207,6	1877847,59	1120442,69	1943198,84	605236,13	327463,06	101089,27	25373503,71	4208450,35	1058112,26
2015	02	Aragón	68757421,25	43020390,99	3168135,26	4776741,7	885645,69	5679784,68	1911550,75	1144533,91	1994400,04	612716,29	335533	101334,21	25737030,26	4065548,81	1061105,92
2016	02	Aragón	69167196,2	43296538,88	3195527,46	4800738,72	893210,09	5807511,25	1943646,18	1164451,93	2021184,72	619959,33	349114,53	101931	25870657,32	3810565,82	1162816,29
2017	02	Aragón	70514913,95	43825206,22	3290317,59	4751250,56	999772,96	5925084,62	2082784,6	1314858,72	2085966,19	702696	417191,1	136139,81	26689707,73	3714527,28	1269093,5
2018	02	Aragón	71847122,72	44515626,38	3292981,21	4840530,62	1087922,12	6155086,72	2199402,22	1459862,85	2129232,55	746315,68	427630,21	137911,47	27331496,34	3541603,39	1312992,37
2019	02	Aragón	69337277,56	42977812,11	3170370,64	4582790,29	1070415,78	6039396,55	2121472,05	1431340,82	1992270,38	735975,42	415286,74	133006,06	26359465,45	3407371,29	1259744,49
