Año	CCAA código	CCAA nombre	Rústico, parcelas	Rústico, subparcelas	Rústico, superficie	Rústico, valor catastral
2001	02	Aragón	2538364	3819179	4686020	1859772,17
2002	02	Aragón	2536511	3706395	4704341	1909605
2003	02	Aragón	2545192	3693413	4712204	2077081
2004	02	Aragón	2541581	3639683	4731797	2148897
2005	02	Aragón	2551637	3628944	4739254	2201929
2006	02	Aragón	2562451	3604013	4757135,92	2261482,61
2007	02	Aragón	2551803	3520259	4738335,37	2420771,22
2008	02	Aragón	2548239	3523361	4727938,41	2535045,18
2009	02	Aragón	2534877	3506816	4727385,44	2758362,29
2010	02	Aragón	2524235	3464386	4732783,44	2913745,51
2011	02	Aragón	2526540	3461762	4732219,81	2976530,25
2012	02	Aragón	2519083	3455377	4731124,69	3001040,77
2013	02	Aragón	2518572	3449180	4731563,09	3886282,13
2014	02	Aragón	2509479	3440010	4721969,22	3856300,93
2015	02	Aragón	2486035	3412438	4730576,59	4060703,44
2016	02	Aragón	2484592	3408225	4728895,42	4265924,93
2017	02	Aragón	2484863	3405068	4730019,99	4476412,96
2018	02	Aragón	2483923	3402065	4728782,38	4790556
2019	02	Aragón	2481061	3398922	4724612,02	4962359,88
