Año	Municipio código	Municipio nombre	Rústico, parcelas	Rústico, subparcelas	Rústico, superficie	Rústico, valor catastral
2001	22001	Abiego	2802	3893	3858	1615,53
2001	22002	Abizanda	1082	1660	4517	481,52
2001	22003	Adahuesca	1095	1799	5276	927,1
2001	22004	Agüero	1991	5822	9187	579,44
2001	22006	Aísa	1536	2768	7708	371,75
2001	22007	Albalate de Cinca	2769	3784	4135	7692,47
2001	22008	Albalatillo	750	1014	913	1242,79
2001	22009	Albelda	2482	4638	5159	9103,05
2001	22011	Albero Alto	1059	1483	1913	1167,75
2001	22012	Albero Bajo	735	1179	2227	1946,29
2001	22013	Alberuela de Tubo	972	1246	2082	2888,93
2001	22014	Alcalá de Gurrea	1728	3453	7096	4526,58
2001	22015	Alcalá del Obispo	3486	4599	4785	3387,1
2001	22016	Alcampell	3567	5162	5843	4613,38
2001	22017	Alcolea de Cinca	2864	3633	8443	10349,8
2001	22018	Alcubierre	3228	4912	11308	4504,55
2001	22019	Alerre	474	613	866	599,07
2001	22020	Alfántega	724	1131	748	1131,63
2001	22021	Almudévar	8090	10555	20091	16434,56
2001	22022	Almunia de San Juan	1447	2788	3425	2457,51
2001	22023	Almuniente	1423	1892	3712	7458,74
2001	22024	Alquézar	2007	2442	3149	670,31
2001	22025	Altorricón	1238	2822	3134	6310,26
2001	22027	Angüés	2552	4684	5633	2018,88
2001	22028	Ansó	952	2342	25850	844,23
2001	22029	Antillón	1068	1942	2220	937,12
2001	22032	Aragüés del Puerto	1422	2085	6169	266,72
2001	22035	Arén	3533	9398	10170	1333,4
2001	22036	Argavieso	764	1165	965	806,43
2001	22037	Arguis	1626	4428	5485	263,4
2001	22039	Ayerbe	3427	4986	6260	2954,32
2001	22040	Azanuy-Alins	1927	4138	4981	1090,67
2001	22041	Azara	893	1527	1451	558,77
2001	22042	Azlor	1167	1674	1579	510,71
2001	22043	Baells	2022	2718	4020	988,79
2001	22044	Bailo	2294	5452	16416	2463,33
2001	22045	Baldellou	1511	1941	2980	500,27
2001	22046	Ballobar	5603	9901	12495	5188,02
2001	22047	Banastás	179	216	442	315,72
2001	22048	Barbastro	4325	8335	10512	9255,44
2001	22049	Barbués	1739	2048	1882	2695,35
2001	22050	Barbuñales	847	1321	1892	561,59
2001	22051	Bárcabo	2464	6774	8541	892,77
2001	22052	Belver de Cinca	3266	4488	8174	13820,89
2001	22053	Benabarre	4903	8763	16034	3570,07
2001	22054	Benasque	2198	6462	22821	353,78
2001	22055	Berbegal	2871	3996	4880	3208,9
2001	22057	Bielsa	1691	11680	20085	369,64
2001	22058	Bierge	4202	8593	14065	1057,39
