Año	Provincia código	Provincia nombre	Rústico, parcelas	Rústico, subparcelas	Rústico, superficie	Rústico, valor catastral
2001	22	Huesca	486185	855815	1537614	691024,5
2001	44	Teruel	1011263	1564531	1457361	268037,95
2001	50	Zaragoza	1040916	1398833	1691045	900709,72
2002	22	Huesca	491340	827195	1545996	712649
2002	44	Teruel	1006557	1509388	1458568	276140
2002	50	Zaragoza	1038614	1369812	1699777	920816
2003	22	Huesca	493356	815577	1548249	772415
2003	44	Teruel	1009213	1504156	1461309	342894
2003	50	Zaragoza	1042623	1373680	1702646	961772
2004	22	Huesca	500492	801002	1552711	799054
2004	44	Teruel	1009486	1466899	1465998	350923
2004	50	Zaragoza	1031603	1371782	1713088	998920
2005	22	Huesca	506124	803086	1553731	819226
2005	44	Teruel	1011927	1446561	1467913	357911
2005	50	Zaragoza	1033586	1379297	1717610	1024792
2006	22	Huesca	511433	786395	1562957,51	844026,1
2006	44	Teruel	1014663	1425659	1473065,96	365511,93
2006	50	Zaragoza	1036355	1391959	1721112,45	1051944,58
2007	22	Huesca	506515	747672	1557158,54	932504,31
2007	44	Teruel	1017358	1405889	1473330,86	391839,74
2007	50	Zaragoza	1027930	1366698	1707845,97	1096427,17
2008	22	Huesca	504743	744763	1557062,81	969310,26
2008	44	Teruel	1017262	1405000	1472973,81	416165,82
2008	50	Zaragoza	1026234	1373598	1697901,79	1149569,1
2009	22	Huesca	496448	738812	1557882,05	1057478,07
2009	44	Teruel	1013846	1396050	1465154,19	463350,47
2009	50	Zaragoza	1024583	1371954	1704349,2	1237533,75
2010	22	Huesca	496091	739452	1555156,39	1108692,49
2010	44	Teruel	1009850	1357552	1474611,83	486740,76
2010	50	Zaragoza	1018294	1367382	1703015,22	1318312,26
2011	22	Huesca	495888	738368	1555103,24	1137198,41
2011	44	Teruel	1012869	1357693	1474447,74	493431,08
2011	50	Zaragoza	1017783	1365701	1702668,83	1345900,76
2012	22	Huesca	495185	737269	1555910,59	1151930,14
2012	44	Teruel	1012852	1357296	1474011,25	497754,46
2012	50	Zaragoza	1011046	1360812	1701202,85	1351356,17
2013	22	Huesca	490850	731920	1554623,78	1298277,99
2013	44	Teruel	1012940	1356840	1473567,27	497590,38
2013	50	Zaragoza	1014782	1360420	1703372,04	2090413,76
2014	22	Huesca	487415	727161	1544748,03	1323408,02
2014	44	Teruel	1013082	1356492	1473581,72	497789,33
2014	50	Zaragoza	1008982	1356357	1703639,47	2035103,58
2015	22	Huesca	482434	720972	1553868,55	1414628,04
2015	44	Teruel	1001827	1345838	1473588,41	551155,82
2015	50	Zaragoza	1001774	1345628	1703119,63	2094919,58
2016	22	Huesca	481365	719468	1554733,34	1504892,26
2016	44	Teruel	1002413	1345607	1473040,88	575503,73
2016	50	Zaragoza	1000814	1343150	1701121,2	2185528,94
2017	22	Huesca	480593	717159	1554729,6	1629866,65
2017	44	Teruel	1002483	1345727	1473035,01	586042,66
2017	50	Zaragoza	1001787	1342182	1702255,38	2260503,65
