Año	Municipio código	Municipio nombre	Estado de la información	Licencias, total	Licencias, nueva planta, total	Licencias, nueva planta, con demolición	Licencias, nueva planta, sin demolición	Licencias, rehabilitación, total	Licencias, rehabilitación, con demolición	Licencias, rehabilitación, sin demolición	Licencias, rehabilitación locales	Licencias, demolición
2000	22001	Abiego	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22002	Abizanda	SIN INFORMACIÓN									
2000	22003	Adahuesca	INCOMPLETA	1	1		1					
2000	22004	Agüero	COMPLETA	2	1	0	1	1	1	0	0	0
2000	22006	Aísa	INCOMPLETA	7	4		4	3		3		
2000	22007	Albalate de Cinca	COMPLETA	5	5	1	4	0	0	0	0	0
2000	22008	Albalatillo	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22009	Albelda	SIN INFORMACIÓN									
2000	22011	Albero Alto	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22012	Albero Bajo	SIN INFORMACIÓN									
2000	22013	Alberuela de Tubo	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22014	Alcalá de Gurrea	SIN INFORMACIÓN									
2000	22015	Alcalá del Obispo	SIN INFORMACIÓN									
2000	22016	Alcampell	COMPLETA	11	7	0	7	4	0	4	0	0
2000	22017	Alcolea de Cinca	COMPLETA	8	2	0	2	4	2	2	0	2
2000	22018	Alcubierre	COMPLETA	1	0	0	0	1	0	1	0	0
2000	22019	Alerre	COMPLETA	2	2	0	2	0	0	0	0	0
2000	22020	Alfántega	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22021	Almudévar	INCOMPLETA	14	10	1	9	3	1	2	1	
2000	22022	Almunia de San Juan	INCOMPLETA	3	1	1		2		2		
2000	22023	Almuniente	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22024	Alquézar	COMPLETA	3	1	1	0	1	1	0	0	1
2000	22025	Altorricón	COMPLETA	12	12	0	12	0	0	0	0	0
2000	22027	Angüés	COMPLETA	2	1	0	1	1	1	0	0	0
2000	22028	Ansó	SIN INFORMACIÓN									
2000	22029	Antillón	COMPLETA	2	1	0	1	1	0	1	0	0
2000	22032	Aragüés del Puerto	SIN INFORMACIÓN									
2000	22035	Arén	COMPLETA	2	1	0	1	1	1	0	0	0
2000	22036	Argavieso	SIN INFORMACIÓN									
2000	22037	Arguis	SIN INFORMACIÓN									
2000	22039	Ayerbe	COMPLETA	7	5	0	5	2	2	0	0	0
2000	22040	Azanuy-Alins	COMPLETA	1	0	0	0	1	1	0	0	0
2000	22041	Azara	SIN INFORMACIÓN									
2000	22042	Azlor	COMPLETA	2	2	0	2	0	0	0	0	0
2000	22043	Baells	SIN INFORMACIÓN									
2000	22044	Bailo	INCOMPLETA	2	1		1	1	1			
2000	22045	Baldellou	INCOMPLETA	3	3	1	2					
2000	22046	Ballobar	SIN INFORMACIÓN									
2000	22047	Banastás	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22048	Barbastro	COMPLETA	38	35	1	34	2	1	1	1	0
2000	22049	Barbués	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22050	Barbuñales	SIN INFORMACIÓN									
2000	22051	Bárcabo	SIN INFORMACIÓN									
2000	22052	Belver de Cinca	COMPLETA	24	21	1	20	3	1	2	0	0
2000	22053	Benabarre	COMPLETA	12	10	0	10	2	1	1	0	0
2000	22054	Benasque	COMPLETA	12	8	0	8	4	3	1	0	0
2000	22055	Berbegal	COMPLETA	5	2	0	2	3	2	1	0	0
2000	22057	Bielsa	COMPLETA	9	2	0	2	7	5	2	0	0
2000	22058	Bierge	COMPLETA	6	1	1	0	5	5	0	0	0
2000	22059	Biescas	COMPLETA	19	12	1	11	6	4	2	1	0
2000	22060	Binaced	COMPLETA	20	15	0	15	5	4	1	0	0
2000	22061	Binéfar	COMPLETA	59	37	2	35	15	14	1	0	7
2000	22062	Bisaurri	COMPLETA	5	1	0	1	4	4	0	0	0
2000	22063	Biscarrués	COMPLETA	1	0	0	0	1	1	0	0	0
2000	22064	Blecua y Torres	SIN INFORMACIÓN									
2000	22066	Boltaña	COMPLETA	19	9	0	9	9	6	3	1	0
2000	22067	Bonansa	SIN INFORMACIÓN									
2000	22068	Borau	INCOMPLETA	1				1		1		
2000	22069	Broto	INCOMPLETA	5	4		4	1		1		
2000	22072	Caldearenas	SIN INFORMACIÓN									
2000	22074	Campo	SIN INFORMACIÓN									
2000	22075	Camporrells	SIN INFORMACIÓN									
2000	22076	Canal de Berdún	COMPLETA	3	2	0	2	1	0	1	0	0
2000	22077	Candasnos	INCOMPLETA	6	2		2	4	4			
2000	22078	Canfranc	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22079	Capdesaso	SIN INFORMACIÓN									
2000	22080	Capella	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22081	Casbas de Huesca	COMPLETA	4	1	0	1	3	3	0	0	0
2000	22082	Castejón del Puente	COMPLETA	3	2	0	2	0	0	0	1	0
2000	22083	Castejón de Monegros	COMPLETA	3	3	0	3	0	0	0	0	0
2000	22084	Castejón de Sos	COMPLETA	9	5	0	5	4	4	0	0	0
2000	22085	Castelflorite	SIN INFORMACIÓN									
2000	22086	Castiello de Jaca	INCOMPLETA	4	3		3	1		1		
2000	22087	Castigaleu	SIN INFORMACIÓN									
2000	22088	Castillazuelo	COMPLETA	2	2	1	1	0	0	0	0	0
2000	22089	Castillonroy	SIN INFORMACIÓN									
2000	22090	Colungo	SIN INFORMACIÓN									
2000	22094	Chalamera	SIN INFORMACIÓN									
2000	22095	Chía	COMPLETA	2	0	0	0	2	2	0	0	0
2000	22096	Chimillas	COMPLETA	2	2	0	2	0	0	0	0	0
2000	22099	Esplús	COMPLETA	8	5	0	5	3	3	0	0	0
2000	22102	Estada	SIN INFORMACIÓN									
2000	22103	Estadilla	SIN INFORMACIÓN									
2000	22105	Estopiñán del Castillo	COMPLETA	2	2	0	2	0	0	0	0	0
2000	22106	Fago	SIN INFORMACIÓN									
2000	22107	Fanlo	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22109	Fiscal	SIN INFORMACIÓN									
2000	22110	Fonz	COMPLETA	2	2	0	2	0	0	0	0	0
2000	22111	Foradada del Toscar	SIN INFORMACIÓN									
2000	22112	Fraga	COMPLETA	36	30	0	30	5	1	4	0	1
2000	22113	Fueva (La)	SIN INFORMACIÓN									
2000	22114	Gistaín	SIN INFORMACIÓN									
2000	22115	Grado (El)	INCOMPLETA	1	1		1					
2000	22116	Grañén	COMPLETA	16	8	0	8	5	1	4	2	1
2000	22117	Graus	INCOMPLETA	26	13	1	12	12	10	2	1	
2000	22119	Gurrea de Gállego	COMPLETA	13	7	2	5	4	4	0	2	0
2000	22122	Hoz de Jaca	INCOMPLETA	1				1	1			
2000	22124	Huerto	INCOMPLETA	2	2		2					
2000	22125	Huesca	COMPLETA	30	9	0	9	12	8	4	9	0
2000	22126	Ibieca	SIN INFORMACIÓN									
2000	22127	Igriés	SIN INFORMACIÓN									
2000	22128	Ilche	SIN INFORMACIÓN									
2000	22129	Isábena	SIN INFORMACIÓN									
2000	22130	Jaca	COMPLETA	32	19	3	16	5	4	1	8	0
2000	22131	Jasa	SIN INFORMACIÓN									
2000	22133	Labuerda	SIN INFORMACIÓN									
2000	22135	Laluenga	SIN INFORMACIÓN									
2000	22136	Lalueza	COMPLETA	6	3	0	3	3	1	2	0	0
2000	22137	Lanaja	COMPLETA	3	3	1	2	0	0	0	0	0
2000	22139	Laperdiguera	COMPLETA	2	1	0	1	1	1	0	0	0
2000	22141	Lascellas-Ponzano	COMPLETA	3	1	0	1	2	2	0	0	0
2000	22142	Lascuarre	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22143	Laspaúles	COMPLETA	2	1	0	1	1	1	0	0	0
2000	22144	Laspuña	SIN INFORMACIÓN									
2000	22149	Loarre	SIN INFORMACIÓN									
2000	22150	Loporzano	SIN INFORMACIÓN									
2000	22151	Loscorrales	SIN INFORMACIÓN									
2000	22155	Monesma y Cajigar	SIN INFORMACIÓN									
2000	22156	Monflorite-Lascasas	SIN INFORMACIÓN									
2000	22157	Montanuy	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22158	Monzón	COMPLETA	52	36	2	34	10	7	3	5	1
2000	22160	Naval	SIN INFORMACIÓN									
2000	22162	Novales	SIN INFORMACIÓN									
2000	22163	Nueno	SIN INFORMACIÓN									
2000	22164	Olvena	SIN INFORMACIÓN									
2000	22165	Ontiñena	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22167	Osso de Cinca	INCOMPLETA	5	5		5					
2000	22168	Palo	SIN INFORMACIÓN									
2000	22170	Panticosa	INCOMPLETA	5	3		3	2		2		
2000	22172	Peñalba	SIN INFORMACIÓN									
2000	22173	Peñas de Riglos (Las)	SIN INFORMACIÓN									
2000	22174	Peralta de Alcofea	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22175	Peralta de Calasanz	SIN INFORMACIÓN									
2000	22176	Peraltilla	SIN INFORMACIÓN									
2000	22177	Perarrúa	SIN INFORMACIÓN									
2000	22178	Pertusa	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22181	Piracés	SIN INFORMACIÓN									
2000	22182	Plan	SIN INFORMACIÓN									
2000	22184	Poleñino	COMPLETA	1	1	0	1	0	0	0	0	0
2000	22186	Pozán de Vero	COMPLETA	3	2	0	2	1	1	0	0	0
2000	22187	Puebla de Castro (La)	INCOMPLETA	3	3		3					
2000	22188	Puente de Montañana	SIN INFORMACIÓN									
2000	22189	Puértolas	SIN INFORMACIÓN									
2000	22190	Pueyo de Araguás (El)	SIN INFORMACIÓN									
2000	22193	Pueyo de Santa Cruz	COMPLETA	5	2	0	2	2	2	0	0	1
2000	22195	Quicena	INCOMPLETA	1	1	1						
2000	22197	Robres	COMPLETA	3	3	0	3	0	0	0	0	0
2000	22199	Sabiñánigo	COMPLETA	22	14	1	13	5	4	1	2	1
2000	22200	Sahún	SIN INFORMACIÓN									
2000	22201	Salas Altas	SIN INFORMACIÓN									
2000	22202	Salas Bajas	SIN INFORMACIÓN									
2000	22203	Salillas	SIN INFORMACIÓN									
2000	22204	Sallent de Gállego	COMPLETA	30	26	0	26	4	4	0	0	0
