Año	CCAA código	CCAA nombre	Edificios nueva planta, total	Edificios nueva planta, residencial	Edificios nueva planta, no residencial	Superficie nueva planta, total	Superficie nueva planta, residencial	Superficie nueva planta, no residencial	Viviendas nueva planta	Edificios rehabilitación	Viviendas rehabilitación	Edificios demolición	Viviendas demolición	Estado de la información
2000	02	Aragón	3940	3051	889	2645503	1970647	674856	10741	990	474	468	697	ESTIMACIÓN
2001	02	Aragón	4018	3015	1003	2770494	1903837	866657	11392	858	379	437	642	ESTIMACIÓN
2002	02	Aragón	4307	3608	699	3094119	2229687	864432	12828	946	350	431	620	ESTIMACIÓN
2003	02	Aragón	4363	3384	979	2991560	2043489	948071	11314	944	483	504	751	ESTIMACIÓN
2004	02	Aragón	4997	3794	1203	3198092	2262850	935242	13183	1140	390	715	781	ESTIMACIÓN
2005	02	Aragón	5043	3825	1218	3866641	2423362	1443279	14443	1141	598	767	870	ESTIMACIÓN
2006	02	Aragón	6141	4774	1367	4753041	3395125	1357916	20441	1212	634	964	937	ESTIMACIÓN
2007	02	Aragón	6575	4639	1936	4707477	3188196	1519281	18424	1311	541	817	858	ESTIMACIÓN
2008	02	Aragón	3219	2110	1109	2930307	1493448	1436859	8570	1509	442	476	562	ESTIMACIÓN
2009	02	Aragón	1537	960	577	1587842	969359	618483	5222	1348	376	266	249	ESTIMACIÓN
2010	02	Aragón	1138	713	425	1048326	567765	480561	3073	1365	257	282	210	ESTIMACIÓN
2011	02	Aragón	1117	688	429	920067	490306	429761	2625	1588	319	233	274	ESTIMACIÓN
2012	02	Aragón	892	465	427	616625	269985	346640	1300	1324	166	270	274	ESTIMACIÓN
2013	02	Aragón	801	340	461	667006	340630	326376	1786	1089	95	204	173	ESTIMACIÓN
2014	02	Aragón	786	278	508	654673	203288	451385	1007	1137	142	194	209	ESTIMACIÓN
2015	02	Aragón	864	289	575	821852	260922	560930	1263	1293	136	237	224	ESTIMACIÓN
2016	02	Aragón	1102	489	613	961606	451619	509987	2090	1483	143	229	204	ESTIMACIÓN
2017	02	Aragón	1171	440	731	1262765	516169	746596	2369	1448	221	271	277	ESTIMACIÓN
2018	02	Aragón	1331	523	808	1599909	480866	1119043	2335	1768	239	293	315	ESTIMACIÓN
2019	02	Aragón	1202	436	766	1550507	547339	1003168	2638	1952	127	252	262	ESTIMACIÓN
