Año	Comarca código	Comarca nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Cuota (euros)
2001	01	La Jacetania	34143	647849,64	647849,64	4393237,38
2001	02	Alto Gállego	17966	318595,48	293791,8	2054551,52
2001	03	Sobrarbe	7383	156832,89	156832,89	971120
2001	04	La Ribagorza	15549	343951,67	343951,67	2295679,5
2001	05	Cinco Villas	25310	406664,05	404735,77	2516510
2001	06	Hoya de Huesca / Plana de Uesca	55923	1445570,12	918002,5	7439979
2001	07	Somontano de Barbastro	19381	320556,92	320556,92	1987925
2001	08	Cinca Medio	16221	266364,64	241481,41	1844557,8
2001	09	La Litera / La Llitera	15546	260273,61	227951,27	1536038
2001	10	Los Monegros	17519	282757,18	269053,01	1434258,73
2001	11	Bajo Cinca / Baix Cinca	15026	339745,01	304623,02	1968227,34
2001	12	Tarazona y el Moncayo	13926	154577,3	154577,3	1030560
2001	13	Campo de Borja	11858	157514,34	154993,88	913380
2001	14	Aranda	8282	74027,48	74027,48	366480
2001	15	Ribera Alta del Ebro	15148	445987,49	401894,01	2233660
2001	16	Valdejalón	18009	280642,54	280642,54	1472140
2001	17	D.C. Zaragoza	433013	16385339,33	16033356,54	65497488
2001	18	Ribera Baja del Ebro	7527	163023,13	148571,9	729460
2001	19	Bajo Aragón-Caspe / Baix Aragó-Casp	11032	199631,52	199631,52	1035130
2001	20	Comunidad de Calatayud	41095	556685,14	556685,14	2885100
2001	21	Campo de Cariñena	9145	115152,55	115152,55	680320
2001	22	Campo de Belchite	6317	53138,15	53138,15	274960
2001	23	Bajo Martín	7614	87549,43	79949,42	438030
2001	24	Campo de Daroca	9487	91534,48	91534,48	410250
2001	25	Jiloca	17438	195051,88	195051,88	912760
2001	26	Cuencas Mineras	11584	88043,53	88043,53	521420
2001	27	Andorra-Sierra de Arcos	9960	170149,31	170149,31	977770
2001	28	Bajo Aragón	23434	331913,97	320062,34	1882270
2001	29	Comunidad de Teruel	38206	870118,12	870118,12	4063970
2001	30	Maestrazgo	5549	43774,94	43774,94	218490
2001	31	Sierra de Albarracín	7751	82297,92	65575,23	327420
2001	32	Gúdar-Javalambre	13764	135254,64	135254,64	761650
2001	33	Matarraña / Matarranya	9317	110886,82	103283,82	582070
2002	01	La Jacetania	33750	658586	658586	4475945
2002	02	Alto Gállego	17984	324243	303242	2146037
2002	03	Sobrarbe	7068	151919	151919	941296
2002	04	La Ribagorza	15218	344553	344553	2306416
2002	05	Cinco Villas	25335	401896	400171	2507476
2002	06	Hoya de Huesca / Plana de Uesca	55071	1460612	978619	8015568
2002	07	Somontano de Barbastro	18713	425389	322825	2012151
2002	08	Cinca Medio	16108	272081	250948	2028995
2002	09	La Litera / La Llitera	14208	253690	220415	1507146
2002	10	Los Monegros	15472	270057	257718	1391234
2002	11	Bajo Cinca / Baix Cinca	15208	346700	315224	2113219
2002	12	Tarazona y el Moncayo	14006	160953	160953	1100955
2002	13	Campo de Borja	12080	161800	159678	962303
2002	14	Aranda	8430	75824	75204	372126
2002	15	Ribera Alta del Ebro	15453	458388	420452	2340353
2002	16	Valdejalón	18287	290595	290595	1553057
2002	17	D.C. Zaragoza	439338	17055879	16741135	68397402
2002	18	Ribera Baja del Ebro	7551	167042	154500	760309
2002	19	Bajo Aragón-Caspe / Baix Aragó-Casp	11214	204214	204214	1070933
2002	20	Comunidad de Calatayud	41319	587786	587786	3054976
2002	21	Campo de Cariñena	9221	118292	118292	720462
2002	22	Campo de Belchite	6332	54295	54295	280961
2002	23	Bajo Martín	7466	88868	82171	449460
2002	24	Campo de Daroca	9548	92756	92756	415795
2002	25	Jiloca	17131	201701	201701	958913
2002	26	Cuencas Mineras	11306	89562	89562	527500
2002	27	Andorra-Sierra de Arcos	9819	173966	173966	998474
2002	28	Bajo Aragón	23662	348009	338793	1996430
2002	29	Comunidad de Teruel	38098	906939	906939	4262558
2002	30	Maestrazgo	5388	45048	45048	226463
2002	31	Sierra de Albarracín	7641	84388	69239	349086
2002	32	Gúdar-Javalambre	13760	141735	141735	797381
2002	33	Matarraña / Matarranya	9153	114540	107472	608557
