Año	Municipio código	Municipio nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Cuota (euros)
2001	22001	Abiego	366	2861,52	2861,52	17170
2001	22002	Abizanda	100	10777,86	10777,86	91610
2001	22003	Adahuesca	166	1759,05	1759,05	10550
2001	22004	Agüero	339	1675,72	1675,72	12570
2001	22006	Aísa	2875	52562,71	52562,71	446780
2001	22007	Albalate de Cinca	737	10437,89	10437,89	52190
2001	22008	Albalatillo	302	2932,28	2932,28	11730
2001	22009	Albelda	744	7269,2	7269,2	36346,03
2001	22011	Albero Alto	78	808,13	808,13	3232,53
2001	22012	Albero Bajo	100	1050,6	1050,6	8930,08
2001	22013	Alberuela de Tubo	252	2862,96	2862,96	14310
2001	22014	Alcalá de Gurrea	450	28605,14	28605,14	243140
2001	22015	Alcalá del Obispo	548	3879,92	3879,92	15519,67
2001	22016	Alcampell	872	8874,42	8874,42	44372,1
2001	22017	Alcolea de Cinca	1040	16391,76	15265,11	79380
2001	22018	Alcubierre	407	3753,26	3753,26	20640
2001	22019	Alerre	171	3277,19	3277,19	16390
2001	22020	Alfántega	128	879,66	879,66	5720
2001	22021	Almudévar	1880	25553,04	25553,04	163540
2001	22022	Almunia de San Juan	605	6665,35	6665,35	33990
2001	22023	Almuniente	327	3296,08	3296,08	22748
2001	22024	Alquézar	351	3380,05	3380,05	21970
2001	22025	Altorricón	1563	20950,5	20950,5	121510
2001	22027	Angüés	497	4907,48	4907,48	19630
2001	22028	Ansó	658	6238,16	6238,16	37430
2001	22029	Antillón	113	775,82	775,82	5040
2001	22032	Aragüés del Puerto	211	2261,52	2261,52	13570
2001	22035	Arén	500	4125,31	4125,31	20630
2001	22036	Argavieso	117	800,76	800,76	3200
2001	22037	Arguis	258	3483,89	3483,89	17420
2001	22039	Ayerbe	1129	13329,16	13329,16	93310
2001	22040	Azanuy-Alins	376	2171,03	2171,03	17370
2001	22041	Azara	153	1388,65	1388,65	6940
2001	22042	Azlor	168	1253,74	1253,74	8770
2001	22043	Baells	181	1368,4	1368,4	4105,17
2001	22044	Bailo	369	2618,79	2618,79	17020
2001	22045	Baldellou	227	3657,55	3657,55	14630
2001	22046	Ballobar	873	13239,5	8708,51	53350
2001	22047	Banastás	148	3247,42	3247,42	12990
2001	22048	Barbastro	11585	224121,88	224121,88	1447825
2001	22049	Barbués	76	766,5	766,5	2299,65
2001	22050	Barbuñales	124	1133,79	1133,79	6800
2001	22051	Bárcabo	196	1411,76	1411,76	5650
2001	22052	Belver de Cinca	846	10433,32	10433,32	36510
2001	22053	Benabarre	1226	14089,6	14089,6	105670
2001	22054	Benasque	3396	81212,66	81212,66	454790
2001	22055	Berbegal	326	2791,58	2791,58	12560
2001	22057	Bielsa	617	14037,61	14037,61	84220
2001	22058	Bierge	333	2590,1	2590,1	15540
2001	22059	Biescas	3863	55030,39	55030,39	440240
2001	22060	Binaced	1072	15407,15	15407,15	64710
2001	22061	Binéfar	5329	140948,89	108626,55	810354,7
2001	22062	Bisaurri	192	1311,61	1311,61	5900
2001	22063	Biscarrués	285	2411,56	2411,56	20500
2001	22064	Blecua y Torres	205	1722,91	1722,91	7750
2001	22066	Boltaña	955	16424,57	16424,57	123190
2001	22067	Bonansa	81	1903,68	1903,68	15230
2001	22068	Borau	97	957,95	957,95	5750
2001	22069	Broto	787	10426,56	10426,56	52130
2001	22072	Caldearenas	331	4154,06	4154,06	27000
2001	22074	Campo	476	8256,31	8256,31	49540
2001	22075	Camporrells	293	1952,54	1952,54	10740
2001	22076	Canal de Berdún	602	5906,29	5906,29	35440
2001	22077	Candasnos	390	23730	23730	106785,49
2001	22078	Canfranc	1646	25513	25513	165837,38
2001	22079	Capdesaso	222	1997,4	1997,4	7990
2001	22080	Capella	373	2908,91	2908,91	11630
2001	22081	Casbas de Huesca	479	3645,29	3645,29	14580
2001	22082	Castejón del Puente	358	5524,68	5524,68	26520
2001	22083	Castejón de Monegros	809	7671	7671	34520
2001	22084	Castejón de Sos	664	11057,55	11057,55	77400
2001	22085	Castelflorite	148	1577,94	1577,94	7100
2001	22086	Castiello de Jaca	677	12281	12281	67550
2001	22087	Castigaleu	59	369,53	369,53	1480
2001	22088	Castillazuelo	220	1409,66	1409,66	9160
2001	22089	Castillonroy	402	5179,81	5179,81	25900
2001	22090	Colungo	150	840,32	840,32	3360
2001	22094	Chalamera	128	967,04	967,04	4250
2001	22095	Chía	102	1298,2	1298,2	5190
2001	22096	Chimillas	138	2922,81	2922,81	11690
2001	22099	Esplús	634	6153,6	6153,6	30770
2001	22102	Estada	182	3452,48	3452,48	13810
2001	22103	Estadilla	796	14617,95	14617,95	58470
2001	22105	Estopiñán del Castillo	235	6020,9	6020,9	48170
2001	22106	Fago	111	482,78	482,78	2420
2001	22107	Fanlo	140	642,9	642,9	5460
2001	22109	Fiscal	430	5593,45	5593,45	39150
2001	22110	Fonz	944	8422,4	8422,4	52220
2001	22111	Foradada del Toscar	188	1747,93	1747,93	6990
2001	22112	Fraga	7847	203091	172500	1362751,85
2001	22113	Fueva (La)	490	21431,9	21431,9	139310
2001	22114	Gistaín	125	830,41	830,41	4150
2001	22115	Grado (El)	839	20763,53	20763,53	116270
2001	22116	Grañén	1423	21606,86	21606,86	121000
2001	22117	Graus	3088	45948	45948	330829,5
2001	22119	Gurrea de Gállego	1287	17677,76	17677,76	114900
2001	22122	Hoz de Jaca	177	4225,59	4225,59	16902
2001	22124	Huerto	421	4132,26	4132,26	16530
2001	22125	Huesca	39751	1244962,32	717394,7	6241335
2001	22126	Ibieca	137	948,22	948,22	4740
2001	22127	Igriés	224	3836,3	3836,3	23020
2001	22128	Ilche	261	1760,44	1760,44	7040
2001	22129	Isábena	450	4355,63	4355,63	17420
2001	22130	Jaca	22445	472544	472544	3307810
2001	22131	Jasa	179	1237,78	1237,78	7430
2001	22133	Labuerda	198	2961,94	2961,94	14810
2001	22135	Laluenga	236	2520,31	2520,31	12600
2001	22136	Lalueza	784	10262,28	10262,28	85170
2001	22137	Lanaja	1210	13723,97	13723,97	89210
2001	22139	Laperdiguera	106	684,19	684,19	2730
2001	22141	Lascellas-Ponzano	252	1814,9	1814,9	10890
2001	22142	Lascuarre	167	1209,25	1209,25	9680
2001	22143	Laspaúles	313	2356,47	2356,47	7070
2001	22144	Laspuña	177	2155,46	2155,46	12930
2001	22149	Loarre	649	4677,82	4677,82	18710
2001	22150	Loporzano	712	6755,93	6755,93	40530
2001	22151	Loscorrales	232	950,4	950,4	3801,8
2001	22155	Monesma y Cajigar	60	343,05	343,05	2400
2001	22156	Monflorite-Lascasas	328	3663,62	3663,62	18320
2001	22157	Montanuy	337	63972,23	63972,23	543760
2001	22158	Monzón	10814	199349,34	175592,76	1510097,8
2001	22160	Naval	247	8824	8824	75010
2001	22162	Novales	137	1495,22	1495,22	5980
2001	22163	Nueno	534	8575,9	8575,9	55750
2001	22164	Olvena	127	639,9	639,9	2560
2001	22165	Ontiñena	549	4749,7	4749,7	16620
2001	22167	Osso de Cinca	415	4965,01	4965,01	24830
2001	22168	Palo	50	1067,85	1067,85	6410
2001	22170	Panticosa	2060	40079,38	40079,38	172340
2001	22172	Peñalba	499	20194,86	20194,86	90880
2001	22173	Peñas de Riglos (Las)	725	5930,69	5930,69	38550
2001	22174	Peralta de Alcofea	676	5981,79	5981,79	44860
2001	22175	Peralta de Calasanz	731	5304,14	5304,14	21210
2001	22176	Peraltilla	155	1389,69	1389,69	7640
2001	22177	Perarrúa	268	2141,45	2141,45	8560
2001	22178	Pertusa	241	2307,93	2307,93	18000
2001	22181	Piracés	79	526,39	526,39	2900
2001	22182	Plan	348	4999,45	4999,45	29990
2001	22184	Poleñino	202	2254,45	2254,45	16230
2001	22186	Pozán de Vero	208	1439,68	1439,68	10080
2001	22187	Puebla de Castro (La)	700	11624,36	11624,36	48820
2001	22188	Puente de Montañana	230	1350,05	1350,05	7560
2001	22189	Puértolas	187	1531,63	1531,63	6120
2001	22190	Pueyo de Araguás (El)	101	744,74	744,74	3730
2001	22193	Pueyo de Santa Cruz	239	2381,19	2381,19	16670
2001	22195	Quicena	137	1711,15	1711,15	6840
2001	22197	Robres	661	9731,69	9731,69	58390
2001	22199	Sabiñánigo	7733	140124,25	115320,57	1060949,52
2001	22200	Sahún	720	15143,47	15143,47	90860
2001	22201	Salas Altas	282	2197,46	2197,46	13190
2001	22202	Salas Bajas	148	1385,22	1385,22	4160
2001	22203	Salillas	179	1296,38	1296,38	5190
2001	22204	Sallent de Gállego	3500	72900	72900	330690
2001	22205	San Esteban de Litera	829	6346,23	6346,23	44420
2001	22206	Sangarrén	276	3724,03	3724,03	31650
2001	22207	San Juan de Plan	106	815,69	815,69	4080
2001	22208	Santa Cilia	207	1636,29	1636,29	7360
