Año	Comarca código	Comarca nombre	Rústica   Base imponible (miles de euros)	Rústica   Cuota (euros)
2001	01	La Jacetania	22879,86	136308
2001	02	Alto Gállego	9104,15	59053
2001	03	Sobrarbe	14961,87	95784
2001	04	La Ribagorza	24237,67	158773
2001	05	Cinco Villas	220825,91	1361977
2001	06	Hoya de Huesca / Plana de Uesca	121980,01	699767
2001	07	Somontano de Barbastro	49525,21	313651
2001	08	Cinca Medio	85879,29	517316
2001	09	La Litera / La Llitera	72917,1	498000
2001	10	Los Monegros	182288,1	1128924
2001	11	Bajo Cinca / Baix Cinca	122840,49	754875
2001	12	Tarazona y el Moncayo	22972,4	130219
2001	13	Campo de Borja	38377,97	239483
2001	14	Aranda	6525,14	29099
2001	15	Ribera Alta del Ebro	65127,77	372179
2001	16	Valdejalón	85171,85	491017
2001	17	D.C. Zaragoza	145797,74	892782
2001	18	Ribera Baja del Ebro	49199,49	283728
2001	19	Bajo Aragón-Caspe / Baix Aragó-Casp	39256,55	250032
2001	20	Comunidad de Calatayud	68748,12	350291
2001	21	Campo de Cariñena	35086,91	191473
2001	22	Campo de Belchite	25792,59	173300
2001	23	Bajo Martín	26722,31	171326
2001	24	Campo de Daroca	26912,83	119654
2001	25	Jiloca	43547,61	249623
2001	26	Cuencas Mineras	18482,61	107768
2001	27	Andorra-Sierra de Arcos	9075,4	65330
2001	28	Bajo Aragón	32108,58	151868
2001	29	Comunidad de Teruel	54654,59	298543
2001	30	Maestrazgo	12311,56	69149
2001	31	Sierra de Albarracín	8687,91	40193
2001	32	Gúdar-Javalambre	15841,87	95879
2001	33	Matarraña / Matarranya	12287,69	66099
2002	01	La Jacetania	23401	139889
2002	02	Alto Gállego	9162	59417
2002	03	Sobrarbe	15896	101582
2002	04	La Ribagorza	25886	168649
2002	05	Cinco Villas	226173	1399044
2002	06	Hoya de Huesca / Plana de Uesca	126322	728863
2002	07	Somontano de Barbastro	52945	337436
2002	08	Cinca Medio	88757	548490
2002	09	La Litera / La Llitera	73423	503023
2002	10	Los Monegros	186853	1191074
2002	11	Bajo Cinca / Baix Cinca	127124	781763
2002	12	Tarazona y el Moncayo	23473	135073
2002	13	Campo de Borja	39144	253625
2002	14	Aranda	6609	29506
2002	15	Ribera Alta del Ebro	66652	382226
2002	16	Valdejalón	86983	506445
2002	17	D.C. Zaragoza	148944	914502
2002	18	Ribera Baja del Ebro	50122	289243
2002	19	Bajo Aragón-Caspe / Baix Aragó-Casp	40286	261279
2002	20	Comunidad de Calatayud	71459	367472
2002	21	Campo de Cariñena	36569	228872
2002	22	Campo de Belchite	26639	178392
2002	23	Bajo Martín	27338	175217
2002	24	Campo de Daroca	27530	122382
2002	25	Jiloca	44894	257332
2002	26	Cuencas Mineras	20261	118658
2002	27	Andorra-Sierra de Arcos	9292	66887
2002	28	Bajo Aragón	32872	156112
2002	29	Comunidad de Teruel	57844	318132
2002	30	Maestrazgo	12561	70636
2002	31	Sierra de Albarracín	8856	40983
2002	32	Gúdar-Javalambre	15501	93059
2002	33	Matarraña / Matarranya	12602	67747
