Año	Comarca código	Comarca nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2003	01	La Jacetania	33887	678553	678553	4661069	4645937
2003	02	Alto Gállego	18640	425503	330942	2429387	2421937
2003	03	Sobrarbe	7479	156138	156138	1334196	1334012
2003	04	La Ribagorza	16831	362923	358539	2992314	2992314
2003	05	Cinco Villas	25912	401016	399721	2497626	2497485
2003	06	Hoya de Huesca / Plana de Uesca	55900	1482541	1052695	8659235	8605533
2003	07	Somontano de Barbastro	19479	440969	347428	2345242	2337951
2003	08	Cinca Medio	16473	278940	262140	2159900	2155989
2003	09	La Litera / La Llitera	14180	256771	227951	1663855	1663627
2003	10	Los Monegros	15834	278156	266886	1463493	1272504
2003	11	Bajo Cinca / Baix Cinca	15632	357686	326737	2332152	2041658
2003	12	Tarazona y el Moncayo	15225	167355	167355	1165744	1160975
2003	13	Campo de Borja	12629	167502	165851	1052493	944366
2003	14	Aranda	9487	82644	82110	406562	388179
2003	15	Ribera Alta del Ebro	16393	559983	460361	2573634	2328414
2003	16	Valdejalón	18980	323116	323116	1735506	1735506
2003	17	D.C. Zaragoza	446056	17817258	17358764	71111684	70702090
2003	18	Ribera Baja del Ebro	7415	164259	154266	793968	692051
2003	19	Bajo Aragón-Caspe / Baix Aragó-Casp	11251	208999	208999	1262867	1259552
2003	20	Comunidad de Calatayud	44726	627296	627296	3020627	3015508
2003	21	Campo de Cariñena	9576	120268	120268	735395	735395
2003	22	Campo de Belchite	6723	54145	54145	278681	278681
2003	23	Bajo Martín	7466	88868	83082	466024	466024
2003	24	Campo de Daroca	10706	91217	91217	408948	408948
2003	25	Jiloca	17131	201701	201701	979221	979221
2003	26	Cuencas Mineras	11306	89562	89562	529489	529489
2003	27	Andorra-Sierra de Arcos	9819	173966	173966	998474	998474
2003	28	Bajo Aragón	23662	344011	335149	1982209	1982209
2003	29	Comunidad de Teruel	38695	922199	922199	4340753	4089253
2003	30	Maestrazgo	5388	45048	45048	226461	226461
2003	31	Sierra de Albarracín	7641	84388	70891	357767	357767
2003	32	Gúdar-Javalambre	13760	141615	141615	799859	799859
2003	33	Matarraña / Matarranya	9153	114540	108427	619072	619072
2004	01	La Jacetania	35128	723752	723719	5219086	5206692
2004	02	Alto Gállego	19984	451838	365779	2674249	2674249
2004	03	Sobrarbe	7677	164250	164153	1038249	1037540
2004	04	La Ribagorza	17276	381567	377615	2351727	2351727
2004	05	Cinco Villas	26132	423071	411322	2612805	2412742
2004	06	Hoya de Huesca / Plana de Uesca	57033	1553056	1135348	9643566	9558709
2004	07	Somontano de Barbastro	19690	475591	372676	2473368	2472555
2004	08	Cinca Medio	16780	296012	282873	2438948	2438948
2004	09	La Litera / La Llitera	14580	267566	242328	1826706	1826643
2004	10	Los Monegros	15918	304073	277401	1579610	1507263
2004	11	Bajo Cinca / Baix Cinca	15828	368476	342504	2423594	2026067
2004	12	Tarazona y el Moncayo	15426	181247	177679	1311450	1311450
2004	13	Campo de Borja	12744	177704	176293	1114019	1114019
2004	14	Aranda	9525	85446	84981	420736	420736
2004	15	Ribera Alta del Ebro	16641	674248	492878	2759663	2759663
2004	16	Valdejalón	19285	352842	352842	1922767	1922767
2004	17	D.C. Zaragoza	450719	18400449	17949800	81758385	80762194
2004	18	Ribera Baja del Ebro	7526	166837	155279	790742	790742
2004	19	Bajo Aragón-Caspe / Baix Aragó-Casp	11371	216002	216002	1183881	1183881
2004	20	Comunidad de Calatayud	45663	673773	643344	3251083	3251083
2004	21	Campo de Cariñena	9697	133747	126177	781971	781971
2004	22	Campo de Belchite	6722	55165	55165	283670	283670
2004	23	Bajo Martín	8049	92422	87563	497137	497137
2004	24	Campo de Daroca	10841	106792	95625	430242	430242
2004	25	Jiloca	19812	220391	217609	1076749	1076749
2004	26	Cuencas Mineras	13200	94798	94798	572028	572028
2004	27	Andorra-Sierra de Arcos	10760	182907	182907	1049721	1034740
2004	28	Bajo Aragón	25518	397530	389624	2626055	2614787
2004	29	Comunidad de Teruel	41994	974729	974729	4759903	4758434
2004	30	Maestrazgo	6403	47158	47156	248717	248717
2004	31	Sierra de Albarracín	9143	90131	78379	397226	397226
2004	32	Gúdar-Javalambre	16723	168793	159355	913280	913280
2004	33	Matarraña / Matarranya	10011	126851	119437	683205	683205
2005	01	La Jacetania	36154	768527	762749	5494250	5406063
2005	02	Alto Gállego	20504	463020	391837	2869126	2833399
2005	03	Sobrarbe	7819	171468	171380	1086287	1082076
2005	04	La Ribagorza	17149	392911	389548	2427937	2426643
2005	05	Cinco Villas	27298	701229	479641	3058601	3023901
2005	06	Hoya de Huesca / Plana de Uesca	57031	1593117	1232474	10458163	10363305
2005	07	Somontano de Barbastro	19500	494194	396650	2629888	2588825
2005	08	Cinca Medio	17068	304536	295574	2553782	2552875
2005	09	La Litera / La Llitera	14615	274953	254084	1917492	1915633
2005	10	Los Monegros	15663	328499	289630	1662151	1648063
2005	11	Bajo Cinca / Baix Cinca	16142	377715	358244	2542277	2500715
2005	12	Tarazona y el Moncayo	15410	185017	181878	1383994	1383989
2005	13	Campo de Borja	12854	178166	177172	1134897	1134720
2005	14	Aranda	9542	87174	86776	429580	427737
2005	15	Ribera Alta del Ebro	16775	666210	514573	2930589	2919438
2005	16	Valdejalón	20057	484641	484641	2676709	2673176
2005	17	D.C. Zaragoza	460574	19236887	18868519	102942662	99098176
2005	18	Ribera Baja del Ebro	7530	168379	162764	829264	829261
2005	19	Bajo Aragón-Caspe / Baix Aragó-Casp	11394	221115	221115	1549429	1549427
2005	20	Comunidad de Calatayud	46239	696143	669121	3734280	3687455
2005	21	Campo de Cariñena	9847	140673	133317	831594	828001
2005	22	Campo de Belchite	6725	56326	56326	289740	289726
2005	23	Bajo Martín	8094	104951	89986	517745	516393
2005	24	Campo de Daroca	10937	109666	99830	516504	513322
2005	25	Jiloca	19864	224255	221802	1109799	1109799
2005	26	Cuencas Mineras	13374	96585	96585	588240	588240
2005	27	Andorra-Sierra de Arcos	10764	186272	186272	1073038	1072645
2005	28	Bajo Aragón	26492	408529	402884	2749644	2748340
2005	29	Comunidad de Teruel	42213	996924	996924	5010546	4926478
2005	30	Maestrazgo	6429	47690	47689	251564	251564
2005	31	Sierra de Albarracín	9285	98699	85736	465591	457159
2005	32	Gúdar-Javalambre	17530	189732	179951	1032150	1032140
2005	33	Matarraña / Matarranya	10124	145892	129731	753740	753734
2006	01	La Jacetania	37199	848737	828843	6102472	6101842
2006	02	Alto Gállego	21839	484327	419265	3095495	3084013
2006	03	Sobrarbe	7750	144114	123023	782697	771420
2006	04	La Ribagorza	16518	398358	290133	1957540	1950647
