Año	Provincia código	Provincia nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2003	22	Huesca	208157	4581483	3877127	29301072	28853340
2003	44	Teruel	144021	2205898	2171640	11299329	11047829
2003	50	Zaragoza	641257	20921755	20344351	87783506	86765272
2004	22	Huesca	213693	4846768	4150005	31009622	30440912
2004	44	Teruel	161613	2395710	2351557	12824021	12796303
2004	50	Zaragoza	648493	21786736	21071778	99280895	98084641
2005	22	Huesca	215328	5026391	4403767	32953073	32634399
2005	44	Teruel	164169	2499529	2437560	13552057	13456492
2005	50	Zaragoza	661499	23074175	22274076	122996123	119041527
2006	22	Huesca	218286	5093163	4397759	34188364	34045209
2006	44	Teruel	165240	2638148	2544318	14418708	13110262
2006	50	Zaragoza	672368	23593128	22674522	125745589	124736097
2007	22	Huesca	223136	5352917	4703092	36816433	36558860
2007	44	Teruel	166142	2795340	2645879	15124256	14408371
2007	50	Zaragoza	683067	25551284	23951127	132858473	130228116
2008	22	Huesca	231378	5636306	5093153	40260852	40022815
2008	44	Teruel	170824	3006171	2776360	16298203	14957474
2008	50	Zaragoza	703405	27341475	25496002	142363719	141173289
2009	22	Huesca	243507	7037771	5648448	45184993	44956604
2009	44	Teruel	176030	3365117	3070093	18258598	17111367
2009	50	Zaragoza	727363	29295061	27364182	157318512	156031089
2010	22	Huesca	252351	8045094	6214115	49237383	49031321
2010	44	Teruel	180543	3699743	3303693	19955414	18334956
2010	50	Zaragoza	748255	30955111	28873240	163688633	161068650
2011	22	Huesca	257235	8307945	6587539	51296716	51125010
2011	44	Teruel	184850	3880780	3479156	21384305	19735471
2011	50	Zaragoza	764095	31883957	30027397	172293754	169611172
2012	22	Huesca	262381	8448891	6934240	57041232	56439100
2012	44	Teruel	188746	4013455	3633588	24634730	22813307
2012	50	Zaragoza	773659	32338398	30845040	205677877	202576199
2013	22	Huesca	263404	9046659	7341532	59020963	58721067
2013	44	Teruel	190624	3861088	3777441	25765538	23778195
2013	50	Zaragoza	778295	48650828	32716898	217479473	213993094
2014	22	Huesca	266336	9256284	7861636	59653022	59355399
2014	44	Teruel	192603	4162639	3989343	26593480	23926567
2014	50	Zaragoza	786395	48703627	35195480	236807044	210155755
2015	22	Huesca	268877	9964616	8321145	61342336	61037695
2015	44	Teruel	194064	4699924	4699183	32317754	25661863
2015	50	Zaragoza	796030	49415093	37584557	251406370	213867580
2016	22	Huesca	270075	9013509,41	8468468,49	61681375	61322711
2016	44	Teruel	194697	5238695,74	5139959,21	29179121	26225927
2016	50	Zaragoza	796924	49552624,53	39525548,79	254904287	216447198
2017	22	Huesca	271314	9232239	8822347	63437890	63024614
2017	44	Teruel	195266	5427537	5427537	30521932	26762515
2017	50	Zaragoza	805100	50157117	41690799	226570388	221303985
