Año	Provincia código	Provincia nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2003	22	Huesca		772415	725173	4572862	4572862
2003	44	Teruel		342894	282287	1595288	1595288
2003	50	Zaragoza		961772	868818	5170728	5170728
2004	22	Huesca		799054	746327	4850206	4742356
2004	44	Teruel		350923	270877	1632567	1632567
2004	50	Zaragoza		998920	897293	5451630	5446368
2005	22	Huesca	52293	819226	765159	4974420	4861870
2005	44	Teruel	144629	357911	276034	1695911	1680846
2005	50	Zaragoza	156098	1024792	920430	5674638	5651761
2006	22	Huesca	52012	788626		5272997	5145092
2006	44	Teruel	143659	311195		1904893	1589075
2006	50	Zaragoza	146808	940812		5866482	5809792
2007	22	Huesca	51750	871915	840810	5710765	5584255
2007	44	Teruel	142568	391143	382506	2416878	1875173
2007	50	Zaragoza	155729	1056512	953399	5969415	5955124
2008	22	Huesca	52215	905696	872239	6041359	5911177
2008	44	Teruel	146801	407982	395910	2522055	2072100
2008	50	Zaragoza	156359	1115727	1019888	6458385	6360271
2009	22	Huesca	76747	1006133	973986	6733872	6373182
2009	44	Teruel	148310	437822	416893	2705809	2272784
2009	50	Zaragoza	155966	1204022	1145414	7408231	7085474
2010	22	Huesca	72006	1056754	1000366	6979641	6593581
2010	44	Teruel	149247	463053	436106	2875221	2403097
2010	50	Zaragoza	157146	1279431	1195803	7740685	7408614
2011	22	Huesca	64726	1084773	1069957	7487247	6988249
2011	44	Teruel	148466	472218	464847	3059938	2484992
2011	50	Zaragoza	157067	1318844	1219016	7904751	7595084
2012	22	Huesca	78066	1090956	1054738	7569077	7279490
2012	44	Teruel	148457	457936	457936	3016683	2896024
2012	50	Zaragoza	183891	1195945	1143707	7530879	7386860
2013	22	Huesca	78225	1178508	1141579	8168916	7854291
2013	44	Teruel	150359	461194	461194	3054077	2739650
2013	50	Zaragoza	188726	1783584	1621900	10880277	10842288
2014	22	Huesca	78354	1226572	1198027	8477042	8058236
2014	44	Teruel	147255	497784	480799	3208359	2778946
2014	50	Zaragoza	149200	1609189	1563709	10458098	10345177
2015	22	Huesca	54906	1326035	1215821	8648236	8646462
2015	44	Teruel	148893	537930	452225	3061114	2760509
2015	50	Zaragoza	149816	1759035	1722092	11530647	11206386
2016	22	Huesca	55575	1463368,54	1333478,83	9322496	8429931
2016	44	Teruel	149719	575502,69	517766,49	3408079	2896748
2016	50	Zaragoza	148814	1854931,24	1821756,37	12079979	11500604
2017	22	Huesca	55521	1544200	1519677	10644805	10426648
2017	44	Teruel	150072	581405	581405	3789202	2932952
2017	50	Zaragoza	175168	1981943	1909283	12590131	11945374
