Año	Municipio código	Municipio nombre	Origen	Tipo de alojamiento	Plazas	Establecimientos
2009	22001	Abiego	IAEST	Apartamentos turísticos	0	0
2009	22001	Abiego	IAEST	Campings y áreas de acampada	0	0
2009	22001	Abiego	IAEST	Hoteles, hostales y similares	27	1
2009	22001	Abiego	IAEST	Viviendas de turismo rural	56	6
2009	22002	Abizanda	IAEST	Apartamentos turísticos	0	0
2009	22002	Abizanda	IAEST	Campings y áreas de acampada	555	1
2009	22002	Abizanda	IAEST	Hoteles, hostales y similares	0	0
2009	22002	Abizanda	IAEST	Viviendas de turismo rural	20	2
2009	22003	Adahuesca	IAEST	Apartamentos turísticos	9	3
2009	22003	Adahuesca	IAEST	Campings y áreas de acampada	0	0
2009	22003	Adahuesca	IAEST	Hoteles, hostales y similares	0	0
2009	22003	Adahuesca	IAEST	Viviendas de turismo rural	26	4
2009	22004	Agüero	IAEST	Apartamentos turísticos	30	2
2009	22004	Agüero	IAEST	Campings y áreas de acampada	111	1
2009	22004	Agüero	IAEST	Hoteles, hostales y similares	20	1
2009	22004	Agüero	IAEST	Viviendas de turismo rural	8	1
2009	22006	Aísa	IAEST	Apartamentos turísticos	0	0
2009	22006	Aísa	IAEST	Campings y áreas de acampada	0	0
2009	22006	Aísa	IAEST	Hoteles, hostales y similares	311	5
2009	22006	Aísa	IAEST	Viviendas de turismo rural	0	0
2009	22007	Albalate de Cinca	IAEST	Apartamentos turísticos	0	0
2009	22007	Albalate de Cinca	IAEST	Campings y áreas de acampada	0	0
2009	22007	Albalate de Cinca	IAEST	Hoteles, hostales y similares	14	1
2009	22007	Albalate de Cinca	IAEST	Viviendas de turismo rural	0	0
2009	22008	Albalatillo	IAEST	Apartamentos turísticos	0	0
2009	22008	Albalatillo	IAEST	Campings y áreas de acampada	0	0
2009	22008	Albalatillo	IAEST	Hoteles, hostales y similares	0	0
2009	22008	Albalatillo	IAEST	Viviendas de turismo rural	0	0
2009	22009	Albelda	IAEST	Apartamentos turísticos	0	0
