Año	Provincia código	Provincia nombre	Origen	Tipo de alojamiento	Plazas	Establecimientos
2009	22	Huesca	IAEST	Apartamentos turísticos	2219	472
2009	22	Huesca	IAEST	Campings y áreas de acampada	24329	65
2009	22	Huesca	IAEST	Hoteles, hostales y similares	18489	389
2009	22	Huesca	IAEST	Viviendas de turismo rural	4508	616
2009	44	Teruel	IAEST	Apartamentos turísticos	1012	242
2009	44	Teruel	IAEST	Campings y áreas de acampada	3462	17
2009	44	Teruel	IAEST	Hoteles, hostales y similares	7254	226
2009	44	Teruel	IAEST	Viviendas de turismo rural	2357	309
2009	50	Zaragoza	IAEST	Apartamentos turísticos	363	120
2009	50	Zaragoza	IAEST	Campings y áreas de acampada	4514	15
2009	50	Zaragoza	IAEST	Hoteles, hostales y similares	17973	295
2009	50	Zaragoza	IAEST	Viviendas de turismo rural	1490	178
2010	22	Huesca	IAEST	Apartamentos turísticos	3443	758
2010	22	Huesca	IAEST	Campings y áreas de acampada	24688	65
2010	22	Huesca	IAEST	Hoteles, hostales y similares	18529	397
2010	22	Huesca	IAEST	Viviendas de turismo rural	4997	677
2010	44	Teruel	IAEST	Apartamentos turísticos	1183	291
2010	44	Teruel	IAEST	Campings y áreas de acampada	3605	18
2010	44	Teruel	IAEST	Hoteles, hostales y similares	7682	247
2010	44	Teruel	IAEST	Viviendas de turismo rural	2565	324
2010	50	Zaragoza	IAEST	Apartamentos turísticos	607	169
2010	50	Zaragoza	IAEST	Campings y áreas de acampada	4472	14
2010	50	Zaragoza	IAEST	Hoteles, hostales y similares	18861	323
2010	50	Zaragoza	IAEST	Viviendas de turismo rural	1806	219
2011	22	Huesca	IAEST	Apartamentos turísticos	3656	800
2011	22	Huesca	IAEST	Campings y áreas de acampada	25274	66
2011	22	Huesca	IAEST	Hoteles, hostales y similares	18694	400
2011	22	Huesca	IAEST	Viviendas de turismo rural	5186	702
2011	44	Teruel	IAEST	Apartamentos turísticos	1370	334
2011	44	Teruel	IAEST	Campings y áreas de acampada	4205	22
2011	44	Teruel	IAEST	Hoteles, hostales y similares	7870	250
2011	44	Teruel	IAEST	Viviendas de turismo rural	2673	341
2011	50	Zaragoza	IAEST	Apartamentos turísticos	816	225
2011	50	Zaragoza	IAEST	Campings y áreas de acampada	4497	14
2011	50	Zaragoza	IAEST	Hoteles, hostales y similares	18948	329
2011	50	Zaragoza	IAEST	Viviendas de turismo rural	1840	222
2012	22	Huesca	IAEST	Apartamentos turísticos	3906	839
2012	22	Huesca	IAEST	Campings y áreas de acampada	25949	68
2012	22	Huesca	IAEST	Hoteles, hostales y similares	18796	399
2012	22	Huesca	IAEST	Viviendas de turismo rural	5322	720
2012	44	Teruel	IAEST	Apartamentos turísticos	1624	412
2012	44	Teruel	IAEST	Campings y áreas de acampada	3617	19
2012	44	Teruel	IAEST	Hoteles, hostales y similares	7915	251
2012	44	Teruel	IAEST	Viviendas de turismo rural	2915	373
2012	50	Zaragoza	IAEST	Apartamentos turísticos	960	269
2012	50	Zaragoza	IAEST	Campings y áreas de acampada	4497	14
2012	50	Zaragoza	IAEST	Hoteles, hostales y similares	18456	317
2012	50	Zaragoza	IAEST	Viviendas de turismo rural	1857	224
2013	22	Huesca	IAEST	Apartamentos turísticos	3977	865
2013	22	Huesca	IAEST	Campings y áreas de acampada	25724	66
2013	22	Huesca	IAEST	Hoteles, hostales y similares	19032	401
2013	22	Huesca	IAEST	Viviendas de turismo rural	5448	736
2013	44	Teruel	IAEST	Apartamentos turísticos	1800	450
2013	44	Teruel	IAEST	Campings y áreas de acampada	4220	18
2013	44	Teruel	IAEST	Hoteles, hostales y similares	8021	254
2013	44	Teruel	IAEST	Viviendas de turismo rural	3201	399
2013	50	Zaragoza	IAEST	Apartamentos turísticos	1065	290
2013	50	Zaragoza	IAEST	Campings y áreas de acampada	4188	15
2013	50	Zaragoza	IAEST	Hoteles, hostales y similares	18159	307
2013	50	Zaragoza	IAEST	Viviendas de turismo rural	1910	233
2014	22	Huesca	IAEST	Apartamentos turísticos	4103	914
2014	22	Huesca	IAEST	Campings y áreas de acampada	26125	67
2014	22	Huesca	IAEST	Hoteles, hostales y similares	19197	404
2014	22	Huesca	IAEST	Viviendas de turismo rural	5696	768
2014	44	Teruel	IAEST	Apartamentos turísticos	1865	466
2014	44	Teruel	IAEST	Campings y áreas de acampada	4109	17
2014	44	Teruel	IAEST	Hoteles, hostales y similares	8328	264
2014	44	Teruel	IAEST	Viviendas de turismo rural	3254	406
2014	50	Zaragoza	IAEST	Apartamentos turísticos	1084	295
2014	50	Zaragoza	IAEST	Campings y áreas de acampada	4338	16
2014	50	Zaragoza	IAEST	Hoteles, hostales y similares	18072	308
2014	50	Zaragoza	IAEST	Viviendas de turismo rural	2028	244
