Año	Comarca código	Comarca nombre	Tipo de vehículo	Tipo de vehículo (orden)	Cantidad
2000	01	La Jacetania	Autobuses	4	44
2000	01	La Jacetania	Camiones y furgonetas	3	2133
2000	01	La Jacetania	Motocicletas	2	462
2000	01	La Jacetania	Otros vehículos	6	252
2000	01	La Jacetania	Tractores industriales	5	49
2000	01	La Jacetania	Turismos	1	6794
2000	02	Alto Gállego	Autobuses	4	5
2000	02	Alto Gállego	Camiones y furgonetas	3	1662
2000	02	Alto Gállego	Motocicletas	2	331
2000	02	Alto Gállego	Otros vehículos	6	247
2000	02	Alto Gállego	Tractores industriales	5	103
2000	02	Alto Gállego	Turismos	1	5142
2000	03	Sobrarbe	Autobuses	4	9
2000	03	Sobrarbe	Camiones y furgonetas	3	1319
2000	03	Sobrarbe	Motocicletas	2	167
2000	03	Sobrarbe	Otros vehículos	6	160
2000	03	Sobrarbe	Tractores industriales	5	11
2000	03	Sobrarbe	Turismos	1	2759
2000	04	La Ribagorza	Autobuses	4	11
2000	04	La Ribagorza	Camiones y furgonetas	3	2281
2000	04	La Ribagorza	Motocicletas	2	387
2000	04	La Ribagorza	Otros vehículos	6	316
2000	04	La Ribagorza	Tractores industriales	5	63
2000	04	La Ribagorza	Turismos	1	4710
2000	05	Cinco Villas	Autobuses	4	36
2000	05	Cinco Villas	Camiones y furgonetas	3	4094
2000	05	Cinco Villas	Motocicletas	2	565
2000	05	Cinco Villas	Otros vehículos	6	656
2000	05	Cinco Villas	Tractores industriales	5	258
2000	05	Cinco Villas	Turismos	1	12166
2000	06	Hoya de Huesca / Plana de Uesca	Autobuses	4	138
2000	06	Hoya de Huesca / Plana de Uesca	Camiones y furgonetas	3	6338
2000	06	Hoya de Huesca / Plana de Uesca	Motocicletas	2	1703
2000	06	Hoya de Huesca / Plana de Uesca	Otros vehículos	6	802
2000	06	Hoya de Huesca / Plana de Uesca	Tractores industriales	5	215
2000	06	Hoya de Huesca / Plana de Uesca	Turismos	1	27030
2000	07	Somontano de Barbastro	Autobuses	4	37
2000	07	Somontano de Barbastro	Camiones y furgonetas	3	2993
2000	07	Somontano de Barbastro	Motocicletas	2	957
2000	07	Somontano de Barbastro	Otros vehículos	6	417
2000	07	Somontano de Barbastro	Tractores industriales	5	122
2000	07	Somontano de Barbastro	Turismos	1	9799
2000	08	Cinca Medio	Autobuses	4	20
2000	08	Cinca Medio	Camiones y furgonetas	3	2666
2000	08	Cinca Medio	Motocicletas	2	546
2000	08	Cinca Medio	Otros vehículos	6	560
2000	08	Cinca Medio	Tractores industriales	5	253
2000	08	Cinca Medio	Turismos	1	9154
2000	09	La Litera / La Llitera	Autobuses	4	17
2000	09	La Litera / La Llitera	Camiones y furgonetas	3	2797
2000	09	La Litera / La Llitera	Motocicletas	2	565
2000	09	La Litera / La Llitera	Otros vehículos	6	339
2000	09	La Litera / La Llitera	Tractores industriales	5	119
2000	09	La Litera / La Llitera	Turismos	1	8077
2000	10	Los Monegros	Autobuses	4	2
2000	10	Los Monegros	Camiones y furgonetas	3	2780
2000	10	Los Monegros	Motocicletas	2	556
2000	10	Los Monegros	Otros vehículos	6	531
2000	10	Los Monegros	Tractores industriales	5	209
2000	10	Los Monegros	Turismos	1	8804
2000	11	Bajo Cinca / Baix Cinca	Autobuses	4	12
