Año	Provincia código	Provincia nombre	Tipo de vehículo	Tipo de vehículo (orden)	Cantidad
2020	22	Huesca	Turismos	1	120944
2020	22	Huesca	Camiones y furgonetas	3	37667
2020	22	Huesca	Autobuses	4	378
2020	22	Huesca	Tractores industriales	5	1980
2020	22	Huesca	Motocicletas	7	15086
2020	22	Huesca	Ciclomotores	8	9432
2020	22	Huesca	Otros vehículos	9	9978
2020	44	Teruel	Turismos	1	75916
2020	44	Teruel	Camiones y furgonetas	3	25014
2020	44	Teruel	Autobuses	4	100
2020	44	Teruel	Tractores industriales	5	1803
2020	44	Teruel	Motocicletas	7	9000
2020	44	Teruel	Ciclomotores	8	7250
2020	44	Teruel	Otros vehículos	9	7088
2020	50	Zaragoza	Turismos	1	427645
2020	50	Zaragoza	Camiones y furgonetas	3	81738
2020	50	Zaragoza	Autobuses	4	1032
2020	50	Zaragoza	Tractores industriales	5	5815
2020	50	Zaragoza	Motocicletas	7	58044
2020	50	Zaragoza	Ciclomotores	8	29849
2020	50	Zaragoza	Otros vehículos	9	26298
2020	99	Sin clasificar	Turismos	1	35
2020	99	Sin clasificar	Camiones y furgonetas	3	17
2020	99	Sin clasificar	Autobuses	4	0
2020	99	Sin clasificar	Tractores industriales	5	1
2020	99	Sin clasificar	Motocicletas	7	1
2020	99	Sin clasificar	Ciclomotores	8	1
2020	99	Sin clasificar	Otros vehículos	9	2
2019	22	Huesca	Turismos	1	119659
2019	22	Huesca	Camiones y furgonetas	3	37672
2019	22	Huesca	Autobuses	4	386
2019	22	Huesca	Tractores industriales	5	1963
2019	22	Huesca	Motocicletas	7	14580
2019	22	Huesca	Ciclomotores	8	9486
2019	22	Huesca	Otros vehículos	9	9694
2019	44	Teruel	Turismos	1	75034
2019	44	Teruel	Camiones y furgonetas	3	24834
2019	44	Teruel	Autobuses	4	98
2019	44	Teruel	Tractores industriales	5	1809
2019	44	Teruel	Motocicletas	7	8683
2019	44	Teruel	Ciclomotores	8	7231
2019	44	Teruel	Otros vehículos	9	6806
2019	50	Zaragoza	Turismos	1	423297
2019	50	Zaragoza	Camiones y furgonetas	3	81888
2019	50	Zaragoza	Autobuses	4	1048
2019	50	Zaragoza	Tractores industriales	5	5853
2019	50	Zaragoza	Motocicletas	7	56109
2019	50	Zaragoza	Ciclomotores	8	30220
2019	50	Zaragoza	Otros vehículos	9	25265
2019	99	Sin clasificar	Turismos	1	30
2019	99	Sin clasificar	Camiones y furgonetas	3	16
2019	99	Sin clasificar	Autobuses	4	0
2019	99	Sin clasificar	Tractores industriales	5	1
2019	99	Sin clasificar	Motocicletas	7	2
2019	99	Sin clasificar	Ciclomotores	8	1
2019	99	Sin clasificar	Otros vehículos	9	2
2018	22	Huesca	Turismos	1	117130
2018	22	Huesca	Camiones y furgonetas	3	37512
2018	22	Huesca	Autobuses	4	376
2018	22	Huesca	Tractores industriales	5	1935
2018	22	Huesca	Motocicletas	7	14069
2018	22	Huesca	Ciclomotores	8	9560
2018	22	Huesca	Otros vehículos	9	9430
