Año	Comarca código	Comarca nombre	Tipo de presupuesto	Estado de la información	Total gastos	Gastos de personal	Gastos en bienes corrientes y servicios	Gastos financieros	Transferencias corrientes	Gastos, fondo de contingencia	Inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros
2004	01	La Jacetania	Presupuestos	Consolidada	4310700	1169950	1042600	15000	678650		712500	677000	0	15000
2004	02	Alto Gállego	Presupuestos	Consolidada	3781061,8	1373307,5	1473680,1	68577,4	351492		288713,3	198058,2	0	27233,4
2004	03	Sobrarbe	Presupuestos	Consolidada	4010662,4	1481000	1111128,9	1801	100600		1252131,5	64001	0	0
2004	04	La Ribagorza	Presupuestos	Consolidada	3847186	1479900	870200	1200	546450		703436	246000	0	0
2004	05	Cinco Villas	Presupuestos	Consolidada	5303557	223700	1084200	0	1390820		506347	2098490	0	0
2004	06	Hoya de Huesca / Plana de Uesca	Presupuestos	Consolidada	6719772,8	1535946	1211950,9	6000	2206101,4		1759774,5	0	0	0
2004	07	Somontano de Barbastro	Presupuestos	Consolidada	4487844,3	2010678	854256,6	9500	333612,9		1134638,8	134157,8	0	11000
2004	08	Cinca Medio	Presupuestos	Consolidada	3803800	1277900	855000	9000	539100		411800	696000	0	15000
2004	09	La Litera / La Llitera	Presupuestos	Consolidada	4239193,5	2070662	1190424,4	0	270500		407101	300506,1	0	0
2004	10	Los Monegros	Presupuestos	Consolidada	5968265	805798,7	2143581,1	9915,5	2192607,7		795494,2	0	0	20867,9
2004	11	Bajo Cinca / Baix Cinca	Presupuestos	Sin información										
2004	12	Tarazona y el Moncayo	Presupuestos	Consolidada	3055900	624020	1211860	0	737020		483000	0	0	0
2004	13	Campo de Borja	Presupuestos	Consolidada	3904239,6	979183,1	717261,8	1	440775,6		1690957,4	76060,7	0	0
2004	14	Aranda	Presupuestos	Sin información										
2004	15	Ribera Alta del Ebro	Presupuestos	Consolidada	3671393,5	1460995,9	1019950,7	3000	283929		578138,4	325379,5	0	0
2004	16	Valdejalón	Presupuestos	Consolidada	1097982,6	446516,4	264305,2	13645,8	9015,2		331595,1	0	0	32904,9
2004	18	Ribera Baja del Ebro	Presupuestos	Consolidada	2664039,1	576887,9	972786,5	0	329835,6		258977,3	525551,8	0	0
2004	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Presupuestos	Sin información										
2004	20	Comunidad de Calatayud	Presupuestos	Consolidada	4368396	632486	854500	0	1444000		471410	960000	6000	0
2004	21	Campo de Cariñena	Presupuestos	Consolidada	4142015,1	373600	713900	26875,1	329504		1617000	1081136	0	0
2004	22	Campo de Belchite	Presupuestos	Consolidada	1606115	308651,8	401598,7	1020	879779,4		15065,1	0	0	0
2004	23	Bajo Martín	Presupuestos	Consolidada	1824760,7	242373,8	598414,4	950	229673,2		290209,6	452539,7	0	10600
2004	24	Campo de Daroca	Presupuestos	Sin información										
2004	25	Jiloca	Presupuestos	Consolidada	3915850,8	873691,9	407274	0	1223759,6		908004,7	503120,7	0	0
2004	26	Cuencas Mineras	Presupuestos	Consolidada	2587477,5	258366,1	243792,3	0	1010458,4		1074860,7	0	0	0
2004	27	Andorra-Sierra de Arcos	Presupuestos	Consolidada	2397050	567847,4	647521	3005	358644,8		420031,8	400000	0	0
2004	28	Bajo Aragón	Presupuestos	Consolidada	3655607,3	1446668,5	726355,6	5000	757016,5		684566,8	36000	0	0
2004	29	Comunidad de Teruel	Presupuestos	Consolidada	3643138,1	128053,9	254707,3	0	2500153,5		0	760223,3	0	0
2004	30	Maestrazgo	Presupuestos	Consolidada	2001043	494908,2	324494,8	308,9	308924,4		277819,9	592666,8	0	1920
2004	31	Sierra de Albarracín	Presupuestos	Consolidada	3163420,6	312825,2	424061	0	676716		1742032	7786,4	0	0
2004	32	Gúdar-Javalambre	Presupuestos	Consolidada	1969727,1	167684	154292,3	0	918782		224225,8	504743	0	0
2004	33	Matarraña / Matarranya	Presupuestos	Consolidada	3217150	536856	588745	2600	516177		1306772	266000	0	0
2005	01	La Jacetania	Presupuestos	Consolidada	4664350,2	1571024,9	935851	15450	751500		684080	676444,2	0	30000
2005	02	Alto Gállego	Presupuestos	Consolidada	4096000	1647321,3	1372058,8	60001,5	580886,6		206500	156608,4	0	72623,4
2005	03	Sobrarbe	Presupuestos	Consolidada	4520011,9	1423600	1191403,7	2201	20600		1617620,6	264586,6	0	0
2005	04	La Ribagorza	Presupuestos	Consolidada	3922547	1534510	837162	1200	543905		677270	328500	0	0
2005	05	Cinco Villas	Presupuestos	Consolidada	3987832	206500	1280000	0	1262000		235000	1004332	0	0
2005	06	Hoya de Huesca / Plana de Uesca	Presupuestos	Consolidada	7214030,6	1995898,3	1599132,4	1000	1891000		1727000	0	0	0
2005	07	Somontano de Barbastro	Presupuestos	Consolidada	5089428,7	2217848	1185134	9100	424796,7		1187550	52000	0	13000
2005	08	Cinca Medio	Presupuestos	Consolidada	4160600	1537900	1285900	6400	549900		689500	75500	0	15500
