Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Total gastos	Gastos de personal	Gastos en bienes corrientes y servicios	Gastos financieros	Transferencias corrientes	Inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Gastos, fondo de contingencia
2004	22001	Abiego	Presupuestos	Consolidada	311122,19	26889	135575	8000	7000	121638,19	0	0	12020	
2004	22002	Abizanda	Presupuestos	Consolidada	568291,66	50849	108990,72	275	15200	362926,33	0	0	30050,61	
2004	22003	Adahuesca	Presupuestos	Consolidada	424902,02	32320,24	114202,02	2600	8000	267779,76	0	0	0	
2004	22004	Agüero	Presupuestos	Consolidada	380270	150300	141300	4000	6000	61070	0	0	17600	
2004	22006	Aísa	Presupuestos	Consolidada	1207722,34	232622,48	282937	2500	43832,52	645830,34	0	0	0	
2004	22007	Albalate de Cinca	Presupuestos	Consolidada	910336,57	138434,75	276333,25	13493,7	28400	408638,68	0	0	45036,19	
2004	22008	Albalatillo	Presupuestos	Consolidada	174730	20100	55730	1450	9050	82900	0	0	5500	
2004	22009	Albelda	Presupuestos	Consolidada	1079167,58	188500	268638,92	9000	62159,21	506869,45	0	0	44000	
2004	22011	Albero Alto	Presupuestos	Consolidada	379816,48	9024,7	30360,94	300,51	2704,56	337425,77	0	0	0	
2004	22012	Albero Bajo	Presupuestos	Consolidada	195640	11600	61830	960	6400	113050	0	0	1800	
2004	22013	Alberuela de Tubo	Presupuestos	Consolidada	500220	94880	68890	100	12350	324000	0	0	0	
2004	22014	Alcalá de Gurrea	Presupuestos	Sin información										
2004	22015	Alcalá del Obispo	Presupuestos	Sin información										
2004	22016	Alcampell	Presupuestos	Consolidada	934727,63	119149,16	170943,72	11100	58910	533724,75	0	0	40900	
2004	22017	Alcolea de Cinca	Presupuestos	Consolidada	1632534,62	152392,16	414069,95	8800	38300,5	995540,14	0	0	23431,87	
2004	22018	Alcubierre	Presupuestos	Consolidada	341152	116797,49	119407	11152	2560	47202,51	11640	0	32393	
2004	22019	Alerre	Presupuestos	Consolidada	275000	33500	42815	0	2500	192085	0	0	4100	
2004	22020	Alfántega	Presupuestos	Consolidada	140390	9225,83	52723	199,43	1750	74389	0	0	2102,74	
2004	22021	Almudévar	Presupuestos	Consolidada	2076403,43	445033,44	706766,65	37288,13	93358,42	717656,01	3218,42	1287,36	71795	
2004	22022	Almunia de San Juan	Presupuestos	Sin información										
2004	22023	Almuniente	Presupuestos	Consolidada	419891,44	80901,04	123706,79	6000	53482,47	141301,14	0	0	14500	
2004	22024	Alquézar	Presupuestos	Consolidada	1183960,52	84160	368500	16000	18000	572300,52	0	0	125000	
2004	22025	Altorricón	Presupuestos	Consolidada	1286045	431661	359450	14502	82000	350848	0	0	47584	
2004	22027	Angüés	Presupuestos	Consolidada	331870,3	46843,21	90873,15	620	27208,35	160083,94	6241,65	0	0	
2004	22028	Ansó	Presupuestos	Consolidada	1411548,49	112445,49	193938	5160	9500	934205	0	144100	12200	
2004	22029	Antillón	Presupuestos	Consolidada	177811	32760	44000	300	8700	92051	0	0	0	
2004	22032	Aragüés del Puerto	Presupuestos	Consolidada	167700	29700	50300	400	3000	84300	0	0	0	
2004	22035	Arén	Presupuestos	Consolidada	540200	66582	90280	4800	32038	340500	0	0	6000	
2004	22036	Argavieso	Presupuestos	Sin información										
2004	22037	Arguis	Presupuestos	Consolidada	223387	33300	82410	1000	3000	103677	0	0	0	
2004	22039	Ayerbe	Presupuestos	Consolidada	969040	249210	254700	13250	23750	403800	400	0	23930	
2004	22040	Azanuy-Alins	Presupuestos	Consolidada	204072	26372	65063	2297	17255	91611	0	0	1474	
2004	22041	Azara	Presupuestos	Consolidada	212840	24400	45170	0	7970	135300	0	0	0	
2004	22042	Azlor	Presupuestos	Consolidada	449101	19500	29860	2400	5830	385500	0	0	6011	
2004	22043	Baells	Presupuestos	Sin información										
2004	22044	Bailo	Presupuestos	Consolidada	1074645,66	78250	93525,2	17505,56	41665,67	801954,8	0	0	41744,43	
2004	22045	Baldellou	Presupuestos	Sin información										
2004	22046	Ballobar	Presupuestos	Consolidada	781492,21	209410,74	306183,18	1961,98	77414,82	168973,62	0	0	17547,87	
2004	22047	Banastás	Presupuestos	Consolidada	210000	49000	42000	0	500	118500	0	0	0	
2004	22048	Barbastro	Presupuestos	Consolidada	14450291,31	3307507,93	3475182,92	301969,02	1151252,14	5134511,57	5515,44	0	1074352,29	
2004	22049	Barbués	Presupuestos	Consolidada	118371,43	8672,85	25165,17	30,05	8476,16	76015,2	0	0	12	
2004	22050	Barbuñales	Presupuestos	Consolidada	249099,27	9903,53	27013,84	1352,28	18030,35	191649,27	0	0	1150	
2004	22051	Bárcabo	Presupuestos	Consolidada	247540,73	1300	32177,5	1400	10908	201755,23	0	0	0	
2004	22052	Belver de Cinca	Presupuestos	Consolidada	1097130,93	259001,08	170554,57	3000	94995,88	546757,12	6000	0	16822,28	
2004	22053	Benabarre	Presupuestos	Consolidada	1222500	440400	389000	21000	29800	277500	0	0	64800	
2004	22054	Benasque	Presupuestos	Consolidada	1953212	797284	776845	91982	100101	0	0	0	187000	
2004	22055	Berbegal	Presupuestos	Consolidada	397783	93803	107165	2500	23055	163445	0	0	7815	
2004	22057	Bielsa	Presupuestos	Consolidada	1475400	129000	325400	16000	42600	925500	0	0	36900	
2004	22058	Bierge	Presupuestos	Consolidada	830816,21	46190	151219,96	3000	13000	595046,55	0	0	22359,7	
2004	22059	Biescas	Presupuestos	Consolidada	2373000	504767,61	566463,57	65166	253965,79	687600	55865,75	6000	233171,28	
2004	22060	Binaced	Presupuestos	Consolidada	1027460,83	224440,6	370500	4650	38600	371179,79	0	0	18090,44	
2004	22061	Binéfar	Presupuestos	Consolidada	8503119,85	2095361,2	1920602,25	173285,25	257262,1	3389737,43	2240,02	0	664631,6	
2004	22062	Bisaurri	Presupuestos	Consolidada	217684	46250	102750	150	25329	43205	0	0	0	
2004	22063	Biscarrués	Presupuestos	Consolidada	154647	15067,81	61196,77	1371,31	20000,99	51000	0	0	6010,12	
2004	22064	Blecua y Torres	Presupuestos	Consolidada	507208	44235	52954	1500	13180	395339	0	0	0	
2004	22066	Boltaña	Presupuestos	Consolidada	2460263,49	307998,14	364842,53	23923,95	76602,18	1356941,47	0	0	329955,22	
2004	22067	Bonansa	Presupuestos	Sin información										
2004	22068	Borau	Presupuestos	Sin información										
2004	22069	Broto	Presupuestos	Consolidada	1244071,32	87202,02	261826,64	9581,01	36321,21	824608	0	0	24532,44	
2004	22072	Caldearenas	Presupuestos	Consolidada	552509,29	117500	82209,29	6000	17400	320400	0	0	9000	
2004	22074	Campo	Presupuestos	Consolidada	1000696,77	122800	316367,02	19070	50554,3	280215	120202,42	0	91488,03	
2004	22075	Camporrells	Presupuestos	Consolidada	652608,49	29650,23	112746,94	4655,52	12365,45	459362,76	0	0	33827,59	
2004	22076	Canal de Berdún	Presupuestos	Consolidada	577840	77550	279426	300	20000	200264	0	0	300	
2004	22077	Candasnos	Presupuestos	Sin información										
2004	22078	Canfranc	Presupuestos	Consolidada	1545745,21	372533,46	226583,55	3200	80358,46	826847,52	30000	0	6222,22	
2004	22079	Capdesaso	Presupuestos	Consolidada	177988,37	17924,09	100145,73	1456,78	3614,15	54847,62	0	0	0	
