Año	Comarca código	Comarca nombre	Tipo de presupuesto	Estado de la información	Área gastos, total	Área gastos, deuda pública	Área gastos, servicios públicos básicos	Área gastos, actuaciones protección y promoción social	Área gastos, producción bienes públicos carácter preferente	Área gastos, actuaciones carácter económico	Área gastos, actuaciones carácter general
2010	01	La Jacetania	Presupuestos	Consolidada	6355383,69	0	1733975,25	1736958,5	1321369,22	559962,63	1003118,09
2010	02	Alto Gállego	Presupuestos	Consolidada	4994055,91	112932,21	1414638,4	1428493,49	1090670,29	91896,32	855425,2
2010	03	Sobrarbe	Presupuestos	Consolidada	6850548,5	0	650400	858329,75	459810,59	1231621,12	3650387,04
2010	04	La Ribagorza	Presupuestos	Consolidada	5997400	4000	1542400	1697000	1635500	357500	761000
2010	05	Cinco Villas	Presupuestos	Consolidada	5074813,6	0	1356300,35	1178272,21	570576,89	1433390	536274,15
2010	06	Hoya de Huesca / Plana de Uesca	Presupuestos	Sin información							
2010	07	Somontano de Barbastro	Presupuestos	Consolidada	5596618,17	15000	1772245,22	1801199	741071,11	370218,04	896884,8
2010	08	Cinca Medio	Presupuestos	Sin información							
2010	09	La Litera / La Llitera	Presupuestos	Consolidada	5627882,89	448070	1103545,95	3045508,03	207189,7	145427,97	678141,24
2010	10	Los Monegros	Presupuestos	Consolidada	6974295	19115,27	1725931,69	1789864,91	1369115,28	967173,61	1103094,24
2010	11	Bajo Cinca / Baix Cinca	Presupuestos	Consolidada	4914111,64	0	1447297,11	1114522,92	606707,38	474877,67	1270706,56
2010	12	Tarazona y el Moncayo	Presupuestos	Consolidada	4581000	0	574209	1572788	935303	532887	965813
2010	13	Campo de Borja	Presupuestos	Consolidada	4065185,66	46000	611287,5	1581605,97	554391,03	145003	1126898,16
2010	14	Aranda	Presupuestos	Consolidada	2736121,84	54959,65	795632,91	358252,83	219440	111218	1196618,45
2010	15	Ribera Alta del Ebro	Presupuestos	Consolidada	5045470,18	0	1139954,69	1761491,92	639090,62	206807,57	1298125,38
2010	16	Valdejalón	Presupuestos	Consolidada	4473593,98	200	896681,66	1567177,23	624268,57	152504,44	1232762,08
2010	18	Ribera Baja del Ebro	Presupuestos	Consolidada	3569571,89	0	970384,71	1145531,77	429786,96	88500	935368,45
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Presupuestos	Consolidada	3282958,24	20000	148950	665051,53	312700	1088853,59	1047403,12
2010	20	Comunidad de Calatayud	Presupuestos	Consolidada	6671216	0	479182,45	1719621,85	454684,24	67838,46	3949889
2010	21	Campo de Cariñena	Presupuestos	Consolidada	4033865,4	180240	1544909,4	948400	489240	46000	825076
2010	22	Campo de Belchite	Presupuestos	Consolidada	2674037,24	0	779750	288576,96	401110,36	85932,14	1118667,78
2010	23	Bajo Martín	Presupuestos	Consolidada	2628460,95	5250	619702,62	897454,86	330048,21	105026,74	670978,52
2010	24	Campo de Daroca	Presupuestos	Consolidada	2904182,28	8000	308968	398183,84	170450,05	829191	1189389,39
2010	25	Jiloca	Presupuestos	Consolidada	4237200	28000	864500	1482800	424100	655700	782100
2010	26	Cuencas Mineras	Presupuestos	Sin información							
2010	27	Andorra-Sierra de Arcos	Presupuestos	Consolidada	3354902,04	1000	697841,51	988236	528659,78	441671,56	697493,19
2010	28	Bajo Aragón	Presupuestos	Sin información							
2010	29	Comunidad de Teruel	Presupuestos	Consolidada	4783879	178000	803757	1940502	804500	378600	678520
2010	30	Maestrazgo	Presupuestos	Sin información							
2010	31	Sierra de Albarracín	Presupuestos	Consolidada	2370100	0	56000	580600	392500	76500	1264500
2010	32	Gúdar-Javalambre	Presupuestos	Consolidada	3795130	4000	699000	969580	619950	883550	619050
2010	33	Matarraña / Matarranya	Presupuestos	Consolidada	6110132	2434,29	1476344,35	983536,46	610350,74	290404,97	2747061,19
2011	01	La Jacetania	Presupuestos	Consolidada	5921343,66	0	1054350	1151184,72	994803	1821819,62	899186,32
2011	02	Alto Gállego	Presupuestos	Consolidada	4617695	103422,29	1414692,52	1242725,38	998236,32	59926,67	798691,82
2011	03	Sobrarbe	Presupuestos	Consolidada	5967126,58	0	446156	506996	286230	1023284,58	3704460
2011	04	La Ribagorza	Presupuestos	Consolidada	5294000	4700	1590168,04	1576300	1265931,96	242900	614000
2011	05	Cinco Villas	Presupuestos	Consolidada	4753974,75	0	1297320,35	1168672,21	418339,76	1428440,45	441201,98
2011	06	Hoya de Huesca / Plana de Uesca	Presupuestos	Sin información							
2011	07	Somontano de Barbastro	Presupuestos	Consolidada	4726254,15	11000	1546444,99	1433668,64	656051,22	311894,99	767194,31
2011	08	Cinca Medio	Presupuestos	Sin información							
2011	09	La Litera / La Llitera	Presupuestos	Consolidada	5093119,41	357102,6	1085654,88	2603707,92	207323,67	127026,99	712303,35
2011	10	Los Monegros	Presupuestos	Consolidada	7372582,76	15077,68	2312003,44	1503147,67	1955969,02	867170,55	719214,4
2011	11	Bajo Cinca / Baix Cinca	Presupuestos	Consolidada	4617626,92	0	1461877,05	1113025,53	563673,84	232470,41	1246580,09
2011	12	Tarazona y el Moncayo	Presupuestos	Consolidada	2333928,9	0	504969	848804	319175,9	21000	639980
2011	13	Campo de Borja	Presupuestos	Consolidada	3221041,01	19438,56	618639,26	1398515,71	447762,22	72003	664682,26
2011	14	Aranda	Presupuestos	Consolidada	2373802,48	47562,35	702704,29	292705,16	203010	126303,27	1001517,41
2011	15	Ribera Alta del Ebro	Presupuestos	Consolidada	4541858,16	0	949495,66	1576749,13	629230,95	118360	1268022,42
2011	16	Valdejalón	Presupuestos	Consolidada	4520610,4	7158,77	1035023,61	1522750,91	515330,14	191665,22	1248681,75
2011	18	Ribera Baja del Ebro	Presupuestos	Consolidada	3283170,43	0	977800	1108011,17	378755,79	85213	733390,47
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Presupuestos	Consolidada	3248350,31	38636,2	106800	631973,73	307600	1092142,11	1071198,27
2011	20	Comunidad de Calatayud	Presupuestos	Consolidada	4829048	0	423752,58	1661742,79	497265,96	56426,67	2189860
2011	21	Campo de Cariñena	Presupuestos	Consolidada	3394566	215546	1178660	794690	394330	137000	674340
2011	22	Campo de Belchite	Presupuestos	Consolidada	1901768,16	0	330573,88	229317,54	294614,09	72596,32	974666,33
2011	23	Bajo Martín	Presupuestos	Consolidada	2226906,88	45728,36	608652,7	837337,52	282250,95	34543,64	418393,71
2011	24	Campo de Daroca	Presupuestos	Consolidada	2450133,83	65000	294700	360144,44	147700	519700	1062889,39
2011	25	Jiloca	Presupuestos	Consolidada	3676400	2500	860900	1299600	311600	511500	690300
2011	26	Cuencas Mineras	Presupuestos	Sin información							
2011	27	Andorra-Sierra de Arcos	Presupuestos	Consolidada	2277960,49	1000	359974,1	910411	392516	208825,83	405233,56
2011	28	Bajo Aragón	Presupuestos	Consolidada	3198828,09	148178,85	455197,05	1466039,07	363761,28	52196,59	713455,25
2011	29	Comunidad de Teruel	Presupuestos	Consolidada	4158986,56	124000	645552,56	1549176,35	699200	557234	583823,65
2011	30	Maestrazgo	Presupuestos	Sin información							
2011	31	Sierra de Albarracín	Presupuestos	Consolidada	2230843	0	48500	194648	296305	43245	1648145
2011	32	Gúdar-Javalambre	Presupuestos	Consolidada	3107075,08	0	624536,25	698725	459985	874132,16	449696,67
2011	33	Matarraña / Matarranya	Presupuestos	Sin información							
2012	01	La Jacetania	Presupuestos	Consolidada	4691273,88	0	847000	981529,84	794736	1186004,66	882003,38
2012	02	Alto Gállego	Presupuestos	Consolidada	4341455	108133,13	1278640,79	1195860,22	1007506,61	80057,2	671257,05
2012	03	Sobrarbe	Presupuestos	Consolidada	5349289,66	0	334609,56	510497,43	219840	914836,28	3369506,39
2012	04	La Ribagorza	Presupuestos	Consolidada	5150800	83389,75	1787654	1372300	1170962	142350	594144,25
2012	05	Cinco Villas	Presupuestos	Consolidada	4096362,34	0	1324160,6	1027880	402439,76	894684	447197,98
2012	06	Hoya de Huesca / Plana de Uesca	Presupuestos	Consolidada	6230796,06	30000	1065597,34	1955199,88	1150408,45	895701	1133889,39
2012	07	Somontano de Barbastro	Presupuestos	Consolidada	4376860,06	11000	1876239,91	762132,25	601137,51	299330,83	827019,56
2012	08	Cinca Medio	Presupuestos	Consolidada	3424324,54	39500	1177626,74	1203410,16	333111,31	44393,12	626283,21
2012	09	La Litera / La Llitera	Presupuestos	Consolidada	4760859,48	366712	921395,26	2620855,09	139293,36	74183,69	638420,08
2012	10	Los Monegros	Presupuestos	Consolidada	6947093,2	25722,15	2296741,86	1525971,66	1708863,96	736083,61	653709,96
2012	11	Bajo Cinca / Baix Cinca	Presupuestos	Consolidada	4642196,28	0	1388867,73	1053212,83	533551,32	252839,01	1413725,39
2012	12	Tarazona y el Moncayo	Presupuestos	Consolidada	3352119	0	516300	882220	588030	635666	729903
2012	13	Campo de Borja	Presupuestos	Consolidada	3366113,18	141000	677400	1392785,09	361765,39	131572,86	661589,84
2012	14	Aranda	Presupuestos	Consolidada	2110294,34	50043,28	611231,22	264869,89	165930,63	103218,8	915000,52
2012	15	Ribera Alta del Ebro	Presupuestos	Consolidada	4509382,31	0	1023033,25	1715342,2	604909,25	76928,64	1089168,97
2012	16	Valdejalón	Presupuestos	Consolidada	4260773,89	3319	945000	1438531,53	504309,98	59405,49	1310207,89
2012	18	Ribera Baja del Ebro	Presupuestos	Consolidada	2798492,32	0	837000	962001,09	332154,93	17000	650336,3
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Presupuestos	Consolidada	2746762,25	15000	111500	538001,2	165445,4	1019335,44	897480,21
2012	20	Comunidad de Calatayud	Presupuestos	Consolidada	3382374,56	0	360043,73	1529274,58	372900	17000	1103156,25
2012	21	Campo de Cariñena	Presupuestos	Consolidada	2739118,54	258066,52	626643,97	823060	356490	39500	635358,05
2012	22	Campo de Belchite	Presupuestos	Consolidada	1525494,41	0	600069,17	214691,92	164927,91	94918	450887,41
2012	23	Bajo Martín	Presupuestos	Consolidada	2020574,69	83000	583656,68	820190,37	143697	13674,04	376356,6
2012	24	Campo de Daroca	Presupuestos	Consolidada	2578189,39	74000	449600	386600	202800	414800	1050389,39
2012	25	Jiloca	Presupuestos	Consolidada	3600400	23300	818000	1248300	402300	487500	621000
2012	26	Cuencas Mineras	Presupuestos	Consolidada	2398849,51	73659,75	221000	448462,52	243402,64	154460,44	1257864,16
