Año	Comarca código	Comarca nombre	Total ingresos	Impuestos directos	Impuestos indirectos	Tasas y otros ingresos	Transferencias corrientes	Ingresos patrimoniales	Enajenación inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Tipo de presupuesto	Estado de la información
2007	01	La Jacetania	6163081,64	0	0	751436,98	3244625,46	29868,71	0	1437150,49	0	700000	Liquidaciones	Consolidada
2007	02	Alto Gállego	4909167,66	0	0	314818,8	3789441,88	21169,96	126788	656949,02	0	0	Liquidaciones	Clasificación Económica de la Administración General
2007	03	Sobrarbe	5253646,4	0	0	253834,94	3208945,45	48940,88	0	1741925,13	0	0	Liquidaciones	Consolidada
2007	04	La Ribagorza	6112154,28	0	0	466222,1	5472996	72936,18	0	100000	0	0	Liquidaciones	Consolidada
2007	05	Cinco Villas	5483227,47	0	0	89744,88	4275558,75	197923,84	0	920000	0	0	Liquidaciones	Consolidada
2007	06	Hoya de Huesca / Plana de Uesca	6798499,68	0	0	795465,93	5645189,11	102949,26	0	252062,08	2833,3	0	Liquidaciones	Clasificación Económica de la Administración General
2007	07	Somontano de Barbastro	6207401,49	0	0	599144,76	4399191,27	41077,91	0	1164687,55	3300	0	Liquidaciones	Consolidada
2007	08	Cinca Medio											Liquidaciones	Sin información
2007	09	La Litera / La Llitera	5601758,91	0	0	1499476,38	3053423,47	72475,06	0	976384	0	0	Liquidaciones	Consolidada
2007	10	Los Monegros	6721437,85	0	0	1155804,16	3856750,2	0	0	1708883,49	0	0	Liquidaciones	Consolidada
2007	11	Bajo Cinca / Baix Cinca	3908247,51	0	0	426022,84	2758032,29	68887,38	0	655305	0	0	Liquidaciones	Consolidada
2007	12	Tarazona y el Moncayo	4418869,14	0	0	71929,48	3102037,36	52902,3	0	1192000	0	0	Liquidaciones	Consolidada
2007	13	Campo de Borja	4318649,59	0	0	216461,44	2906504,08	44439,3	0	988021,64	0	163223,13	Liquidaciones	Consolidada
2007	14	Aranda	3330718,82	0	0	206145,38	2052095,56	33124,89	0	648695,13	0	390657,86	Liquidaciones	Consolidada
2007	15	Ribera Alta del Ebro	4266064,25	0	0	38464,61	3350891,01	70696,63	0	806012	0	0	Liquidaciones	Consolidada
2007	16	Valdejalón	4315744,37	0	0	870423,06	2889683,08	107817,73	0	447820,5	0	0	Liquidaciones	Consolidada
2007	18	Ribera Baja del Ebro	2984342,71	0	0	57975,88	2248354,91	26175,92	0	651836	0	0	Liquidaciones	Consolidada
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3634579,62	0	0	59842,77	3488075,41	65793,65	0	20867,79	0	0	Liquidaciones	Consolidada
2007	20	Comunidad de Calatayud	5931705,56	0	0	6538,94	3304632,38	72414,87	0	2548119,37	0	0	Liquidaciones	Consolidada
2007	21	Campo de Cariñena	2629838,98	0	0	86277,99	2465930,94	67030,05	0	10600	0	0	Liquidaciones	Consolidada
2007	22	Campo de Belchite	2654959,23	0	0	93833,98	1760454,03	34499,49	0	766171,73	0	0	Liquidaciones	Consolidada
2007	23	Bajo Martín	2552591,47	0	0	124976,43	1560639,71	35343,98	0	831631,35	0	0	Liquidaciones	Consolidada
2007	24	Campo de Daroca	3888443,61	0	0	152453,19	3063460,69	0	0	672529,73	0	0	Liquidaciones	Consolidada
