Año	Comarca código	Comarca nombre	Tipo de presupuesto	Estado de la información	Total gastos	Gastos de personal	Gastos en bienes corrientes y servicios	Gastos financieros	Transferencias corrientes	Inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Fondo de contingencia
2007	01	La Jacetania	Liquidaciones	Consolidada	5520628,42	1939567,09	1088554,96	37689,64	1313724,51	808703,59	258478,08	0	73910,55	
2007	02	Alto Gállego	Liquidaciones	Clasificación Económica de la Administración General	5032434,55	2012914,3	1255304,05	67348,62	1239640,71	384604,59	0	0	72622,28	
2007	03	Sobrarbe	Liquidaciones	Consolidada	5004793,78	1658676,16	1336283,05	853,85	29865,95	1402685,11	576429,66	0	0	
2007	04	La Ribagorza	Liquidaciones	Consolidada	6114511	2397224,68	1738134,91	734,91	647401,58	852413,86	478601,06	0	0	
2007	05	Cinco Villas	Liquidaciones	Consolidada	4943485,59	293227,88	1134881,47	0	1215788,72	461889,94	1837697,58	0	0	
2007	06	Hoya de Huesca / Plana de Uesca	Liquidaciones	Clasificación Económica de la Administración General	6488334,28	2779320,2	1291543,47	13104,26	1978906,49	406025,73	0	4300	15134,13	
2007	07	Somontano de Barbastro	Liquidaciones	Consolidada	6280496,41	2648778,44	1277453,1	21195,77	511584,99	1492860,76	281308,3	3300	44015,05	
2007	08	Cinca Medio	Liquidaciones	Sin información										
2007	09	La Litera / La Llitera	Liquidaciones	Consolidada	6998634,91	2898001,29	1658652,45	127510,72	145662,92	213200,38	1616607,15	0	339000	
2007	10	Los Monegros	Liquidaciones	Consolidada	6274282,84	1334896,68	1082054,14	6511,48	2909852,56	931987,42	0	0	8980,56	
2007	11	Bajo Cinca / Baix Cinca	Liquidaciones	Consolidada	3447753,2	1776457,98	1071544,58	1546,67	281330,45	280873,52	36000	0	0	
2007	12	Tarazona y el Moncayo	Liquidaciones	Consolidada	3643957,48	1203017,47	1083820,51	0	687049,48	670070,02	0	0	0	
2007	13	Campo de Borja	Liquidaciones	Consolidada	5188667,57	1273811,96	1054749,33	342,82	515134,42	584774,03	1759855,01	0	0	
2007	14	Aranda	Liquidaciones	Consolidada	3366488,8	582810,91	807793,43	21269,57	379873,85	1054297,98	449974,32	0	70468,74	
2007	15	Ribera Alta del Ebro	Liquidaciones	Consolidada	3936500,01	1533816,63	1318747,07	798,43	280617,31	163192,61	639327,96	0	0	
2007	16	Valdejalón	Liquidaciones	Consolidada	5177893,71	1063222,62	1007904,92	0	2651093,04	16652,63	439020,5	0	0	
2007	18	Ribera Baja del Ebro	Liquidaciones	Consolidada	2958819,87	950104,56	1301019,26	0	273065,92	19579,55	415050,58	0	0	
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Liquidaciones	Consolidada	3570092,72	491255,36	695563,85	947,72	2125292,93	7032,86	250000	0	0	
2007	20	Comunidad de Calatayud	Liquidaciones	Consolidada	4936960	728633,2	797267,34	4200	1728053,33	151733,54	1492465,63	0	34606,96	
2007	21	Campo de Cariñena	Liquidaciones	Consolidada	3420413,5	546829,55	1292636,97	44435,3	334525,47	30691,22	1059694,99	0	111600	
2007	22	Campo de Belchite	Liquidaciones	Consolidada	2235570,74	423348,2	679581,88	233,07	876932,72	239736,68	15738,19	0	0	
2007	23	Bajo Martín	Liquidaciones	Consolidada	3261727,4	552346,87	791062	49,76	276577,63	1270576,27	371114,87	0	0	
2007	24	Campo de Daroca	Liquidaciones	Consolidada	3810580,78	905371,62	1786931,39	1972,05	412461,65	703844,07	0	0	0	
2007	25	Jiloca	Liquidaciones	Consolidada	4032854,15	1281283,48	780605,95	2577,6	826233,47	872213,65	269940	0	0	
2007	26	Cuencas Mineras	Liquidaciones	Sin información										
2007	27	Andorra-Sierra de Arcos	Liquidaciones	Consolidada	3403514,97	874561,1	778683,37	437,19	360860,82	924185,32	464787,17	0	0	
2007	28	Bajo Aragón	Liquidaciones	Sin información										
2007	29	Comunidad de Teruel	Liquidaciones	Consolidada	3454777,64	1490628,36	676767,59	0	893870,9	393510,79	0	0	0	
2007	30	Maestrazgo	Liquidaciones	Consolidada	3723123,54	904203,36	358071,3	437,84	667164,06	1131117,07	662129,91	0	0	
2007	31	Sierra de Albarracín	Liquidaciones	Consolidada	3049600,88	602670,85	476780,88	0	810838,88	1108502,27	50808	0	0	
2007	32	Gúdar-Javalambre	Liquidaciones	Consolidada	2963555,33	549616,21	560951,62	0	1032947,07	663619,93	156420,5	0	0	
2007	33	Matarraña / Matarranya	Liquidaciones	Consolidada	3063560,84	873928,19	517216,41	2143,61	609720,9	706500,48	354051,25	0	0	
2008	01	La Jacetania	Liquidaciones	Consolidada	6023653,35	2248179,44	1267454,48	48507,88	1208529,19	930896,96	247964	0	72121,4	
2008	02	Alto Gállego	Liquidaciones	Consolidada	5263173,34	2144033,64	1442886,81	76417,41	1409426,52	114186,68	0	3600	72622,28	
2008	03	Sobrarbe	Liquidaciones	Consolidada	5542502,28	1846973,16	1590710,59	1389,5	130828,78	1226120,48	746479,77	0	0	
2008	04	La Ribagorza	Liquidaciones	Consolidada	7612260,53	2781709,03	2187107,71	1464,48	771892,86	1023497,06	846589,39	0	0	
2008	05	Cinco Villas	Liquidaciones	Consolidada	4972237,42	452247,51	1100774,59	0	1444094,47	600954,57	1374166,28	0	0	
2008	06	Hoya de Huesca / Plana de Uesca	Liquidaciones	Consolidada	7913820,82	3118047,04	1430250,64	15995,96	1377056,44	1908971,79	46465	1800	15233,95	
2008	07	Somontano de Barbastro	Liquidaciones	Consolidada	7015330,92	3082633,43	1522856,9	22052,75	524484,53	1731601,53	18060	68245,87	45395,91	
2008	08	Cinca Medio	Liquidaciones	Consolidada	4583807,24	2202180,46	1298141,96	2306,14	465268,26	475374,2	126000	0	14536,22	
2008	09	La Litera / La Llitera	Liquidaciones	Consolidada	6616318,99	3080281,81	1657839,68	144523,49	153774,03	31021,11	1209878,87	0	339000	
2008	10	Los Monegros	Liquidaciones	Consolidada	7481561,38	1514162,78	1165989,98	21007,88	3158086,3	1021308,87	600000	0	1005,57	
2008	11	Bajo Cinca / Baix Cinca	Liquidaciones	Consolidada	3607127,92	1847283,32	1215845,56	871,52	460537,6	82589,92	0	0	0	
2008	12	Tarazona y el Moncayo	Liquidaciones	Consolidada	2921594,74	1112892,92	1020880,05	0	640938,65	146883,12	0	0	0	
