Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Área gastos, total	Área gastos, deuda pública	Área gastos, servicios públicos básicos	Área gastos, actuaciones protección y promoción social	Área gastos, producción bienes públicos carácter preferente	Área gastos, actuaciones carácter económico	Área gastos, actuaciones carácter general
2010	22001	Abiego	Liquidaciones	Consolidada	459806,93	13054,82	204545,4	11808,33	84623,67	6567,05	139207,66
2010	22002	Abizanda	Liquidaciones	Consolidada	579714,79	0	14054	17007,38	466088,49	0	82564,92
2010	22003	Adahuesca	Liquidaciones	Consolidada	469636,27	5778,57	111290,78	2706,69	159867,82	66884,96	123107,45
2010	22004	Agüero	Liquidaciones	Consolidada	594116,87	50567,23	117070,92	131553,29	57319,9	152190,79	85414,74
2010	22006	Aísa	Liquidaciones	Consolidada	1098951,01	59922,66	262080,26	634,94	40251,2	228317,02	507744,93
2010	22007	Albalate de Cinca	Liquidaciones	Consolidada	1515234,32	62665,28	361893,67	57486,19	553959,38	252361,01	226868,79
2010	22008	Albalatillo	Liquidaciones	Consolidada	302414,24	6598,28	0	4665,74	218187,74	0	72962,48
2010	22009	Albelda	Liquidaciones	Consolidada	1014969,1	53323,86	8906,96	67446,04	399442,33	359623,73	126226,18
2010	22011	Albero Alto	Liquidaciones	Consolidada	282015,93	0	101944,05	0	94770,88	58583,77	26717,23
2010	22012	Albero Bajo	Liquidaciones	Consolidada	138332,92	2878,93	32823,7	0	4006,75	98514,04	109,5
2010	22013	Alberuela de Tubo	Liquidaciones	Consolidada	498835,68	5717,59	0	21488,47	336451,22	7670,19	127508,21
2010	22014	Alcalá de Gurrea	Liquidaciones	Consolidada	787887,94	0	261864,56	7337,85	317338,84	67359,15	133987,54
2010	22015	Alcalá del Obispo	Liquidaciones	Consolidada	347364,36	8621,12	100877,04	0	97129,29	11785,78	128951,13
2010	22016	Alcampell	Liquidaciones	Consolidada	1783063,67	50321,12	133217,86	45744,17	145085,32	1164143,94	244551,26
2010	22017	Alcolea de Cinca	Liquidaciones	Consolidada	1658269,08	68995,86	145755,57	61757,86	700138,5	110619,38	571001,91
2010	22018	Alcubierre	Liquidaciones	Consolidada	843605,58	34207,03	184778,88	10047,36	279979,86	23681,1	310911,35
2010	22019	Alerre	Liquidaciones	Consolidada	386330,37	951,98	269319,42	0	19379,06	7096,72	89583,19
2010	22020	Alfántega	Liquidaciones	Consolidada	304618,66	1476,16	57002,87	6261,66	11726,62	188438,17	39713,18
2010	22021	Almudévar	Liquidaciones	Consolidada	3562221,59	155226,48	407695,28	469668,96	1337039,89	4733,95	1187857,03
2010	22022	Almunia de San Juan	Liquidaciones	Consolidada	623108,31	16945,42	158090,54	33567,47	271021,37	0	143483,51
2010	22023	Almuniente	Liquidaciones	Consolidada	1018725,67	65743,29	0	0	49122,35	554630,62	349229,41
2010	22024	Alquézar	Liquidaciones	Consolidada	904505,32	0	488360,43	29530,78	220926,6	9863,49	155824,02
2010	22025	Altorricón	Liquidaciones	Consolidada	1699725,08	79515,06	520197,15	5574	661234,93	167165,26	266038,68
2010	22027	Angüés	Liquidaciones	Consolidada	522143,46	7492,41	21131,11	18275,06	315831,41	11106,1	148307,37
2010	22028	Ansó	Liquidaciones	Consolidada	787658,59	12053,04	0	20688,45	86919,2	449189,59	218808,31
2010	22029	Antillón	Liquidaciones	Consolidada	376698,08	14896,77	0	0	41288,82	41834,88	278677,61
2010	22032	Aragüés del Puerto	Liquidaciones	Consolidada	273873,29	16605,93	112811,33	0	16224,47	0	128231,56
2010	22035	Arén	Liquidaciones	Consolidada	843251,6	12810,8	119584,91	27363,4	49686,36	503904,5	129901,63
2010	22036	Argavieso	Liquidaciones	Consolidada	155199,41	2714,93	42397,74	0	86696,65	365,92	23024,17
2010	22037	Arguis	Liquidaciones	Consolidada	222925,09	67,39	0	5567,34	83164,89	114843,96	19281,51
2010	22039	Ayerbe	Liquidaciones	Consolidada	2463069,07	68937,49	1427262,38	0	87890,72	19220,38	859758,1
2010	22040	Azanuy-Alins	Liquidaciones	Consolidada	417842,76	24405,31	162465,05	0	57693,03	30269,11	143010,26
2010	22041	Azara	Liquidaciones	Consolidada	307037,04	4532,64	115184,24	2671,6	99143,42	7783,03	77722,11
2010	22042	Azlor	Liquidaciones	Consolidada	349668,21	11200,74	177607,74	7111,6	91871,62	0	61876,51
2010	22043	Baells	Liquidaciones	Consolidada	383404,53	576,11	233501,54	0	71137,99	30654,8	47534,09
2010	22044	Bailo	Liquidaciones	Consolidada	727944,19	42748,48	24762,29	36646,97	276349,64	131923,79	215513,02
2010	22045	Baldellou	Liquidaciones	Consolidada	218448,59	0	121442,58	0	21751,14	8722,78	66532,09
2010	22046	Ballobar	Liquidaciones	Consolidada	860160,76	25029,72	137884,75	157255,21	95051,99	28232,01	416707,08
2010	22047	Banastás	Liquidaciones	Consolidada	249028	4032,98	34546,11	463,94	138942,42	4661,19	66381,36
2010	22048	Barbastro	Liquidaciones	Consolidada	17285204,39	1415501,16	6452621,74	1794016,87	4358970,94	478835,85	2785257,83
2010	22049	Barbués	Liquidaciones	Consolidada	188145,1	216,3	40000,66	4781,64	2014,41	117201,02	23931,07
2010	22050	Barbuñales	Liquidaciones	Consolidada	111161,2	2415,33	64613,35	2828,28	7275,54	0	34028,7
2010	22051	Bárcabo	Liquidaciones	Consolidada	381789,21	6493,26	106274,71	3517,13	173561,88	21416,5	70525,73
2010	22052	Belver de Cinca	Liquidaciones	Consolidada	1250621,34	70339,16	181444,91	4484,02	489225,58	377484,18	127643,49
2010	22053	Benabarre	Liquidaciones	Consolidada	3075510,43	151169,99	1049733,11	1077249,57	496547,54	72924,85	227885,37
2010	22054	Benasque	Liquidaciones	Consolidada	5555985,67	370651,08	2730531,37	406159,19	1079230,21	206312,26	763101,56
2010	22055	Berbegal	Liquidaciones	Consolidada	633557,1	10179,71	228343,52	97298,83	200768,9	17658,97	79307,17
2010	22057	Bielsa	Liquidaciones	Consolidada	1423227,28	0	436314,02	15396,34	163790,28	18144,71	789581,93
2010	22058	Bierge	Liquidaciones	Consolidada	834139,91	0	0	16024,29	91924,93	527712,47	198478,22
2010	22059	Biescas	Liquidaciones	Consolidada	3637693,42	229707	871510,31	664981,26	331981,29	111794,61	1427718,95
2010	22060	Binaced	Liquidaciones	Consolidada	1679505,77	50955,65	871056,33	83890,86	157995,61	119754,93	395852,39
2010	22061	Binéfar	Liquidaciones	Consolidada	8508737,29	419432,01	3557959,26	83512,07	2275336,18	215202,93	1957294,84
2010	22062	Bisaurri	Liquidaciones	Consolidada	298196,05	0	30841,29	0	4818,03	115878,94	146657,79
2010	22063	Biscarrués	Liquidaciones	Consolidada	312433,9	8788,91	34414,03	8017,69	88917,59	56559,74	115735,94
2010	22064	Blecua y Torres	Liquidaciones	Consolidada	335853,01	28004,81	0	22155,85	32080,43	1652,23	251959,69
2010	22066	Boltaña	Liquidaciones	Consolidada	1956587,84	15749,42	1338,21	111167,43	1512894,56	116571,53	198866,69
2010	22067	Bonansa	Liquidaciones	Consolidada	247658,13	6567,58	91464,31	1922,15	75492,47	2717,76	69493,86
2010	22068	Borau	Liquidaciones	Consolidada	163799,07	0	28066,46	6774,94	53275,2	27179,06	48503,41
2010	22069	Broto	Liquidaciones	Consolidada	989407,58	34826,75	291363,78	36115,68	738,32	130850,22	495512,83
2010	22072	Caldearenas	Liquidaciones	Consolidada	512834,58	27582,99	171597,85	7840,75	38355,92	49776,83	217680,24
2010	22074	Campo	Liquidaciones	Consolidada	1022733,32	69984,15	158745,72	270071,99	139350,01	14063	370518,45
2010	22075	Camporrells	Liquidaciones	Consolidada	687931,58	0	493621,61	0	106733,26	10949,61	76627,1
2010	22076	Canal de Berdún	Liquidaciones	Consolidada	517538,85	6107,97	135706,94	4409,16	64043,63	124757,33	182513,82
2010	22077	Candasnos	Liquidaciones	Sin información							
2010	22078	Canfranc	Liquidaciones	Consolidada	1510629,89	33732,57	406746,91	4156,44	716716,09	52373,09	296904,79
2010	22079	Capdesaso	Liquidaciones	Consolidada	365066,49	29514,49	4349,08	0	304314,33	0	26888,59
2010	22080	Capella	Liquidaciones	Consolidada	435860,68	0	0	0	0	0	435860,68
2010	22081	Casbas de Huesca	Liquidaciones	Consolidada	578674,59	9119,28	76951,4	0	371527,71	0	121076,2
2010	22082	Castejón del Puente	Liquidaciones	Consolidada	503291,59	6811,53	0	0	290250,76	52255,64	153973,66
2010	22083	Castejón de Monegros	Liquidaciones	Consolidada	794867,76	36873,48	0	71316,35	28840,38	202922,3	454915,25
2010	22084	Castejón de Sos	Liquidaciones	Consolidada	1586988,09	55761,68	344969,85	584274,48	292698,59	0	309283,49
