Año	Código de la comarca	Comarca	Número total de explotaciones	Explotaciones cuyo titular es persona física	Explotaciones cuyo titular es una sociedad	Explotaciones cuyo titular es una entidad pública	Explotaciones cuyo titular es una cooperativa de producción	Explotaciones con otra condición jurídica	Explotaciones con experiencia práctica exclusiva del titular	Explotaciones con formación universitaria del titular	Explotaciones con formación profesional del titular	Explotaciones con otra formación agrícola del titular
1989	01	La Jacetania	1240	1172	4	45	2	17	1213	20	1	6
1989	02	Alto Gállego	787	697	7	28	0	55	765	12	10	0
1989	03	Sobrarbe	1544	1380	34	64	0	66	1498	18	21	7
1989	04	La Ribagorza	2406	2130	115	71	1	89	2326	24	30	26
1989	05	Cinco Villas	7501	7358	35	59	5	44	7156	64	81	200
1989	06	Hoya de Huesca / Plana de Uesca	3736	3537	65	76	2	56	3631	43	49	13
1989	07	Somontano de Barbastro	3147	3049	28	42	4	24	3039	28	36	44
1989	08	Cinca Medio	2368	2309	24	25	1	9	2295	16	30	27
1989	09	La Litera / La Llitera	2779	2705	39	23	1	11	2633	27	57	62
1989	10	Los Monegros	4155	4024	35	54	1	41	3985	38	91	41
1989	11	Bajo Cinca / Baix Cinca	2989	2934	18	22	1	14	2898	21	35	35
1989	12	Tarazona y el Moncayo	2232	2189	10	23	0	10	2185	16	5	26
1989	13	Campo de Borja	3135	3093	5	28	2	7	3100	15	13	7
1989	14	Aranda	1627	1598	3	25	0	1	1617	9	0	1
1989	15	Ribera Alta del Ebro	3615	3553	20	22	1	19	3557	16	15	27
1989	16	Valdejalón	5310	5232	28	29	1	20	5138	51	48	73
1989	17	Central	6215	6084	47	33	5	46	6068	45	45	57
1989	18	Ribera Baja del Ebro	1921	1874	19	17	0	11	1890	10	19	2
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2501	2460	21	14	3	3	2473	18	6	4
1989	20	Comunidad de Calatayud	8991	8777	44	142	1	27	8846	85	24	36
1989	21	Campo de Cariñena	3488	3437	18	23	1	9	3416	18	13	41
1989	22	Campo de Belchite	1569	1539	4	26	0	0	1410	19	4	136
1989	23	Bajo Martín	1412	1375	3	25	1	8	1371	22	14	5
1989	24	Campo de Daroca	1783	1706	2	64	2	9	1701	34	16	32
1989	25	Jiloca	3521	3351	25	125	1	19	3380	92	29	20
1989	26	Cuencas Mineras	1672	1563	10	88	0	11	1605	60	3	4
1989	27	Andorra-Sierra de Arcos	1707	1666	5	32	0	4	1683	19	1	4
1989	28	Bajo Aragón	3473	3382	14	53	2	22	3421	36	9	7
1989	29	Comunidad de Teruel	4694	4511	30	138	2	13	4518	107	18	51
1989	30	Maestrazgo	1465	1384	6	67	0	8	1411	51	3	0
1989	31	Sierra de Albarracín	1041	952	9	69	0	11	959	50	5	27
1989	32	Gúdar-Javalambre	3636	3451	17	96	3	69	3517	102	14	3
1989	33	Matarraña / Matarranya	3071	3000	5	61	0	5	2937	51	11	72
1999	01	La Jacetania	896	834	4	39	0	19	747	16	38	95
1999	02	Alto Gállego	537	473	4	28	0	32	469	11	26	31
1999	03	Sobrarbe	937	840	6	31	0	60	774	7	119	37
1999	04	La Ribagorza	2019	1691	57	95	2	174	1813	23	130	53
1999	05	Cinco Villas	4963	4393	82	51	18	419	4147	76	327	413
1999	06	Hoya de Huesca / Plana de Uesca	3557	3274	64	64	3	152	3230	68	158	101
1999	07	Somontano de Barbastro	2798	2641	28	54	2	73	2504	29	157	108
1999	08	Cinca Medio	2213	2010	85	17	0	101	1903	26	111	173
1999	09	La Litera / La Llitera	2755	2481	93	25	1	155	2519	25	100	111
1999	10	Los Monegros	4133	3769	90	29	8	237	3348	70	471	244
1999	11	Bajo Cinca / Baix Cinca	3134	2842	67	18	3	204	2743	31	196	164
1999	12	Tarazona y el Moncayo	1919	1861	16	17	0	25	1880	6	13	20
1999	13	Campo de Borja	3021	2905	21	20	3	72	2875	7	66	73
1999	14	Aranda	1367	1328	3	25	0	11	1327	3	3	34
1999	15	Ribera Alta del Ebro	2403	2250	36	15	1	101	2299	12	44	48
1999	16	Valdejalón	4415	4194	40	21	2	158	4111	47	107	150
1999	17	Central	4362	4033	88	26	5	210	3999	52	156	155
1999	18	Ribera Baja del Ebro	1532	1427	16	13	2	74	1315	10	61	146
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2289	2164	47	12	0	66	2157	13	56	63
1999	20	Comunidad de Calatayud	6309	6073	43	109	2	82	5953	29	48	279
1999	21	Campo de Cariñena	3097	2994	21	19	1	62	2908	17	49	123
1999	22	Campo de Belchite	1525	1462	11	20	2	30	1444	2	36	43
1999	23	Bajo Martín	1475	1388	30	14	1	42	1421	17	20	17
1999	24	Campo de Daroca	1914	1826	7	45	1	35	1812	9	55	38
1999	25	Jiloca	2853	2663	15	105	7	63	2616	80	95	62
1999	26	Cuencas Mineras	914	801	9	85	0	19	829	57	5	23
1999	27	Andorra-Sierra de Arcos	1334	1277	9	24	0	24	1311	17	2	4
1999	28	Bajo Aragón	3327	3148	31	34	3	111	3182	32	66	47
1999	29	Comunidad de Teruel	2901	2731	18	102	7	43	2667	63	60	111
1999	30	Maestrazgo	917	850	10	38	1	18	876	25	11	5
1999	31	Sierra de Albarracín	548	480	5	49	0	14	522	14	9	3
1999	32	Gúdar-Javalambre	1220	1138	12	49	3	18	1162	32	8	18
1999	33	Matarraña / Matarranya	2437	2303	27	29	3	75	2285	17	8	127
