Año	Código de la comarca	Comarca	Unidades ganaderas	Ganado bovino (cabezas)	Ganado bovino-vacas lecheras (cabezas)	Ganado bovino-resto bovino (cabezas)	Ganado ovino (cabezas)	Ganado caprino (cabezas)	Ganado porcino (cabezas)	Ganado porcino-cerdas madres (cabezas)	Ganado porcino-resto porcino (cabezas)	Ganado equino (cabezas)	Miles de aves	Conejas madres (cabezas)
1989	01	La Jacetania	14019	4951	327	4624	72166	3206	10706	1624	9082	133	18	1210
1989	02	Alto Gállego	5882	3373	82	3291	22983	596	2880	382	2498	8	34	914
1989	03	Sobrarbe	16254	8555	301	8254	50722	3769	19769	3723	16046	206	20	1837
1989	04	La Ribagorza	38332	9710	1259	8451	121289	3697	53506	8966	44540	187	767	4226
1989	05	Cinco Villas	60926	5875	2199	3676	190764	6727	147712	15030	132682	115	130	4754
1989	06	Hoya de Huesca / Plana de Uesca	45425	6220	614	5606	96721	3560	67477	9874	57603	103	1255	894
1989	07	Somontano de Barbastro	25542	6121	450	5671	47927	1068	55057	7062	47995	48	335	2737
1989	08	Cinca Medio	59102	18915	1696	17219	43452	557	94447	5511	88936	15	1437	3039
1989	09	La Litera / La Llitera	86731	34624	1998	32626	51464	1621	212954	15954	197000	79	381	3361
1989	10	Los Monegros	72832	13795	2301	11494	159217	4423	129167	8135	121032	6	1242	2041
1989	11	Bajo Cinca / Baix Cinca	76127	9885	755	9130	49850	1187	133080	6110	126970	11	1754	2532
1989	12	Tarazona y el Moncayo	11838	1066	65	1001	26005	1068	16898	3493	13405	121	359	822
1989	13	Campo de Borja	11851	2863	293	2570	43218	1361	20711	2768	17943	54	96	1177
1989	14	Aranda	3373	96	24	72	22669	958	2334	535	1799	177	55	588
1989	15	Ribera Alta del Ebro	22465	8585	1326	7259	45313	951	43483	3811	39672	23	171	386
1989	16	Valdejalón	20835	2613	390	2223	73035	756	29490	3438	26052	94	506	4338
1989	17	D.C. Zaragoza	48553	13048	3204	9844	121369	2363	65443	5246	60197	53	1137	2971
1989	18	Ribera Baja del Ebro	27701	6510	472	6038	51825	785	31380	1856	29524	8	611	512
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	26087	927	51	876	47140	3246	54385	6301	48084	43	522	5543
1989	20	Comunidad de Calatayud	20778	2466	302	2164	109353	2418	11814	1508	10306	857	488	5115
1989	21	Campo de Cariñena	10785	135	8	127	27531	1391	6716	1508	5208	39	714	2590
1989	22	Campo de Belchite	14354	1524	502	1022	57478	2717	18936	1293	17643	99	299	2562
1989	23	Bajo Martín	13022	2945	203	2742	43628	1005	24013	1567	22446	26	59	2322
1989	24	Campo de Daroca	17256	239	33	206	49521	1293	20633	2798	17835	78	592	1351
