Año	Código del municipio	Nombre del municipio	Unidades ganaderas	Ganado bovino (cabezas)	Ganado bovino-vacas lecheras (cabezas)	Ganado bovino-resto bovino (cabezas)	Ganado ovino (cabezas)	Ganado caprino (cabezas)	Ganado porcino (cabezas)	Ganado porcino-cerdas madres (cabezas)	Ganado porcino-resto porcino (cabezas)	Ganado equino (cabezas)	Miles de aves	Conejas madres (cabezas)
1989	22001	Abiego	1486	2	2	0	2507	81	4266	403	3863	1	1	38
1989	22002	Abizanda	249	12	6	6	1664	5	342	112	230	0	0	68
1989	22003	Adahuesca	346	4	4	0	1926	11	16	15	1	0	20	50
1989	22004	Agüero	186	7	0	7	1364	215	11	2	9	27	0	2
1989	22006	Aísa	337	167	0	167	1823	173	29	0	29	0	0	56
1989	22007	Albalate de Cinca	4983	3065	458	2607	5010	45	6214	121	6093	0	148	335
1989	22008	Albalatillo	405	220	0	220	0	0	707	0	707	0	15	0
1989	22009	Albelda	11310	1838	154	1684	7663	184	27896	1885	26011	1	67	418
1989	22011	Albero Alto	533	0	0	0	0	0	773	15	758	0	42	12
1989	22012	Albero Bajo	141	0	0	0	790	22	175	80	95	0	1	12
1989	22013	Alberuela de Tubo	1785	583	136	447	2459	13	3846	159	3687	0	8	25
1989	22014	Alcalá de Gurrea	328	0	0	0	2718	62	77	25	52	1	5	0
1989	22015	Alcalá del Obispo	1355	198	19	179	2985	2	3392	144	3248	0	49	0
1989	22016	Alcampell	5908	1828	25	1803	3240	38	16713	1580	15133	13	43	139
1989	22017	Alcolea de Cinca	11304	1200	113	1087	6431	30	15699	78	15621	4	321	455
1989	22018	Alcubierre	4051	237	21	216	2689	18	12370	286	12084	0	0	0
1989	22019	Alerre	48	0	0	0	484	0	0	0	0	0	0	0
1989	22020	Alfántega	449	10	7	3	260	0	1389	17	1372	0	0	2
1989	22021	Almudévar	1833	486	107	379	10304	266	333	103	230	0	57	24
1989	22022	Almunia de San Juan	1869	899	139	760	2782	2	2685	34	2651	0	52	0
1989	22023	Almuniente	2308	369	155	214	6154	10	4438	144	4294	0	15	0
1989	22024	Alquézar	309	6	4	2	1589	110	454	196	258	13	1	96
1989	22025	Altorricón	14747	5806	87	5719	4064	26	38175	2595	35580	2	109	70
