Año	Código del municipio	Nombre del municipio	Total máquinas	Tractores	Motocultores	Cosechadoras	Otras máquinas	Explotaciones que usan maquinaria propia	Explotaciones con máquina en propiedad: tractor	Explotaciones con máquina en propiedad: motocultor	Explotaciones con máquina en propiedad: cosechadora	Explotaciones con máquina en propiedad: otra máquina	Explotaciones que usan maquinaria no en propiedad exclusiva	Explotaciones que usan maquinaria no en propiedad exclusiva: tractor	Explotaciones que usan maquinaria no en propiedad exclusiva: motocultor	Explotaciones que usan maquinaria no en propiedad exclusiva: cosechadora	Explotaciones que usan maquinaria no en propiedad exclusiva otra máquina
1989	22001	Abiego	126	82	16	18	10	66	65	16	18	8	68	16	1	64	1
1989	22002	Abizanda	43	28	8	3	4	24	24	8	3	3	23	8	1	21	15
1989	22003	Adahuesca	75	49	12	13	1	41	41	12	13	1	47	17	0	44	0
1989	22004	Agüero	28	14	10	4	0	23	14	10	4	0	40	31	1	27	0
1989	22006	Aísa	23	9	9	0	5	15	9	9	0	5	39	29	13	17	26
1989	22007	Albalate de Cinca	266	180	59	4	23	171	150	59	4	21	236	130	11	189	119
1989	22008	Albalatillo	22	11	9	0	2	16	9	9	0	2	10	3	0	10	0
1989	22009	Albelda	420	287	82	7	44	238	221	81	7	28	221	46	2	194	104
1989	22011	Albero Alto	33	27	0	3	3	21	20	0	3	3	20	3	0	20	8
1989	22012	Albero Bajo	49	33	7	6	3	29	27	7	6	3	32	9	7	32	0
1989	22013	Alberuela de Tubo	133	71	13	12	37	61	60	13	12	31	56	8	0	55	29
1989	22014	Alcalá de Gurrea	75	53	8	11	3	31	28	8	10	3	30	8	1	28	1
1989	22015	Alcalá del Obispo	156	77	43	21	15	80	61	43	20	15	66	28	0	64	0
1989	22016	Alcampell	257	210	12	14	21	189	182	12	13	19	199	53	1	163	48
1989	22017	Alcolea de Cinca	215	126	72	3	14	150	107	72	3	11	214	113	13	186	66
1989	22018	Alcubierre	75	57	3	11	4	49	49	3	11	3	109	72	0	108	6
1989	22019	Alerre	14	9	3	2	0	12	9	3	2	0	13	7	0	13	0
1989	22020	Alfántega	28	17	8	0	3	20	17	8	0	3	25	13	0	24	3
1989	22021	Almudévar	572	299	155	62	56	275	221	153	58	53	487	295	25	395	27
