Año	Código de la comarca	Comarca	Superficie total de las explotaciones	Hectáreas en tierras labradas	Hectáreas en tierras para pastos permanentes	Hectáreas en especies arbóreas forestales	Hectáreas en otras tierras	Hectáreas en propiedad	Hectáreas en arrendamiento	Hectáreas en aparcería	Hectáreas en otros regímenes de tenencia de las tierras
1989	01	La Jacetania	189965	21936	30203	79386	58437	178539	7689	1478	2259
1989	02	Alto Gállego	128653	8004	35198	34438	51011	110262	8324	670	9397
1989	03	Sobrarbe	208015	10922	41130	84824	71149	196120	10127	43	1730
1989	04	La Ribagorza	224238	25486	64900	65354	68504	201449	21328	494	970
1989	05	Cinco Villas	286900	135594	47162	57674	46476	211015	27217	14803	33871
1989	06	Hoya de Huesca / Plana de Uesca	235281	118268	10416	26704	79898	195227	23593	9740	6733
1989	07	Somontano de Barbastro	101251	54806	4423	8725	33303	87288	8105	4279	1585
1989	08	Cinca Medio	48024	36372	2098	969	8587	34754	5528	3911	3831
1989	09	La Litera / La Llitera	63851	42643	1133	5313	14764	53229	4830	5126	669
1989	10	Los Monegros	248343	168442	10318	16546	53039	181927	40278	20047	6095
1989	11	Bajo Cinca / Baix Cinca	124203	62767	12728	18864	29845	105781	6848	9530	2045
1989	12	Tarazona y el Moncayo	39168	14277	4387	7142	13362	32795	5457	638	279
1989	13	Campo de Borja	66725	34295	13195	7002	12233	51839	6149	2528	6207
1989	14	Aranda	49266	8285	29379	5169	6433	43441	2286	260	3279
1989	15	Ribera Alta del Ebro	37069	26922	5704	776	3667	26250	6136	3634	1050
1989	16	Valdejalón	86974	51690	10747	3917	20620	70581	9480	4767	2147
1989	17	D.C. Zaragoza	169345	95366	12646	13578	47757	123090	30940	11058	4258
1989	18	Ribera Baja del Ebro	93755	53442	7708	3513	29094	64862	13574	9147	6174
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	114408	34059	17918	11899	50532	74220	3195	6652	30339
1989	20	Comunidad de Calatayud	243655	76264	60418	57268	49710	177111	28969	2783	34794
1989	21	Campo de Cariñena	77163	45344	4411	7526	19882	56952	3982	4410	11822
1989	22	Campo de Belchite	112031	67084	12912	6098	25936	77647	19174	9846	5364
1989	23	Bajo Martín	72671	47265	12690	6299	6416	37641	6125	19762	9140
1989	24	Campo de Daroca	105736	52101	15855	19983	17802	64902	18096	8480	14259
