Año	Código de la comarca	Comarca	Hectáreas en tierras labradas con cultivos herbáceos	Hectáreas en tierras labradas con cultivos frutales	Hectáreas en tierras labradas con cultivo olivar	Hectáreas en tierras labradas con cultivo viñedo	Hectáreas en tierras labradas con otros cultivos	Hectáreas en tierras labradas de secano	Hectáreas en tierras labradas de regadío	Hectáreas en tierras labradas de secano cultivos herbáceos	Hectáreas en tierras labradas de secano cultivos frutales	Hectáreas en tierras labradas de secano cultivo olivar	Hectáreas en tierras labradas de secano cultivo viñedo	Hectáreas en tierras labradas de secano otros cultivos	Hectáreas en tierras labradas de regadío cultivos herbáceos	Hectáreas en tierras labradas de regadío cultivos frutales	Hectáreas en tierras labradas de regadío cultivo olivar	Hectáreas en tierras labradas de regadío cultivo viñedo	Hectáreas en tierras labradas de regadío otros cultivos	Número total de parcelas
1989	01	La Jacetania	21864	52	0	15	6	21214	724	21152	49	0	15	0	715	4	0	0	6	16922
1989	02	Alto Gállego	8001	2	0	0	0	7595	408	7593	2	0	0	0	408	0	0	0	0	15641
1989	03	Sobrarbe	10393	278	213	41	0	10463	459	9940	272	213	41	0	454	6	0	0	0	17947
1989	04	La Ribagorza	23844	974	485	180	4	24843	641	23224	956	485	180	4	622	18	0	1	0	27222
1989	05	Cinco Villas	134008	1014	190	381	0	94670	40924	93200	923	187	364	0	40812	91	4	16	0	43510
1989	06	Hoya de Huesca / Plana de Uesca	112545	4221	808	693	7	103323	14941	97759	4074	806	691	0	14784	149	2	2	7	43331
1989	07	Somontano de Barbastro	44153	5122	3511	2016	0	43762	11045	33538	4987	3472	1763	0	10617	135	39	254	0	24710
1989	08	Cinca Medio	34010	2154	180	19	8	9583	26787	9148	268	163	6	0	24862	1889	17	14	8	10631
1989	09	La Litera / La Llitera	37308	3979	1302	52	2	19356	23287	16409	1619	1289	38	0	20898	2359	13	14	2	12479
1989	10	Los Monegros	166558	799	625	454	8	120704	47737	119248	465	557	441	2	47315	335	69	13	6	45659
1989	11	Bajo Cinca / Baix Cinca	50842	10605	1077	227	16	44531	18236	40933	2557	968	78	0	9908	8050	112	149	16	14076
1989	12	Tarazona y el Moncayo	12600	804	516	358	4	9695	4584	8862	461	152	218	0	3735	342	362	141	4	24244
1989	13	Campo de Borja	24011	2205	1156	6921	1	25593	8700	17592	2017	295	5688	1	6417	190	860	1232	0	40308
1989	14	Aranda	3369	3353	477	1068	17	7506	778	3071	2942	413	1068	13	301	409	63	2	4	12549
1989	15	Ribera Alta del Ebro	25879	866	90	86	7	11963	14962	11843	28	39	53	0	14039	837	51	33	6	23552
1989	16	Valdejalón	35094	9943	2217	4412	21	39260	12424	30046	3005	2007	4206	0	5046	6939	211	206	21	36320
1989	17	D.C. Zaragoza	93359	1298	215	484	15	65537	29829	64746	223	137	433	0	28612	1077	77	50	15	47031
1989	18	Ribera Baja del Ebro	52512	583	333	14	0	43795	9648	43743	37	3	12	0	8770	546	330	3	0	16585
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19401	8933	4289	1434	1	27868	6191	16032	6828	3808	1197	0	3369	2105	480	237	1	16154
1989	20	Comunidad de Calatayud	44406	20027	844	10903	83	66907	9359	41623	13659	727	10894	0	2789	6371	117	10	81	104317
1989	21	Campo de Cariñena	27073	2487	181	15433	173	41660	3685	24428	1596	181	15309	146	2642	892	0	125	27	29521
1989	22	Campo de Belchite	63810	1083	1037	1153	0	63729	3355	61706	855	22	1147	0	2105	230	1014	6	0	32841
1989	23	Bajo Martín	44906	808	1410	142	0	42916	4348	41126	441	1211	141	0	3781	365	201	0	0	17623
1989	24	Campo de Daroca	47899	2087	2	2113	1	51283	818	47162	2011	2	2112	1	741	77	0	1	0	38367
1989	25	Jiloca	87310	839	1	1816	0	85031	4934	82396	821	0	1816	0	4916	18	1	0	0	84356
1989	26	Cuencas Mineras	26564	239	47	835	0	27001	683	25889	233	47	835	0	679	6	0	0	0	44267
1989	27	Andorra-Sierra de Arcos	12741	514	1611	284	0	14751	397	12448	434	1587	284	0	293	80	24	0	0	27985
1989	28	Bajo Aragón	33075	8752	8828	486	1	45215	5928	29585	6684	8455	486	1	3490	2064	377	0	0	44774
1989	29	Comunidad de Teruel	97545	945	13	95	1	92550	6053	91622	835	0	93	1	5923	111	13	2	0	98820
1989	30	Maestrazgo	8795	571	372	36	1	9115	659	8431	381	266	35	1	364	190	106	0	0	13431
1989	31	Sierra de Albarracín	17051	13	0	0	0	16584	486	16570	13	0	0	0	486	0	0	0	0	27776
1989	32	Gúdar-Javalambre	20258	715	5	5	1	20047	939	19348	691	5	4	0	914	26	0	1	1	38726
1989	33	Matarraña / Matarranya	5148	10794	8613	1697	3	25343	914	4718	10344	8594	1684	2	429	454	19	10	1	24285
