Año	Código del municipio	Nombre del municipio	Unidades de trabajo que son jefes de explotación	Unidades de trabajo que son asalariados	Unidades de trabajo que son asalariados fijos	Unidades de trabajo que son asalariados eventuales	Unidades de trabajo que son mano de obra familiar	Unidades de trabajo que siendo mano de obra familiar son titulares explotación	Unidades de trabajo que siendo mano de obra familiar son cónyuges	Unidades de trabajo que siendo mano de obra familiar son otros diferentes
1989	22001	Abiego	51	0	0	0	64	51	8	5
1989	22002	Abizanda	17	1	1	0	23	17	0	6
1989	22003	Adahuesca	24	0	0	0	25	24	0	1
1989	22004	Agüero	10	0	0	0	12	9	0	2
1989	22006	Aísa	24	0	0	0	29	24	3	1
1989	22007	Albalate de Cinca	146	69	45	23	196	143	16	37
1989	22008	Albalatillo	8	0	0	0	8	8	0	0
1989	22009	Albelda	205	46	21	25	316	203	46	67
1989	22011	Albero Alto	9	3	3	0	12	9	0	3
1989	22012	Albero Bajo	16	2	2	0	16	13	1	2
1989	22013	Alberuela de Tubo	37	3	3	0	51	36	4	10
1989	22014	Alcalá de Gurrea	21	15	14	1	24	18	0	6
1989	22015	Alcalá del Obispo	39	3	2	0	42	38	0	3
1989	22016	Alcampell	135	17	15	2	176	133	20	24
1989	22017	Alcolea de Cinca	127	21	12	9	152	125	6	21
1989	22018	Alcubierre	56	5	5	0	67	56	1	10
1989	22019	Alerre	5	0	0	0	5	5	0	0
1989	22020	Alfántega	16	0	0	0	19	15	2	2
1989	22021	Almudévar	174	47	42	5	195	166	4	25
1989	22022	Almunia de San Juan	40	18	16	2	47	38	2	7
1989	22023	Almuniente	62	18	16	2	70	60	1	9
1989	22024	Alquézar	41	3	0	3	48	41	2	5
1989	22025	Altorricón	173	48	30	18	267	168	38	60
1989	22027	Angüés	31	6	5	0	36	28	0	8
1989	22028	Ansó	23	0	0	0	28	23	0	4
1989	22029	Antillón	17	5	5	0	18	17	0	1
1989	22032	Aragüés del Puerto	15	0	0	0	26	15	2	8
1989	22035	Arén	52	9	8	1	68	50	4	14
1989	22036	Argavieso	16	0	0	0	18	16	0	2
1989	22037	Arguis	5	0	0	0	5	5	0	0
1989	22039	Ayerbe	63	21	10	11	69	58	0	11
1989	22040	Azanuy-Alins	41	4	2	2	42	41	0	1
1989	22041	Azara	21	0	0	0	27	21	5	1
1989	22042	Azlor	22	0	0	0	27	22	2	2
1989	22043	Baells	36	0	0	0	37	36	1	0
1989	22044	Bailo	45	7	7	0	53	43	3	6
1989	22045	Baldellou	16	0	0	0	23	16	0	7
1989	22046	Ballobar	115	3	2	2	156	115	9	31
1989	22047	Banastás	2	3	3	0	2	2	0	0
1989	22048	Barbastro	179	60	16	44	206	175	11	21
1989	22049	Barbués	24	2	2	0	26	24	1	1
1989	22050	Barbuñales	6	2	2	0	6	6	0	0
1989	22051	Bárcabo	18	1	0	1	23	18	2	3
1989	22052	Belver de Cinca	132	98	74	24	168	128	4	35
1989	22053	Benabarre	93	16	10	6	115	82	12	21
1989	22054	Benasque	23	3	2	1	29	23	3	4
1989	22055	Berbegal	50	9	6	3	57	49	3	5
1989	22057	Bielsa	25	0	0	0	35	25	3	7
1989	22058	Bierge	34	1	1	0	41	34	4	2
1989	22059	Biescas	56	1	1	0	80	54	11	14
1989	22060	Binaced	149	54	31	22	226	143	20	63
1989	22061	Binéfar	94	16	14	2	109	90	10	9
1989	22062	Bisaurri	41	4	4	0	58	40	10	8
1989	22063	Biscarrués	33	2	2	0	37	33	0	4
1989	22064	Blecua y Torres	27	7	6	1	30	26	0	4
1989	22066	Boltaña	23	2	2	0	29	23	1	4
1989	22067	Bonansa	14	1	0	1	23	14	4	5
1989	22068	Borau	10	0	0	0	11	10	0	0
1989	22069	Broto	52	3	1	2	69	49	8	13
1989	22072	Caldearenas	27	3	1	1	30	26	0	4
1989	22074	Campo	15	4	2	2	15	13	1	2
1989	22075	Camporrells	40	1	0	1	51	38	4	9
1989	22076	Canal de Berdún	68	4	4	1	89	67	9	13
1989	22077	Candasnos	47	12	11	0	60	46	0	14
1989	22078	Canfranc	2	0	0	0	4	2	2	0
1989	22079	Capdesaso	26	5	3	2	31	26	2	4
1989	22080	Capella	49	4	4	0	59	49	5	5
1989	22081	Casbas de Huesca	64	2	2	0	77	64	4	9
1989	22082	Castejón del Puente	38	1	1	0	39	38	0	1
1989	22083	Castejón de Monegros	63	16	12	4	80	61	0	19
1989	22084	Castejón de Sos	21	1	1	0	26	21	4	1
1989	22085	Castelflorite	38	4	4	0	43	37	2	4
1989	22086	Castiello de Jaca	16	0	0	0	33	16	16	1
1989	22087	Castigaleu	16	2	1	1	17	14	1	2
1989	22088	Castillazuelo	28	0	0	0	30	28	0	2
1989	22089	Castillonroy	66	3	0	3	91	65	9	17
1989	22090	Colungo	23	0	0	0	25	22	2	2
1989	22094	Chalamera	29	0	0	0	43	28	3	12
1989	22095	Chía	19	0	0	0	25	19	3	3
1989	22096	Chimillas	8	1	1	0	8	8	0	0
1989	22099	Esplús	64	115	89	26	68	56	3	9
1989	22102	Estada	26	8	4	4	28	26	0	2
1989	22103	Estadilla	74	12	9	3	93	72	5	15
1989	22105	Estopiñán del Castillo	52	9	7	2	59	52	1	6
1989	22106	Fago	4	0	0	0	6	4	2	0
1989	22107	Fanlo	6	0	0	0	10	6	0	3
1989	22109	Fiscal	34	5	0	5	36	34	1	1
1989	22110	Fonz	124	17	12	5	140	122	2	15
1989	22111	Foradada del Toscar	31	4	3	1	45	30	4	12
1989	22112	Fraga	736	142	78	64	1076	722	134	221
1989	22113	Fueva (La)	89	7	6	1	116	86	15	15
1989	22114	Gistaín	31	1	1	0	50	31	11	8
1989	22115	Grado (El)	55	4	3	0	66	55	5	6
1989	22116	Grañén	161	71	65	6	192	155	10	27
1989	22117	Graus	154	11	7	4	194	151	16	26
1989	22119	Gurrea de Gállego	201	31	21	10	222	192	2	27
1989	22122	Hoz de Jaca	6	0	0	0	9	6	1	1
1989	22124	Huerto	38	10	8	2	46	35	3	7
1989	22125	Huesca	120	142	140	2	150	113	0	36
1989	22126	Ibieca	8	7	7	0	7	5	0	2
1989	22127	Igriés	17	4	3	1	21	15	0	6
1989	22128	Ilche	45	11	6	4	52	45	1	6
1989	22129	Isábena	21	2	2	0	32	21	4	7
1989	22130	Jaca	166	11	9	2	212	165	14	33
1989	22131	Jasa	8	0	0	0	13	8	2	3
1989	22133	Labuerda	12	1	0	1	13	12	0	1
1989	22135	Laluenga	41	4	2	2	49	41	0	8
1989	22136	Lalueza	172	29	28	1	192	160	8	24
1989	22137	Lanaja	144	34	28	6	153	140	2	11
1989	22139	Laperdiguera	13	0	0	0	15	13	0	2
1989	22141	Lascellas-Ponzano	16	2	1	1	19	16	1	2
1989	22142	Lascuarre	20	5	5	0	26	19	2	5
1989	22143	Laspaúles	48	1	0	1	68	47	10	11
1989	22144	Laspuña	15	0	0	0	23	15	5	3
1989	22149	Loarre	53	5	5	0	51	51	0	0
1989	22150	Loporzano	51	22	15	7	56	48	1	7
1989	22151	Loscorrales	24	9	8	1	24	24	0	0
1989	22155	Monesma y Cajigar	15	4	3	1	30	15	5	10
1989	22156	Monflorite-Lascasas	19	8	7	1	21	14	1	7
1989	22157	Montanuy	65	2	0	2	103	65	9	28
1989	22158	Monzón	318	72	64	8	354	303	8	43
1989	22160	Naval	25	0	0	0	30	25	1	4
1989	22162	Novales	16	3	3	0	18	16	0	2
1989	22163	Nueno	24	14	13	1	30	22	0	8
1989	22164	Olvena	10	1	1	0	12	10	2	1
