Año	Código de la comarca	Comarca	Personas que son mano de obra familiar	Personas que son mano de obra familiar y titulares explotación	Personas que son mano de obra familiar y cónyuges	Personas que son mano de obra familiar distinta a las anteriores (otros)	Personas mano obra familiar son titulares <35 años	Personas mano obra familiar son titulares de 35 a 54 años	Personas mano obra familiar son titulares de 55 a 64 años	Personas mano obra familiar son titulares de más de 65 años	Personas mano obra familiar cónyuge <35 años	Personas mano obra familiar cónyuge de 35 a 54 años	Personas mano obra familiar cónyuge de 55 a 64 años	Personas mano obra familiar cónyuge de más de 65 años	Personas mano obra familiar otros (otra relación) con <35 años	Personas mano obra familiar otros de 35 a 54 años	Personas mano obra familiar otros de 55 a 64 años	Personas mano obra familiar otros de más de 65 años
1989	01	La Jacetania	1598	1172	176	250	97	368	387	320	12	82	63	19	107	70	40	33
1989	02	Alto Gállego	1054	697	154	203	46	187	223	241	9	54	57	34	90	68	23	22
1989	03	Sobrarbe	1871	1380	252	239	130	414	440	396	34	125	68	25	99	68	36	36
1989	04	La Ribagorza	3086	2130	492	464	197	686	606	641	53	280	122	37	230	98	69	67
1989	05	Cinco Villas	10043	7358	442	2243	509	2274	2100	2475	38	253	116	35	1120	782	268	73
1989	06	Hoya de Huesca / Plana de Uesca	4239	3537	138	564	298	1258	1084	897	12	76	41	9	278	173	69	44
1989	07	Somontano de Barbastro	3947	3049	372	526	257	975	910	907	36	209	92	35	294	130	38	64
1989	08	Cinca Medio	3244	2309	360	575	239	860	682	528	38	201	98	23	330	101	65	79
1989	09	La Litera / La Llitera	4563	2705	816	1042	253	1068	816	568	93	448	221	54	565	189	124	164
1989	10	Los Monegros	5104	4024	311	769	538	1578	1190	718	41	198	65	7	468	204	71	26
1989	11	Bajo Cinca / Baix Cinca	5211	2934	1063	1214	383	1241	825	485	141	637	223	62	768	208	131	107
1989	12	Tarazona y el Moncayo	2900	2189	270	441	99	738	671	681	11	129	111	19	245	134	44	18
1989	13	Campo de Borja	4475	3093	499	883	246	1199	932	716	41	287	139	32	577	211	61	34
1989	14	Aranda	2507	1598	359	550	69	578	504	447	23	185	110	41	362	132	34	22
1989	15	Ribera Alta del Ebro	4407	3553	318	536	285	1351	1133	784	24	182	95	17	371	123	23	19
1989	16	Valdejalón	7949	5232	834	1883	423	1998	1550	1261	70	492	209	63	1095	559	157	72
1989	17	Central	7566	6084	409	1073	390	2275	2047	1372	19	232	126	32	534	367	124	48
1989	18	Ribera Baja del Ebro	2386	1874	258	254	150	671	601	452	14	121	93	30	176	52	15	11
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3707	2460	670	577	172	937	742	609	78	349	185	58	375	103	48	51
1989	20	Comunidad de Calatayud	12632	8777	1579	2276	560	2890	2788	2539	109	808	521	141	1241	673	263	99
1989	21	Campo de Cariñena	5227	3437	519	1271	208	1205	1071	953	37	289	154	39	780	353	96	42
1989	22	Campo de Belchite	1898	1539	192	167	107	534	527	371	9	96	73	14	107	44	10	6
1989	23	Bajo Martín	1773	1375	268	130	107	451	502	315	11	152	86	19	92	27	5	6
1989	24	Campo de Daroca	2274	1706	306	262	107	578	566	455	8	141	106	51	150	84	16	12
1989	25	Jiloca	4964	3351	1026	587	209	1110	1225	807	65	498	378	85	309	163	89	26
1989	26	Cuencas Mineras	1982	1563	224	195	86	393	516	568	15	117	80	12	109	50	25	11
1989	27	Andorra-Sierra de Arcos	2355	1666	392	297	78	447	504	637	30	187	136	39	176	72	32	17
1989	28	Bajo Aragón	5353	3382	1181	790	260	1124	1129	869	111	555	408	107	449	179	98	64
1989	29	Comunidad de Teruel	6583	4511	1252	820	276	1507	1491	1237	85	651	413	103	516	210	71	23
1989	30	Maestrazgo	2006	1384	357	265	93	422	402	467	37	166	115	39	143	73	37	12
1989	31	Sierra de Albarracín	1250	952	166	132	89	298	321	244	13	67	63	23	83	27	18	4
1989	32	Gúdar-Javalambre	4171	3451	480	240	128	932	950	1441	26	217	178	59	148	64	23	5
1989	33	Matarraña / Matarranya	4662	3000	965	697	222	1039	933	806	103	486	302	74	388	167	71	71
1999	01	La Jacetania	1266	834	117	315	87	300	190	257	13	64	21	19	102	75	44	94
1999	02	Alto Gállego	657	473	46	138	46	158	96	173	3	23	7	13	56	36	14	32
1999	03	Sobrarbe	1235	840	165	230	82	366	172	220	19	97	31	18	75	59	39	57
1999	04	La Ribagorza	2397	1691	356	350	154	623	368	546	29	200	75	52	118	79	54	99
1999	05	Cinco Villas	5739	4393	385	961	486	1723	939	1245	26	259	67	33	417	337	110	97
1999	06	Hoya de Huesca / Plana de Uesca	4309	3274	331	704	302	1113	739	1120	12	174	82	63	259	244	70	131
1999	07	Somontano de Barbastro	3723	2641	522	560	247	912	540	942	34	233	122	133	181	212	55	112
1999	08	Cinca Medio	2736	2010	325	401	257	786	490	477	22	177	84	42	169	117	50	65
