Año	Código del municipio	Nombre del municipio	Personas que son mano de obra familiar	Personas que son mano de obra familiar y titulares explotación	Personas que son mano de obra familiar y cónyuges	Personas que son mano de obra familiar distinta a las anteriores (otros)	Personas mano obra familiar son titulares <35 años	Personas mano obra familiar son titulares de 35 a 54 años	Personas mano obra familiar son titulares de 55 a 64 años	Personas mano obra familiar son titulares de más de 65 años	Personas mano obra familiar cónyuge <35 años	Personas mano obra familiar cónyuge de 35 a 54 años	Personas mano obra familiar cónyuge de 55 a 64 años	Personas mano obra familiar cónyuge de más de 65 años	Personas mano obra familiar otros (otra relación) con <35 años	Personas mano obra familiar otros de 35 a 54 años	Personas mano obra familiar otros de 55 a 64 años	Personas mano obra familiar otros de más de 65 años
1989	22001	Abiego	124	83	32	9	14	35	23	11	5	18	8	1	4	3	1	1
1989	22002	Abizanda	53	39	1	13	2	19	10	8	0	1	0	0	6	3	2	2
1989	22003	Adahuesca	69	66	1	2	6	22	19	19	0	0	1	0	1	1	0	0
1989	22004	Agüero	62	59	0	3	2	9	18	30	0	0	0	0	2	1	0	0
1989	22006	Aísa	63	45	14	4	2	16	14	13	1	4	5	4	2	2	0	0
1989	22007	Albalate de Cinca	448	288	62	98	34	111	76	67	8	34	16	4	59	11	15	13
1989	22008	Albalatillo	24	23	1	0	2	9	2	10	0	1	0	0	0	0	0	0
1989	22009	Albelda	595	280	134	181	31	129	86	34	27	71	30	6	103	21	27	30
1989	22011	Albero Alto	29	23	0	6	0	9	11	3	0	0	0	0	3	3	0	0
1989	22012	Albero Bajo	53	36	6	11	5	16	11	4	0	4	2	0	8	2	0	1
1989	22013	Alberuela de Tubo	102	72	12	18	12	30	14	16	2	8	2	0	14	2	1	1
1989	22014	Alcalá de Gurrea	39	31	0	8	6	15	4	6	0	0	0	0	5	2	1	0
1989	22015	Alcalá del Obispo	108	99	1	8	8	36	22	33	0	1	0	0	2	4	1	1
1989	22016	Alcampell	426	238	109	79	24	84	77	53	5	62	32	10	39	10	14	16
1989	22017	Alcolea de Cinca	373	290	20	63	23	103	102	62	0	14	6	0	34	15	7	7
1989	22018	Alcubierre	148	123	7	18	7	41	40	35	0	4	3	0	10	5	3	0
1989	22019	Alerre	17	17	0	0	2	6	7	2	0	0	0	0	0	0	0	0
1989	22020	Alfántega	44	29	9	6	8	12	4	5	2	6	1	0	2	2	0	2
1989	22021	Almudévar	622	525	22	75	51	210	170	94	4	13	3	2	38	22	7	8
1989	22022	Almunia de San Juan	124	104	8	12	7	38	28	31	0	3	4	1	7	2	3	0
1989	22023	Almuniente	149	125	7	17	23	66	21	15	1	6	0	0	13	3	0	1
1989	22024	Alquézar	112	96	4	12	3	26	35	32	2	1	1	0	10	2	0	0
1989	22025	Altorricón	531	292	117	122	23	120	86	63	14	65	33	5	86	23	8	5
1989	22027	Angüés	127	107	1	19	4	27	34	42	0	0	0	1	6	11	1	1
1989	22028	Ansó	33	25	1	7	0	13	10	2	0	1	0	0	1	3	3	0
1989	22029	Antillón	48	38	6	4	5	18	9	6	1	2	2	1	0	2	2	0
1989	22032	Aragüés del Puerto	38	23	4	11	1	5	13	4	1	2	1	0	4	1	4	2
1989	22035	Arén	108	77	11	20	8	21	34	14	1	7	2	1	8	6	4	2
1989	22036	Argavieso	45	40	1	4	2	17	12	9	0	0	1	0	3	0	0	1
1989	22037	Arguis	16	15	1	0	0	5	6	4	0	1	0	0	0	0	0	0
1989	22039	Ayerbe	245	215	0	30	7	61	69	78	0	0	0	0	12	10	6	2
1989	22040	Azanuy-Alins	100	96	1	3	5	33	31	27	0	0	1	0	2	0	0	1
1989	22041	Azara	85	59	25	1	9	21	12	17	4	11	10	0	1	0	0	0
1989	22042	Azlor	73	56	10	7	10	17	15	14	1	6	3	0	5	1	1	0
1989	22043	Baells	59	53	4	2	4	31	9	9	0	4	0	0	1	1	0	0
1989	22044	Bailo	107	90	8	9	10	30	26	24	1	5	2	0	3	3	1	2
1989	22045	Baldellou	84	71	1	12	2	19	22	28	0	1	0	0	6	5	1	0
1989	22046	Ballobar	336	176	53	107	25	75	56	20	13	30	10	0	53	12	18	24
1989	22047	Banastás	6	6	0	0	0	3	2	1	0	0	0	0	0	0	0	0
1989	22048	Barbastro	819	652	65	102	47	219	208	178	4	35	19	7	44	31	11	16
1989	22049	Barbués	53	45	3	5	15	14	12	4	1	2	0	0	1	3	1	0
1989	22050	Barbuñales	35	31	1	3	1	11	12	7	0	1	0	0	2	1	0	0
1989	22051	Bárcabo	58	39	7	12	6	12	16	5	1	3	3	0	7	3	1	1
1989	22052	Belver de Cinca	399	254	34	111	45	94	72	43	3	27	4	0	61	28	17	5
1989	22053	Benabarre	298	205	50	43	19	78	50	58	6	32	9	3	23	14	4	2
1989	22054	Benasque	70	57	8	5	3	14	16	24	1	5	2	0	1	1	2	1
1989	22055	Berbegal	119	88	22	9	11	40	27	10	0	15	6	1	7	0	0	2
1989	22057	Bielsa	116	89	16	11	7	26	29	27	1	8	4	3	2	1	8	0
1989	22058	Bierge	193	171	16	6	13	37	48	73	3	8	4	1	4	1	1	0
1989	22059	Biescas	344	177	98	69	7	36	70	64	4	34	34	26	35	21	7	6
1989	22060	Binaced	529	230	109	190	20	103	69	38	18	62	26	3	102	26	18	44
1989	22061	Binéfar	244	174	40	30	11	72	66	25	1	21	15	3	20	7	2	1
1989	22062	Bisaurri	86	54	21	11	5	17	17	15	2	13	6	0	6	4	0	1
1989	22063	Biscarrués	74	70	0	4	5	23	22	20	0	0	0	0	4	0	0	0
1989	22064	Blecua y Torres	64	55	0	9	8	22	12	13	0	0	0	0	5	3	0	1
1989	22066	Boltaña	97	82	3	12	5	18	22	37	0	1	1	1	7	3	1	1
1989	22067	Bonansa	30	15	8	7	4	5	5	1	2	5	1	0	2	1	1	3
1989	22068	Borau	31	28	2	1	4	8	7	9	0	1	1	0	0	1	0	0
1989	22069	Broto	191	141	22	28	12	36	74	19	7	7	6	2	13	8	3	4
1989	22072	Caldearenas	78	57	2	19	8	23	15	11	1	0	1	0	7	4	2	6
1989	22074	Campo	40	35	3	2	3	9	9	14	0	3	0	0	2	0	0	0
1989	22075	Camporrells	156	123	9	24	7	29	35	52	1	6	1	1	8	12	3	1
1989	22076	Canal de Berdún	147	115	13	19	14	31	45	25	1	5	7	0	8	2	1	8
1989	22077	Candasnos	110	91	0	19	10	51	20	10	0	0	0	0	16	2	1	0
1989	22078	Canfranc	5	3	2	0	0	1	1	1	0	1	0	1	0	0	0	0
1989	22079	Capdesaso	56	44	5	7	4	16	16	8	2	2	1	0	5	2	0	0
1989	22080	Capella	175	144	19	12	10	45	40	49	1	10	5	3	5	5	2	0
1989	22081	Casbas de Huesca	185	141	27	17	13	59	32	37	3	14	9	1	12	4	1	0
1989	22082	Castejón del Puente	86	79	3	4	14	29	20	16	0	3	0	0	0	1	0	3
1989	22083	Castejón de Monegros	199	167	3	29	17	57	42	51	0	2	1	0	16	9	3	1
1989	22084	Castejón de Sos	70	59	8	3	2	19	11	27	0	4	4	0	2	1	0	0
1989	22085	Castelflorite	64	52	5	7	8	27	11	6	0	4	0	1	3	2	2	0
1989	22086	Castiello de Jaca	42	21	17	4	3	4	6	8	1	5	5	6	2	1	1	0
1989	22087	Castigaleu	33	23	6	4	3	11	7	2	0	5	1	0	4	0	0	0
1989	22088	Castillazuelo	96	89	0	7	4	18	18	49	0	0	0	0	3	3	0	1
1989	22089	Castillonroy	212	97	51	64	17	42	22	16	12	24	10	5	32	13	9	10
1989	22090	Colungo	94	65	12	17	1	16	18	30	0	8	3	1	11	6	0	0
1989	22094	Chalamera	72	37	8	27	7	13	13	4	0	3	5	0	16	7	3	1
1989	22095	Chía	37	24	7	6	3	6	10	5	0	6	1	0	3	1	1	1
1989	22096	Chimillas	19	19	0	0	0	9	8	2	0	0	0	0	0	0	0	0
1989	22099	Esplús	197	159	12	26	18	57	52	32	1	5	4	2	16	5	1	4
1989	22102	Estada	67	63	0	4	4	19	13	27	0	0	0	0	4	0	0	0
