Año	Código de la comarca	Comarca	Personas que son mano de obra familiar	Personas mano obra familiar sólo trabajan en la explotación	Personas mano obra familiar trabajan también en otra activ. lucrativa	Personas mano obra familiar trabajan en otra actividad como principal	Personas mano obra familiar trabajan en otra actividad como secundaria	Personas mano obra familiar titulares que sólo trabajan en la explotación	Personas mano obra familiar titulares que trabajan también en otra activ. lucrativa	Personas mano obra familiar titulares que trabajan en otra actividad como principal	Personas mano obra familiar titulares que trabajan en otra actividad como secundaria	Personas mano obra familiar cónyuges que sólo trabajan en la explotación	Personas mano obra familiar cónyuges que trabajan también en otra activ. Lucrativa	Personas mano obra familiar cónyuges que trabajan en otra actividad como principal	Personas mano obra familiar cónyuges que trabajan en otra actividad como secundaria	Personas mano obra familiar otros, que sólo trabajan en la explotación	Personas mano obra familiar otros, que  trabajan también en otra activ. lucrativa	Personas mano obra familiar otros,  trabajan en otra actividad como principal	Personas mano obra familiar otros, que trabajan en otra actividad como secundaria	Personas mano obra familiar con <25% trabajando en explotación	Personas mano obra familiar con >24,99 y <50% trabajando en explotación	Personas mano obra familiar con >49,99 y <75% trabajando en explotación	Personas mano obra familiar con >74,99 y <100% trabajando en explotación	Personas mano obra familiar con 100% trabajando en explotación
1989	01	La Jacetania	1598	1170	428	379	49	854	318	284	34	167	9	8	1	149	101	87	14	717	187	132	89	473
1989	02	Alto Gállego	1054	674	380	341	39	470	227	206	21	131	23	19	4	73	130	116	14	698	135	72	69	80
1989	03	Sobrarbe	1871	1361	510	426	84	955	425	360	65	243	9	6	3	163	76	60	16	943	278	146	140	364
1989	04	La Ribagorza	3086	2440	646	540	106	1632	498	420	78	460	32	27	5	348	116	93	23	1530	470	176	115	795
1989	05	Cinco Villas	10043	6627	3416	2910	506	5243	2115	1853	262	373	69	59	10	1011	1232	998	234	7255	817	737	466	768
1989	06	Hoya de Huesca / Plana de Uesca	4239	2927	1312	1240	72	2461	1076	1017	59	121	17	17	0	345	219	206	13	2487	399	302	315	736
1989	07	Somontano de Barbastro	3947	2725	1222	1150	72	2120	929	868	61	352	20	19	1	253	273	263	10	2302	578	290	267	510
1989	08	Cinca Medio	3244	2204	1040	850	190	1515	794	645	149	322	38	28	10	367	208	177	31	1724	377	133	123	887
1989	09	La Litera / La Llitera	4563	3335	1228	1029	199	1908	797	661	136	729	87	75	12	698	344	293	51	2263	592	325	304	1079
1989	10	Los Monegros	5104	3557	1547	1325	222	2799	1225	1040	185	287	24	23	1	471	298	262	36	2487	551	346	451	1269
1989	11	Bajo Cinca / Baix Cinca	5211	3654	1557	1323	234	1890	1044	884	160	960	103	92	11	804	410	347	63	2551	620	225	172	1643
1989	12	Tarazona y el Moncayo	2900	1857	1043	913	130	1451	738	643	95	241	29	24	5	165	276	246	30	1941	410	173	107	269
1989	13	Campo de Borja	4475	2711	1764	1438	326	1865	1228	993	235	438	61	33	28	408	475	412	63	2927	482	258	382	426
1989	14	Aranda	2507	1320	1187	1147	40	884	714	678	36	297	62	62	0	139	411	407	4	1980	236	63	40	188
1989	15	Ribera Alta del Ebro	4407	2609	1798	1708	90	2096	1457	1393	64	276	42	39	3	237	299	276	23	3200	430	266	144	367
1989	16	Valdejalón	7949	4279	3670	3265	405	2959	2273	1978	295	638	196	180	16	682	1201	1107	94	5964	660	393	320	612
1989	17	Central	7566	4455	3111	2926	185	3622	2462	2305	157	338	71	69	2	495	578	552	26	4757	823	303	354	1329
1989	18	Ribera Baja del Ebro	2386	1470	916	852	64	1105	769	710	59	229	29	28	1	136	118	114	4	1552	262	78	28	466
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3707	2607	1100	984	116	1635	825	749	76	612	58	49	9	360	217	186	31	2006	564	261	112	764
1989	20	Comunidad de Calatayud	12632	8492	4140	3623	517	6078	2699	2303	396	1370	209	192	17	1044	1232	1128	104	8183	1618	987	636	1208
1989	21	Campo de Cariñena	5227	2690	2537	2220	317	1782	1655	1428	227	429	90	77	13	479	792	715	77	3999	540	205	150	333
1989	22	Campo de Belchite	1898	1029	869	603	266	809	730	486	244	158	34	26	8	62	105	91	14	1065	262	120	95	356
1989	23	Bajo Martín	1773	1089	684	543	141	793	582	456	126	235	33	32	1	61	69	55	14	803	306	171	90	403
1989	24	Campo de Daroca	2274	1622	652	564	88	1167	539	480	59	282	24	22	2	173	89	62	27	1055	364	262	169	424
1989	25	Jiloca	4964	4046	918	806	112	2686	665	572	93	996	30	25	5	364	223	209	14	2808	518	448	241	949
1989	26	Cuencas Mineras	1982	1351	631	603	28	1031	532	507	25	219	5	4	1	101	94	92	2	1337	166	118	41	320
1989	27	Andorra-Sierra de Arcos	2355	1739	616	602	14	1230	436	426	10	366	26	25	1	143	154	151	3	1838	230	88	46	153
1989	28	Bajo Aragón	5353	3675	1678	1509	169	2155	1227	1097	130	1072	109	102	7	448	342	310	32	3179	611	281	216	1066
1989	29	Comunidad de Teruel	6583	5047	1536	1372	164	3356	1155	1036	119	1175	77	73	4	516	304	263	41	3986	608	556	382	1051
1989	30	Maestrazgo	2006	1511	495	440	55	978	406	366	40	329	28	28	0	204	61	46	15	1110	180	152	117	447
1989	31	Sierra de Albarracín	1250	928	322	242	80	688	264	199	65	153	13	11	2	87	45	32	13	599	196	62	56	337
1989	32	Gúdar-Javalambre	4171	3000	1171	1004	167	2424	1027	898	129	432	48	34	14	144	96	72	24	3089	218	127	162	575
1989	33	Matarraña / Matarranya	4662	3529	1133	956	177	2212	788	651	137	874	91	78	13	443	254	227	27	2269	842	276	313	962
1999	01	La Jacetania	1266	902	364	297	67	611	223	170	53	93	24	19	5	198	117	108	9	563	171	82	70	361
1999	02	Alto Gállego	657	402	255	225	30	315	158	130	28	35	11	11	0	52	86	84	2	336	76	31	91	109
1999	03	Sobrarbe	1235	861	374	281	93	591	249	188	61	127	38	20	18	143	87	73	14	473	157	51	210	340
1999	04	La Ribagorza	2397	1726	671	564	107	1210	481	398	83	299	57	49	8	217	133	117	16	1178	243	113	224	635
1999	05	Cinco Villas	5739	3628	2111	1856	255	2950	1443	1233	210	241	144	134	10	437	524	489	35	3430	546	253	324	1040
1999	06	Hoya de Huesca / Plana de Uesca	4309	2781	1528	1367	161	2242	1032	894	138	222	109	102	7	317	387	371	16	2552	521	260	278	615
1999	07	Somontano de Barbastro	3723	2396	1327	1226	101	1752	889	799	90	403	119	115	4	241	319	312	7	2231	533	225	246	458
1999	08	Cinca Medio	2736	1736	1000	868	132	1303	707	585	122	237	88	81	7	196	205	202	3	1592	381	136	164	413
1999	09	La Litera / La Llitera	3728	2538	1190	899	291	1672	809	589	220	458	106	82	24	408	275	228	47	2034	508	201	280	632
1999	10	Los Monegros	5083	3187	1896	1611	285	2507	1262	1035	227	287	178	159	19	393	456	417	39	2621	625	438	406	786
1999	11	Bajo Cinca / Baix Cinca	5301	3661	1640	1360	280	1997	845	644	201	847	252	227	25	817	543	489	54	2419	980	418	323	1130
1999	12	Tarazona y el Moncayo	2705	1595	1110	1064	46	1190	671	640	31	223	103	99	4	182	336	325	11	1909	339	98	95	152
1999	13	Campo de Borja	4938	2661	2277	2186	91	1762	1143	1080	63	420	265	252	13	479	869	854	15	3603	552	228	129	389
1999	14	Aranda	1998	923	1075	1019	56	656	672	631	41	155	109	104	5	112	294	284	10	1438	247	72	68	160
1999	15	Ribera Alta del Ebro	2992	1675	1317	1272	45	1347	903	867	36	177	113	109	4	151	301	296	5	2333	186	94	73	261
