Año	Código de la comarca	Comarca	Personas que son mano de obra familiar	Personas mano obra familiar con remuneración	Personas mano obra familiar sin remuneración	Personas jefes de explotación	Total jornadas completas	Total jornadas parciales	Personas asalariados fijos total	Personas asalariados fijos varones	Personas asalariadas fijas mujeres	Unidades de trabajo/año totales
1989	01	La Jacetania	1598	5	1593	1170	185737	82525	104	104	0	810
1989	02	Alto Gállego	1054	12	1042	677	60489	33907	128	128	0	303
1989	03	Sobrarbe	1871	1	1870	1380	150770	118947	190	188	2	776
1989	04	La Ribagorza	3086	4	3082	2129	288110	145890	384	378	6	1393
1989	05	Cinco Villas	10043	40	10003	7315	526460	239201	642	628	14	2946
1989	06	Hoya de Huesca / Plana de Uesca	4239	7	4232	3535	356010	158778	648	638	10	2045
1989	07	Somontano de Barbastro	3947	4	3943	3048	278384	204222	169	164	5	1480
1989	08	Cinca Medio	3244	17	3227	2304	315070	180130	261	252	9	1676
1989	09	La Litera / La Llitera	4563	20	4543	2703	445724	267814	389	373	16	2386
1989	10	Los Monegros	5104	13	5091	4012	543397	215768	536	529	7	2787
1989	11	Bajo Cinca / Baix Cinca	5211	20	5191	2928	606517	174088	308	302	6	2858
1989	12	Tarazona y el Moncayo	2900	19	2881	2189	159571	129499	127	112	15	904
1989	13	Campo de Borja	4475	24	4451	3089	321287	117349	92	88	4	1449
1989	14	Aranda	2507	11	2496	1589	102560	79740	46	45	1	545
1989	15	Ribera Alta del Ebro	4407	15	4392	3549	186771	237588	225	223	2	1347
1989	16	Valdejalón	7949	34	7915	5218	429650	148785	254	243	11	2445
1989	17	D.C. Zaragoza	7566	80	7486	6011	578613	280561	858	818	40	3375
1989	18	Ribera Baja del Ebro	2386	5	2381	1870	172908	105765	207	201	6	1040
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3707	10	3697	2459	368848	88673	133	127	6	1662
1989	20	Comunidad de Calatayud	12632	42	12590	8725	835621	351817	408	397	11	4061
1989	21	Campo de Cariñena	5227	252	4975	3431	239560	111847	170	168	2	1569
1989	22	Campo de Belchite	1898	8	1890	1533	173939	66188	78	76	2	771
1989	23	Bajo Martín	1773	5	1768	1371	181577	98107	123	121	2	937
1989	24	Campo de Daroca	2274	6	2268	1703	219177	103444	112	107	5	1062
1989	25	Jiloca	4964	14	4950	3349	470805	157158	242	230	12	1959
1989	26	Cuencas Mineras	1982	5	1977	1562	142963	73193	142	141	1	625
1989	27	Andorra-Sierra de Arcos	2355	2	2353	1664	80477	92457	56	56	0	444
1989	28	Bajo Aragón	5353	25	5328	3374	462503	206525	185	177	8	2107
1989	29	Comunidad de Teruel	6583	42	6541	4511	527935	285678	285	274	11	2346
1989	30	Maestrazgo	2006	9	1997	1382	197383	78290	97	97	0	808
1989	31	Sierra de Albarracín	1250	4	1246	950	156694	30657	143	140	3	669
1989	32	Gúdar-Javalambre	4171	6	4165	3450	269046	89782	251	231	20	1061
1989	33	Matarraña / Matarranya	4662	23	4639	2996	490495	112696	106	102	4	1947
1999	01	La Jacetania	1266	11	1255	896	143710	54025	133	72	61	664
1999	02	Alto Gállego	657	9	648	537	42532	54953	90	72	18	291
1999	03	Sobrarbe	1235	4	1231	937	137482	99674	131	104	27	673
1999	04	La Ribagorza	2397	7	2390	2019	249620	135304	485	363	122	1308
1999	05	Cinco Villas	5739	45	5694	4963	445424	169820	1428	774	654	3276
1999	06	Hoya de Huesca / Plana de Uesca	4309	21	4288	3557	266080	206261	697	391	306	1910
1999	07	Somontano de Barbastro	3723	13	3710	2798	227979	180781	305	215	90	1471
1999	08	Cinca Medio	2736	14	2722	2213	162347	162891	418	246	172	1303
1999	09	La Litera / La Llitera	3728	11	3717	2755	257212	237007	721	393	328	2027
1999	10	Los Monegros	5083	29	5054	4133	366546	252135	996	544	452	2689
1999	11	Bajo Cinca / Baix Cinca	5301	6	5295	3134	531035	196777	817	447	370	3637
1999	12	Tarazona y el Moncayo	2705	5	2700	1919	97166	84617	181	105	76	690
1999	13	Campo de Borja	4938	8	4930	3021	204000	157598	276	196	80	1313
1999	14	Aranda	1998	7	1991	1367	95722	49522	51	47	4	512
1999	15	Ribera Alta del Ebro	2992	11	2981	2403	109436	106690	400	215	185	1015
1999	16	Valdejalón	7868	24	7844	4415	303849	171632	599	318	281	2616
1999	17	D.C. Zaragoza	5262	34	5228	4362	324101	128095	933	513	420	2332
1999	18	Ribera Baja del Ebro	1920	25	1895	1532	66538	108551	340	148	192	878
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	3514	5	3509	2289	305054	91899	404	186	218	1962
1999	20	Comunidad de Calatayud	9344	21	9323	6309	516701	227366	419	292	127	2832
1999	21	Campo de Cariñena	4791	56	4735	3097	211678	61296	266	148	118	1455
1999	22	Campo de Belchite	2085	7	2078	1525	97660	86252	127	75	52	654
1999	23	Bajo Martín	1969	4	1965	1475	80044	100410	222	113	109	672
1999	24	Campo de Daroca	2375	26	2349	1914	164853	23269	154	112	42	780
1999	25	Jiloca	3789	5	3784	2853	270487	196718	309	248	61	1574
1999	26	Cuencas Mineras	1184	4	1180	914	84437	60481	172	118	54	512
1999	27	Andorra-Sierra de Arcos	2183	5	2178	1334	55375	63680	88	64	24	389
1999	28	Bajo Aragón	5241	30	5211	3327	305205	201382	424	241	183	1933
1999	29	Comunidad de Teruel	3859	22	3837	2901	271968	197886	301	193	108	1542
1999	30	Maestrazgo	1248	1	1247	917	113608	66467	105	78	27	562
1999	31	Sierra de Albarracín	739	2	737	548	77797	35524	115	79	36	402
1999	32	Gúdar-Javalambre	1588	4	1584	1220	127571	74410	152	104	48	670
1999	33	Matarraña / Matarranya	3595	22	3573	2437	322650	178192	316	198	118	1785
