Año	Código del municipio	Nombre del municipio	Personas que son mano de obra familiar	Personas mano obra familiar con remuneración	Personas mano obra familiar sin remuneración	Personas jefes de explotación	Total jornadas completas	Total jornadas parciales	Personas asalariados fijos total	Personas asalariados fijos varones	Personas asalariadas fijas mujeres	Unidades de trabajo/año totales
1989	22001	Abiego	124	0	124	83	14558	8096	3	3	0	64
1989	22002	Abizanda	53	1	52	39	5080	2429	9	9	0	24
1989	22003	Adahuesca	69	0	69	66	6743	863	3	3	0	25
1989	22004	Agüero	62	0	62	59	3159	540	7	7	0	12
1989	22006	Aísa	63	0	63	45	5582	5779	5	5	0	29
1989	22007	Albalate de Cinca	448	2	446	288	40596	31072	50	47	3	265
1989	22008	Albalatillo	24	0	24	23	1175	2125	1	1	0	8
1989	22009	Albelda	595	0	595	280	77358	30228	24	24	0	362
1989	22011	Albero Alto	29	0	29	23	1510	3780	4	4	0	15
1989	22012	Albero Bajo	53	1	52	36	3212	2386	3	3	0	18
1989	22013	Alberuela de Tubo	102	1	101	72	6852	14937	5	5	0	54
1989	22014	Alcalá de Gurrea	39	0	39	31	6525	291	21	21	0	39
1989	22015	Alcalá del Obispo	108	0	108	99	8185	6558	8	8	0	45
1989	22016	Alcampell	426	3	423	238	36655	25594	23	23	0	193
1989	22017	Alcolea de Cinca	373	4	369	290	31488	25604	21	21	0	173
1989	22018	Alcubierre	148	0	148	123	17195	2538	7	7	0	72
1989	22019	Alerre	17	0	17	17	1225	39	1	1	0	5
1989	22020	Alfántega	44	1	43	29	4100	2708	2	2	0	19
1989	22021	Almudévar	622	1	621	525	39353	32360	56	52	4	242
1989	22022	Almunia de San Juan	124	0	124	104	8825	9672	19	18	1	65
1989	22023	Almuniente	149	2	147	125	16876	5102	20	20	0	88
1989	22024	Alquézar	112	0	112	96	11356	4666	4	4	0	51
1989	22025	Altorricón	531	1	530	291	61671	37749	36	32	4	315
1989	22027	Angüés	127	1	126	107	5967	8114	10	10	0	42
1989	22028	Ansó	33	0	33	25	8147	1416	2	2	0	28
1989	22029	Antillón	48	0	48	38	4820	514	6	6	0	23
1989	22032	Aragüés del Puerto	38	0	38	23	6026	2962	2	2	0	26
1989	22035	Arén	108	0	108	77	16378	4646	21	20	1	77
1989	22036	Argavieso	45	0	45	40	3731	2249	1	1	0	18
1989	22037	Arguis	16	0	16	15	1375	80	5	5	0	5
1989	22039	Ayerbe	245	0	245	215	15008	8048	19	18	1	90
1989	22040	Azanuy-Alins	100	0	100	96	11375	3801	5	4	1	46
1989	22041	Azara	85	0	85	59	4229	7001	2	2	0	27
