Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con tierras labranza, pastos y otras	Explotaciones con tierras labranza y pastos	Explotaciones con tierras labranza y otras	Explotaciones con sólo tierras labranza	Explotaciones con pastos y otras tierras	Explotaciones con sólo pastos	Explotaciones con sólo otras tierras	Explotaciones con tierras
1989	22001	Abiego	86	2	0	0	74	6	0	0	4	84
1989	22002	Abizanda	48	0	2	0	25	0	0	0	21	48
1989	22003	Adahuesca	69	0	1	0	26	32	0	1	9	69
1989	22004	Agüero	66	0	2	1	40	6	0	0	17	66
1989	22006	Aísa	50	0	33	2	3	1	5	0	6	50
1989	22007	Albalate de Cinca	294	3	9	2	161	99	0	0	20	291
1989	22008	Albalatillo	24	0	0	0	7	14	0	0	3	24
1989	22009	Albelda	282	1	1	2	195	81	1	0	1	281
1989	22011	Albero Alto	24	0	0	0	13	10	0	0	1	24
1989	22012	Albero Bajo	38	1	6	5	15	10	0	1	0	37
1989	22013	Alberuela de Tubo	74	0	3	5	23	40	0	1	2	74
1989	22014	Alcalá de Gurrea	38	2	2	2	8	24	0	0	0	36
1989	22015	Alcalá del Obispo	104	0	0	0	71	28	0	0	5	104
1989	22016	Alcampell	243	1	0	0	57	177	0	0	8	242
1989	22017	Alcolea de Cinca	295	4	3	2	148	116	1	0	21	291
1989	22018	Alcubierre	125	2	0	1	2	119	0	0	1	123
1989	22019	Alerre	18	0	0	0	1	16	0	1	0	18
1989	22020	Alfántega	31	0	0	0	7	22	0	0	2	31
1989	22021	Almudévar	537	14	18	141	44	313	2	2	3	523
1989	22022	Almunia de San Juan	107	3	0	0	27	73	0	1	3	104
1989	22023	Almuniente	128	0	1	4	24	96	0	0	3	128
1989	22024	Alquézar	100	0	2	0	74	17	0	1	6	100
1989	22025	Altorricón	298	2	0	0	182	103	0	0	11	296
1989	22027	Angüés	113	0	1	0	71	27	0	0	14	113
1989	22028	Ansó	27	7	0	0	1	0	3	12	4	20
1989	22029	Antillón	39	0	11	2	20	6	0	0	0	39
1989	22032	Aragüés del Puerto	25	0	5	7	0	0	8	3	2	25
1989	22035	Arén	92	0	23	5	26	22	5	9	2	92
1989	22036	Argavieso	41	0	0	0	36	3	0	0	2	41
1989	22037	Arguis	20	0	0	0	10	1	0	0	9	20
1989	22039	Ayerbe	226	3	0	0	81	101	1	0	40	223
1989	22040	Azanuy-Alins	98	0	0	0	72	19	0	0	7	98
1989	22041	Azara	61	0	0	0	48	10	0	0	3	61
1989	22042	Azlor	58	0	0	0	48	4	0	0	6	58
1989	22043	Baells	56	0	0	1	47	5	0	0	3	56
1989	22044	Bailo	100	1	1	1	52	28	2	0	15	99
1989	22045	Baldellou	75	0	3	0	35	19	1	2	15	75
1989	22046	Ballobar	179	2	0	3	30	141	0	0	3	177
1989	22047	Banastás	7	0	0	0	4	3	0	0	0	7
1989	22048	Barbastro	666	2	5	5	179	396	0	6	73	664
1989	22049	Barbués	46	0	0	1	26	18	0	1	0	46
1989	22050	Barbuñales	31	0	0	4	21	6	0	0	0	31
1989	22051	Bárcabo	48	1	8	0	29	1	0	0	9	47
