Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con superficie >= 0,1 y <5 hectáreas	Explotaciones con superficie >=5 y <10 hectáreas	Explotaciones con superficie >=10 y <20 hectáreas	Explotaciones con superficie >= 20 y <50 hectáreas	Explotaciones con superficie >= 50 y <100 hectáreas	Explotaciones con superficie >= 100 hectáreas	Explotaciones con tierras
1989	22001	Abiego	86	2	7	10	17	28	19	3	84
1989	22002	Abizanda	48	0	8	3	3	10	12	12	48
1989	22003	Adahuesca	69	0	14	6	19	20	3	7	69
1989	22004	Agüero	66	0	13	8	13	15	6	11	66
1989	22006	Aísa	50	0	8	22	12	3	0	5	50
1989	22007	Albalate de Cinca	294	3	112	72	78	20	4	5	291
1989	22008	Albalatillo	24	0	16	1	1	1	4	1	24
1989	22009	Albelda	282	1	88	92	71	21	4	5	281
1989	22011	Albero Alto	24	0	0	0	1	7	11	5	24
1989	22012	Albero Bajo	38	1	3	2	7	16	6	3	37
1989	22013	Alberuela de Tubo	74	0	5	0	32	28	6	3	74
1989	22014	Alcalá de Gurrea	38	2	3	4	6	2	6	15	36
1989	22015	Alcalá del Obispo	104	0	22	10	16	30	17	9	104
1989	22016	Alcampell	243	1	75	41	67	42	11	6	242
1989	22017	Alcolea de Cinca	295	4	119	28	49	59	22	14	291
1989	22018	Alcubierre	125	2	11	12	12	42	35	11	123
1989	22019	Alerre	18	0	5	1	2	2	6	2	18
1989	22020	Alfántega	31	0	7	6	12	4	1	1	31
1989	22021	Almudévar	537	14	193	97	76	77	42	38	523
1989	22022	Almunia de San Juan	107	3	48	15	12	16	8	5	104
1989	22023	Almuniente	128	0	7	24	63	28	2	4	128
1989	22024	Alquézar	100	0	22	28	22	21	3	4	100
1989	22025	Altorricón	298	2	157	69	50	13	5	2	296
1989	22027	Angüés	113	0	26	13	18	29	18	9	113
1989	22028	Ansó	27	7	13	4	1	0	0	2	20
1989	22029	Antillón	39	0	2	1	2	23	6	5	39
1989	22032	Aragüés del Puerto	25	0	9	10	3	1	0	2	25
1989	22035	Arén	92	0	12	14	10	19	17	20	92
1989	22036	Argavieso	41	0	5	8	11	13	2	2	41
1989	22037	Arguis	20	0	1	2	2	3	4	8	20
1989	22039	Ayerbe	226	3	120	39	19	23	8	14	223
1989	22040	Azanuy-Alins	98	0	7	14	15	33	20	9	98
1989	22041	Azara	61	0	8	10	17	21	4	1	61
1989	22042	Azlor	58	0	8	13	9	21	6	1	58
1989	22043	Baells	56	0	3	6	10	13	20	4	56
1989	22044	Bailo	100	1	9	10	18	30	13	19	99
1989	22045	Baldellou	75	0	24	13	16	14	5	3	75
1989	22046	Ballobar	179	2	36	12	29	43	48	9	177
1989	22047	Banastás	7	0	1	0	1	1	1	3	7
1989	22048	Barbastro	666	2	422	89	59	62	26	6	664
1989	22049	Barbués	46	0	2	8	14	8	11	3	46
1989	22050	Barbuñales	31	0	5	3	6	12	3	2	31
1989	22051	Bárcabo	48	1	1	1	3	9	17	16	47
1989	22052	Belver de Cinca	258	2	114	78	42	13	3	6	256
1989	22053	Benabarre	225	0	53	24	27	49	44	28	225
1989	22054	Benasque	61	2	17	14	18	6	2	2	59
1989	22055	Berbegal	91	0	10	4	19	29	22	7	91
1989	22057	Bielsa	95	0	57	8	20	8	1	1	95
1989	22058	Bierge	179	2	33	28	45	41	17	13	177
1989	22059	Biescas	200	0	75	25	45	30	6	19	200
1989	22060	Binaced	236	1	59	61	56	48	2	9	235
1989	22061	Binéfar	179	3	90	39	28	14	3	2	176
1989	22062	Bisaurri	71	0	3	5	8	38	7	10	71
1989	22063	Biscarrués	70	0	2	12	17	19	17	3	70
1989	22064	Blecua y Torres	59	0	20	6	2	8	16	7	59
1989	22066	Boltaña	88	0	9	7	15	16	13	28	88
1989	22067	Bonansa	20	0	0	0	1	6	5	8	20
1989	22068	Borau	30	0	3	8	7	8	1	3	30
1989	22069	Broto	149	0	20	33	43	40	2	11	149
1989	22072	Caldearenas	63	0	1	1	5	19	13	24	63
1989	22074	Campo	40	4	21	3	2	6	1	3	36
1989	22075	Camporrells	126	3	53	20	33	12	3	2	123
1989	22076	Canal de Berdún	118	1	7	11	30	38	22	9	117
1989	22077	Candasnos	93	3	3	2	9	21	22	33	90
1989	22078	Canfranc	5	0	0	0	0	2	0	3	5
1989	22079	Capdesaso	46	0	3	7	12	16	6	2	46
1989	22080	Capella	155	1	45	23	34	33	13	6	154
