Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con tierras con < 25% de su propiedad	Explotaciones con tierras con >=25% y <50% de su propiedad	Explotaciones con tierras con >=50% y  <75% de su propiedad	Explotaciones con tierras con >=75% y  <100% de su propiedad	Explotaciones con tierras cuya superficie es totalmente de su propiedad	Explotaciones con tierras
1989	22001	Abiego	86	2	1	12	8	15	48	84
1989	22002	Abizanda	48	0	1	0	2	6	39	48
1989	22003	Adahuesca	69	0	1	5	7	6	50	69
1989	22004	Agüero	66	0	3	0	3	4	56	66
1989	22006	Aísa	50	0	2	3	7	7	31	50
1989	22007	Albalate de Cinca	294	3	13	3	20	42	213	291
1989	22008	Albalatillo	24	0	2	2	0	1	19	24
1989	22009	Albelda	282	1	8	15	26	37	195	281
1989	22011	Albero Alto	24	0	0	2	2	3	17	24
1989	22012	Albero Bajo	38	1	6	2	13	5	11	37
1989	22013	Alberuela de Tubo	74	0	52	4	3	3	12	74
1989	22014	Alcalá de Gurrea	38	2	11	1	2	4	18	36
1989	22015	Alcalá del Obispo	104	0	11	2	3	3	85	104
1989	22016	Alcampell	243	1	7	13	35	31	156	242
1989	22017	Alcolea de Cinca	295	4	76	32	15	11	157	291
1989	22018	Alcubierre	125	2	13	15	17	18	60	123
1989	22019	Alerre	18	0	1	2	2	2	11	18
1989	22020	Alfántega	31	0	2	2	2	5	20	31
1989	22021	Almudévar	537	14	35	37	41	72	338	523
1989	22022	Almunia de San Juan	107	3	11	3	7	7	76	104
1989	22023	Almuniente	128	0	8	7	8	11	94	128
1989	22024	Alquézar	100	0	1	4	9	4	82	100
1989	22025	Altorricón	298	2	4	6	17	11	258	296
1989	22027	Angüés	113	0	5	1	14	10	83	113
1989	22028	Ansó	27	7	3	1	1	1	14	20
1989	22029	Antillón	39	0	4	2	2	11	20	39
1989	22032	Aragüés del Puerto	25	0	2	2	7	2	12	25
1989	22035	Arén	92	0	3	9	8	16	56	92
1989	22036	Argavieso	41	0	3	2	7	18	11	41
1989	22037	Arguis	20	0	0	2	2	0	16	20
1989	22039	Ayerbe	226	3	10	8	11	15	179	223
1989	22040	Azanuy-Alins	98	0	8	8	11	4	67	98
1989	22041	Azara	61	0	0	1	3	3	54	61
1989	22042	Azlor	58	0	0	1	6	5	46	58
1989	22043	Baells	56	0	5	0	4	8	39	56
1989	22044	Bailo	100	1	6	5	15	16	57	99
1989	22045	Baldellou	75	0	0	3	1	0	71	75
1989	22046	Ballobar	179	2	12	23	27	44	71	177
1989	22047	Banastás	7	0	0	1	0	0	6	7
1989	22048	Barbastro	666	2	11	11	15	13	614	664
1989	22049	Barbués	46	0	4	2	4	6	30	46
1989	22050	Barbuñales	31	0	0	3	6	5	17	31
1989	22051	Bárcabo	48	1	3	6	3	4	31	47
1989	22052	Belver de Cinca	258	2	10	9	17	30	190	256
1989	22053	Benabarre	225	0	10	5	14	30	166	225
1989	22054	Benasque	61	2	6	2	6	3	42	59
1989	22055	Berbegal	91	0	6	12	16	14	43	91
