Año	Código de la comarca	Comarca	Número total de explotaciones	Explotaciones cuyo titular es persona física	Explotaciones cuya gestión se lleva por el titular de la misma	Explotaciones cuya gestión se lleva por un miembro de la familia, no titular	Explotaciones cuya gestión se lleva por otra persona
1989	01	La Jacetania	1240	1172	1133	37	2
1989	02	Alto Gállego	787	697	593	84	20
1989	03	Sobrarbe	1544	1380	1364	16	0
1989	04	La Ribagorza	2406	2130	2071	58	1
1989	05	Cinco Villas	7501	7358	6368	947	43
1989	06	Hoya de Huesca / Plana de Uesca	3736	3537	3477	58	2
1989	07	Somontano de Barbastro	3147	3049	3029	19	1
1989	08	Cinca Medio	2368	2309	2256	48	5
1989	09	La Litera / La Llitera	2779	2705	2662	41	2
1989	10	Los Monegros	4155	4024	3927	85	12
1989	11	Bajo Cinca / Baix Cinca	2989	2934	2875	53	6
1989	12	Tarazona y el Moncayo	2232	2189	2177	12	0
1989	13	Campo de Borja	3135	3093	3036	53	4
1989	14	Aranda	1627	1598	1533	56	9
1989	15	Ribera Alta del Ebro	3615	3553	3519	30	4
1989	16	Valdejalón	5310	5232	4879	339	14
1989	17	D.C. Zaragoza	6215	6084	5797	214	73
1989	18	Ribera Baja del Ebro	1921	1874	1856	14	4
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2501	2460	2447	12	1
1989	20	Comunidad de Calatayud	8991	8777	8337	388	52
1989	21	Campo de Cariñena	3488	3437	3240	191	6
1989	22	Campo de Belchite	1569	1539	1517	16	6
1989	23	Bajo Martín	1412	1375	1364	7	4
1989	24	Campo de Daroca	1783	1706	1671	32	3
1989	25	Jiloca	3521	3351	3275	74	2
1989	26	Cuencas Mineras	1672	1563	1540	22	1
1989	27	Andorra-Sierra de Arcos	1707	1666	1626	38	2
1989	28	Bajo Aragón	3473	3382	3357	17	8
1989	29	Comunidad de Teruel	4694	4511	4455	56	0
1989	30	Maestrazgo	1465	1384	1376	6	2
1989	31	Sierra de Albarracín	1041	952	937	13	2
1989	32	Gúdar-Javalambre	3636	3451	3418	32	1
1989	33	Matarraña / Matarranya	3071	3000	2916	80	4
1999	01	La Jacetania	896	834	796	36	2
1999	02	Alto Gállego	537	473	449	24	0
1999	03	Sobrarbe	937	840	812	28	0
1999	04	La Ribagorza	2019	1691	1672	17	2
1999	05	Cinco Villas	4963	4393	4164	200	29
1999	06	Hoya de Huesca / Plana de Uesca	3557	3274	3149	114	11
1999	07	Somontano de Barbastro	2798	2641	2559	74	8
1999	08	Cinca Medio	2213	2010	1903	103	4
1999	09	La Litera / La Llitera	2755	2481	2369	106	6
1999	10	Los Monegros	4133	3769	3482	256	31
1999	11	Bajo Cinca / Baix Cinca	3134	2842	2700	135	7
1999	12	Tarazona y el Moncayo	1919	1861	1641	210	10
1999	13	Campo de Borja	3021	2905	2809	92	4
1999	14	Aranda	1367	1328	1280	48	0
1999	15	Ribera Alta del Ebro	2403	2250	2149	97	4
1999	16	Valdejalón	4415	4194	3783	401	10
1999	17	D.C. Zaragoza	4362	4033	3707	294	32
1999	18	Ribera Baja del Ebro	1532	1427	1343	79	5
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2289	2164	2128	34	2
1999	20	Comunidad de Calatayud	6309	6073	5814	252	7
1999	21	Campo de Cariñena	3097	2994	2588	402	4
1999	22	Campo de Belchite	1525	1462	1310	150	2
1999	23	Bajo Martín	1475	1388	1343	45	0
1999	24	Campo de Daroca	1914	1826	1713	104	9
1999	25	Jiloca	2853	2663	2540	104	19
1999	26	Cuencas Mineras	914	801	735	63	3
1999	27	Andorra-Sierra de Arcos	1334	1277	1241	35	1
1999	28	Bajo Aragón	3327	3148	3025	118	5
1999	29	Comunidad de Teruel	2901	2731	2517	209	5
1999	30	Maestrazgo	917	850	835	14	1
1999	31	Sierra de Albarracín	548	480	440	38	2
1999	32	Gúdar-Javalambre	1220	1138	1079	55	4
1999	33	Matarraña / Matarranya	2437	2303	2233	65	5
