Año	Código de la comarca	Comarca	Número total de explotaciones	Explotaciones con tierras	Explotaciones con tierras sin SAU	Explotaciones con tierras con SAU	Explotaciones con tierras con SAU <5 hectáreas	Explotaciones con tierras con SAU >= 5 y < 10 hectáreas	Explotaciones con tierras con SAU >= 10 y < 20 hectáreas	Explotaciones con tierras con SAU >= 20 y < 50 hectáreas	Explotaciones con tierras con SAU >= 50 y < 100 hectáreas	Explotaciones con tierras con SAU >= 100 hectáreas
1989	01	La Jacetania	1240	1223	110	1113	301	194	210	270	97	41
1989	02	Alto Gállego	787	782	123	659	204	124	130	120	38	43
1989	03	Sobrarbe	1544	1536	243	1293	380	238	317	250	47	61
1989	04	La Ribagorza	2406	2396	418	1978	485	305	425	471	154	138
1989	05	Cinco Villas	7501	7387	141	7246	2680	1162	1622	1042	426	314
1989	06	Hoya de Huesca / Plana de Uesca	3736	3701	286	3415	1077	452	536	654	415	281
1989	07	Somontano de Barbastro	3147	3133	400	2733	951	466	498	549	190	79
1989	08	Cinca Medio	2368	2356	93	2263	979	357	379	390	103	55
1989	09	La Litera / La Llitera	2779	2764	132	2632	1022	599	514	327	124	46
1989	10	Los Monegros	4155	4100	73	4027	645	451	930	1018	595	388
1989	11	Bajo Cinca / Baix Cinca	2989	2968	90	2878	1210	503	443	382	222	118
1989	12	Tarazona y el Moncayo	2232	2219	190	2029	1407	227	177	152	49	17
1989	13	Campo de Borja	3135	3116	80	3036	1650	493	399	349	100	45
1989	14	Aranda	1627	1609	98	1511	1004	261	140	62	20	24
1989	15	Ribera Alta del Ebro	3615	3577	95	3482	2523	460	256	152	59	32
1989	16	Valdejalón	5310	5234	168	5066	3236	758	550	325	105	92
1989	17	D.C. Zaragoza	6215	6092	111	5981	3131	1013	723	705	254	155
1989	18	Ribera Baja del Ebro	1921	1892	39	1853	926	178	191	273	158	127
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2501	2455	94	2361	1189	380	366	269	104	53
1989	20	Comunidad de Calatayud	8991	8885	673	8212	4669	1504	1021	565	251	202
1989	21	Campo de Cariñena	3488	3462	150	3312	1675	716	426	290	133	72
1989	22	Campo de Belchite	1569	1539	13	1526	344	170	216	334	255	207
1989	23	Bajo Martín	1412	1364	31	1333	710	89	77	146	135	176
1989	24	Campo de Daroca	1783	1755	144	1611	538	194	179	269	269	162
1989	25	Jiloca	3521	3501	152	3349	944	492	477	735	465	236
1989	26	Cuencas Mineras	1672	1654	327	1327	588	109	135	209	164	122
1989	27	Andorra-Sierra de Arcos	1707	1690	290	1400	886	175	108	127	67	37
1989	28	Bajo Aragón	3473	3442	180	3262	1619	557	448	390	151	97
1989	29	Comunidad de Teruel	4694	4659	657	4002	1380	496	567	805	483	271
1989	30	Maestrazgo	1465	1461	139	1322	454	205	200	181	113	169
1989	31	Sierra de Albarracín	1041	1024	228	796	240	121	155	160	59	61
1989	32	Gúdar-Javalambre	3636	3618	696	2922	1538	448	304	260	177	195
1989	33	Matarraña / Matarranya	3071	3055	525	2530	1072	481	588	357	29	3
1999	01	La Jacetania	896	875	64	811	163	90	141	205	115	97
1999	02	Alto Gállego	537	516	43	473	108	78	87	99	55	46
1999	03	Sobrarbe	937	924	93	831	167	150	178	188	70	78
1999	04	La Ribagorza	2019	1968	357	1611	347	220	311	382	204	147
1999	05	Cinco Villas	4963	4829	289	4540	1185	577	975	987	456	360
1999	06	Hoya de Huesca / Plana de Uesca	3557	3502	287	3215	1088	337	423	574	406	387
1999	07	Somontano de Barbastro	2798	2760	256	2504	980	385	379	443	191	126
1999	08	Cinca Medio	2213	2123	97	2026	873	292	307	336	141	77
1999	09	La Litera / La Llitera	2755	2692	216	2476	1081	476	412	330	115	62
1999	10	Los Monegros	4133	4025	225	3800	801	259	639	958	681	462
1999	11	Bajo Cinca / Baix Cinca	3134	3107	199	2908	1305	502	403	324	218	156
1999	12	Tarazona y el Moncayo	1919	1899	138	1761	1308	162	103	112	52	24
1999	13	Campo de Borja	3021	2979	198	2781	1601	414	310	287	112	57
1999	14	Aranda	1367	1337	58	1279	879	193	108	63	11	25
1999	15	Ribera Alta del Ebro	2403	2380	173	2207	1434	299	199	144	80	51
1999	16	Valdejalón	4415	4355	281	4074	2620	527	389	288	144	106
1999	17	D.C. Zaragoza	4362	4257	236	4021	1870	488	537	569	341	216
1999	18	Ribera Baja del Ebro	1532	1465	39	1426	560	145	167	257	148	149
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2289	2252	165	2087	988	317	356	265	91	70
1999	20	Comunidad de Calatayud	6309	6210	768	5442	3141	890	615	396	173	227
1999	21	Campo de Cariñena	3097	3067	226	2841	1510	503	338	270	120	100
1999	22	Campo de Belchite	1525	1495	70	1425	586	87	107	205	211	229
1999	23	Bajo Martín	1475	1428	77	1351	844	88	56	87	107	169
1999	24	Campo de Daroca	1914	1880	183	1697	561	184	217	334	196	205
1999	25	Jiloca	2853	2764	216	2548	612	283	374	603	363	313
1999	26	Cuencas Mineras	914	850	93	757	181	61	90	176	118	131
1999	27	Andorra-Sierra de Arcos	1334	1318	77	1241	866	113	69	80	59	54
1999	28	Bajo Aragón	3327	3278	296	2982	1636	413	329	325	141	138
1999	29	Comunidad de Teruel	2901	2792	159	2633	501	291	435	678	416	312
1999	30	Maestrazgo	917	885	120	765	287	93	57	86	78	164
1999	31	Sierra de Albarracín	548	485	32	453	98	57	85	77	49	87
1999	32	Gúdar-Javalambre	1220	1163	149	1014	410	98	104	148	113	141
1999	33	Matarraña / Matarranya	2437	2384	299	2085	677	480	494	367	60	7
