Año	Código de la comarca	Comarca	Número total de explotaciones	Explotaciones con tierras	Explotaciones con tierras sin SAU	Explotaciones con tierras con SAU  <25% de su propiedad	Explotaciones con tierras con SAU >=25% y <50% de su propiedad	Explotaciones con tierras con SAU >=50% y <75% de su propiedad	Explotaciones con tierras con SAU >=75% y <100% de su propiedad	Explotaciones con tierras con SAU totalmente de su propiedad	Explotaciones con tierras con SAU
1989	01	La Jacetania	1240	1223	110	84	60	129	120	720	1113
1989	02	Alto Gállego	787	782	123	37	48	67	61	446	659
1989	03	Sobrarbe	1544	1536	243	54	81	152	126	880	1293
1989	04	La Ribagorza	2406	2396	418	116	136	196	230	1300	1978
1989	05	Cinco Villas	7501	7387	141	2672	606	504	475	2989	7246
1989	06	Hoya de Huesca / Plana de Uesca	3736	3701	286	300	248	312	359	2196	3415
1989	07	Somontano de Barbastro	3147	3133	400	109	132	187	211	2094	2733
1989	08	Cinca Medio	2368	2356	93	280	132	179	178	1494	2263
1989	09	La Litera / La Llitera	2779	2764	132	134	145	228	194	1931	2632
1989	10	Los Monegros	4155	4100	73	1095	474	517	519	1422	4027
1989	11	Bajo Cinca / Baix Cinca	2989	2968	90	175	142	215	253	2093	2878
1989	12	Tarazona y el Moncayo	2232	2219	190	171	141	161	140	1416	2029
1989	13	Campo de Borja	3135	3116	80	156	150	245	395	2090	3036
1989	14	Aranda	1627	1609	98	80	32	51	63	1285	1511
1989	15	Ribera Alta del Ebro	3615	3577	95	573	272	369	271	1997	3482
1989	16	Valdejalón	5310	5234	168	546	243	252	276	3749	5066
1989	17	D.C. Zaragoza	6215	6092	111	1333	622	609	392	3025	5981
1989	18	Ribera Baja del Ebro	1921	1892	39	350	217	215	187	884	1853
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2501	2455	94	79	96	121	164	1901	2361
1989	20	Comunidad de Calatayud	8991	8885	673	458	294	408	482	6570	8212
1989	21	Campo de Cariñena	3488	3462	150	66	80	117	120	2929	3312
1989	22	Campo de Belchite	1569	1539	13	235	150	122	89	930	1526
1989	23	Bajo Martín	1412	1364	31	272	148	132	132	649	1333
1989	24	Campo de Daroca	1783	1755	144	208	162	164	118	959	1611
1989	25	Jiloca	3521	3501	152	434	432	379	383	1721	3349
1989	26	Cuencas Mineras	1672	1654	327	182	126	84	89	846	1327
1989	27	Andorra-Sierra de Arcos	1707	1690	290	107	66	50	86	1091	1400
1989	28	Bajo Aragón	3473	3442	180	304	213	262	258	2225	3262
1989	29	Comunidad de Teruel	4694	4659	657	728	462	446	625	1741	4002
1989	30	Maestrazgo	1465	1461	139	170	71	68	72	941	1322
1989	31	Sierra de Albarracín	1041	1024	228	227	88	90	44	347	796
1989	32	Gúdar-Javalambre	3636	3618	696	379	112	104	110	2217	2922
1989	33	Matarraña / Matarranya	3071	3055	525	116	92	131	182	2009	2530
1999	01	La Jacetania	896	875	64	105	59	85	107	455	811
1999	02	Alto Gállego	537	516	43	33	22	46	50	322	473
1999	03	Sobrarbe	937	924	93	73	77	103	90	488	831
1999	04	La Ribagorza	2019	1968	357	168	125	172	189	957	1611
1999	05	Cinco Villas	4963	4829	289	1327	460	439	396	1918	4540
1999	06	Hoya de Huesca / Plana de Uesca	3557	3502	287	458	208	273	328	1948	3215
1999	07	Somontano de Barbastro	2798	2760	256	201	117	148	219	1819	2504
1999	08	Cinca Medio	2213	2123	97	277	120	129	173	1327	2026
1999	09	La Litera / La Llitera	2755	2692	216	216	146	180	203	1731	2476
1999	10	Los Monegros	4133	4025	225	728	393	422	441	1816	3800
1999	11	Bajo Cinca / Baix Cinca	3134	3107	199	358	144	184	231	1991	2908
1999	12	Tarazona y el Moncayo	1919	1899	138	139	82	94	99	1347	1761
1999	13	Campo de Borja	3021	2979	198	186	128	182	272	2013	2781
1999	14	Aranda	1367	1337	58	69	34	25	32	1119	1279
1999	15	Ribera Alta del Ebro	2403	2380	173	354	190	232	218	1213	2207
1999	16	Valdejalón	4415	4355	281	594	186	228	237	2829	4074
1999	17	D.C. Zaragoza	4362	4257	236	1078	385	323	266	1969	4021
1999	18	Ribera Baja del Ebro	1532	1465	39	368	190	162	144	562	1426
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2289	2252	165	140	105	114	144	1584	2087
1999	20	Comunidad de Calatayud	6309	6210	768	412	197	200	263	4370	5442
1999	21	Campo de Cariñena	3097	3067	226	154	72	91	122	2402	2841
1999	22	Campo de Belchite	1525	1495	70	204	125	116	125	855	1425
1999	23	Bajo Martín	1475	1428	77	235	130	115	116	755	1351
1999	24	Campo de Daroca	1914	1880	183	244	119	145	127	1062	1697
1999	25	Jiloca	2853	2764	216	365	252	325	295	1311	2548
1999	26	Cuencas Mineras	914	850	93	144	66	82	79	386	757
1999	27	Andorra-Sierra de Arcos	1334	1318	77	80	34	50	80	997	1241
1999	28	Bajo Aragón	3327	3278	296	294	164	186	231	2107	2982
1999	29	Comunidad de Teruel	2901	2792	159	706	371	348	357	851	2633
1999	30	Maestrazgo	917	885	120	139	44	40	50	492	765
1999	31	Sierra de Albarracín	548	485	32	153	37	44	21	198	453
1999	32	Gúdar-Javalambre	1220	1163	149	250	54	39	54	617	1014
1999	33	Matarraña / Matarranya	2437	2384	299	67	78	122	143	1675	2085
